Name|Category|Sub Category|Number Signals|Success %|Avg Duration
Bearish Engulfing|Industry|PHARMACEUTICAL PREPARATIONS|20|0.5|52
Bearish Engulfing|Industry|RETAIL-EATING PLACES|13|0.38461538461538464|188
Bearish Engulfing|Industry|SERVICES-PREPACKAGED SOFTWARE|11|0.36363636363636365|74
Bearish Engulfing|Industry|INVESTMENT ADVICE|11|0.36363636363636365|197
Bearish Engulfing|Overall|All|1178|0.2920203735144312|167
Bearish Engulfing|Industry|SURGICAL & MEDICAL INSTRUMENTS & APPARATUS|14|0.2857142857142857|135
Bearish Engulfing|Industry|REAL ESTATE INVESTMENT TRUSTS|51|0.27450980392156865|234
Bearish Engulfing|Industry|COMMODITY CONTRACTS BROKERS & DEALERS|20|0.25|128
Bearish Engulfing|Industry|NATIONAL COMMERCIAL BANKS|25|0.16|210
Bearish Engulfing|Industry|STATE COMMERCIAL BANKS|41|0.14634146341463414|270
Bearish Engulfing|Industry|FIRE, MARINE & CASUALTY INSURANCE|17|0.11764705882352941|336
