Name|Code|Industry|Sector|Entry Date|Entry Price Point|Entry Price|Result Up Date|Result Up Price Point|Result Up Price|Result Down Date|Result Down Price Point|Result Down Price|Result Direction|Trading Days|Calendar Days
Bearish Engulfing|AADI.US|Biotechnology|Healthcare|4/21/2016|Close|585.1200|3/29/2017|High|704.1000|8/8/2017|Low|90.0000|Up|244|342
Bearish Engulfing|AADI.US|Biotechnology|Healthcare|4/5/2017|Close|699.3000|10/19/2017|High|853.9500|8/8/2017|Low|90.0000|Down|89|125
Bearish Engulfing|AADR.US|||4/21/2016|Close|39.0080|3/29/2017|High|46.9400|8/8/2017|Low|6.0000|Up|244|342
Bearish Engulfing|AADR.US|||4/5/2017|Close|46.6200|10/19/2017|High|56.9300|8/8/2017|Low|6.0000|Down|89|125
Bearish Engulfing|AAOI.US|Communication Equipment|Technology|6/26/2015|Close|18.7100|8/12/2015|High|22.4900|1/7/2016|Low|14.9200|Up|33|47
Bearish Engulfing|AAPL.US|Consumer Electronics|Technology|2/15/2012|Close|17.7739|3/15/2012|High|21.4289|4/17/2013|Low|14.2182|Up|21|29
Bearish Engulfing|AAPL.US|Consumer Electronics|Technology|7/27/2017|Close|37.6400|3/12/2018|High|45.5975||||Up|162|228
Bearish Engulfing|AAP.US|Specialty Retail|Consumer Cyclical|11/28/2005|Close|42.2500|5/21/2010|High|50.9800|6/29/2006|Low|28.9000|Down|153|213
Bearish Engulfing|AAP.US|Specialty Retail|Consumer Cyclical|12/11/2007|Close|38.6300|7/21/2009|High|46.3600|1/14/2008|Low|30.1700|Down|24|34
Bearish Engulfing|AAT.US|REIT - Diversified|Real Estate|2/15/2013|Close|29.6600|5/2/2013|High|36.2650|3/17/2020|Low|23.3100|Up|54|76
Bearish Engulfing|AAT.US|REIT - Diversified|Real Estate|2/28/2013|Close|30.2300|10/22/2014|High|36.6300|3/17/2020|Low|23.3100|Up|429|601
Bearish Engulfing|AAXJ.US|||4/10/2014|Close|60.8000|9/15/2017|High|73.1800|8/24/2015|Low|47.6100|Down|357|501
Bearish Engulfing|AAXJ.US|||7/27/2017|Close|70.7500|11/9/2020|High|86.4000|3/16/2020|Low|53.8900|Down|687|963
Bearish Engulfing|ABBV.US|Drug Manufacturers - General|Healthcare|11/28/2022|Close|158.4300|||||||||
Bearish Engulfing|ABCB.US|Banks - Regional|Financial Services|1/9/1996|Close|7.7009|6/5/1996|High|9.8626|2/12/2009|Low|5.8657|Up|106|148
Bearish Engulfing|ABCB.US|Banks - Regional|Financial Services|3/8/2005|Close|17.8418|2/22/2006|High|21.5756|11/6/2007|Low|14.0173|Up|251|351
Bearish Engulfing|ABCB.US|Banks - Regional|Financial Services|2/29/2012|Close|11.5200|2/15/2013|High|13.9900||||Up|252|352
Bearish Engulfing|ABCB.US|Banks - Regional|Financial Services|10/30/2015|Close|31.5000|11/9/2016|High|39.2500|2/11/2016|Low|24.9600|Down|74|104
Bearish Engulfing|ABCB.US|Banks - Regional|Financial Services|1/24/2018|Close|53.5500||||10/12/2018|Low|41.8600|Down|187|261
Bearish Engulfing|ABEO.US|Biotechnology|Healthcare|11/5/2001|Close|27500.0000|1/11/2002|High|34062.5000|2/21/2002|Low|21250.0000|Up|49|67
Bearish Engulfing|ABEQ.US|||1/13/2022|Close|28.9230|||||||||
Bearish Engulfing|ABEQ.US|||11/14/2022|Close|27.6960|||||||||
Bearish Engulfing|ABG.US|Auto & Truck Dealerships|Consumer Cyclical|3/13/2007|Close|27.5900|1/2/2013|High|33.4000|7/26/2007|Low|21.2600|Down|97|135
Bearish Engulfing|ABG.US|Auto & Truck Dealerships|Consumer Cyclical|4/30/2007|Close|28.7700|1/4/2013|High|34.7100|7/24/2007|Low|22.9600|Down|61|85
Bearish Engulfing|ABM.US|Specialty Business Services|Industrials|3/3/2003|Close|13.1700|6/18/2003|High|15.9900||||Up|77|107
