Name|Category|Sub Category|Number Signals|Success %|Avg Duration
Bearish Engulfing|Industry|PERFUMES, COSMETICS & OTHER TOILET PREPARATIONS|10|0.9|57
Bearish Engulfing|Industry|APPAREL & OTHER FINISHD PRODS OF FABRICS & SIMILAR MATL|10|0.7|52
Bearish Engulfing|Industry|CRUDE PETROLEUM & NATURAL GAS|38|0.6842105263157895|41
Bearish Engulfing|Industry|REAL ESTATE|12|0.6666666666666666|73
Bearish Engulfing|Industry|SERVICES-COMPUTER PROGRAMMING, DATA PROCESSING, ETC.|14|0.6428571428571429|46
Bearish Engulfing|Industry|WATER TRANSPORTATION|14|0.6428571428571429|61
Bearish Engulfing|Industry|PETROLEUM REFINING|23|0.6086956521739131|35
Bearish Engulfing|Industry|SERVICES-HOME HEALTH CARE SERVICES|10|0.6|47
Bearish Engulfing|Industry|RAILROADS, LINE-HAUL OPERATING|10|0.6|102
Bearish Engulfing|Industry|RETAIL-RETAIL STORES, NEC|12|0.5833333333333334|46
Bearish Engulfing|Industry|SERVICES-COMPUTER PROCESSING & DATA PREPARATION|14|0.5714285714285714|57
Bearish Engulfing|Industry|TRUCKING (NO LOCAL)|23|0.5652173913043478|53
Bearish Engulfing|Industry|ARRANGEMENT OF TRANSPORTATION OF FREIGHT & CARGO|11|0.5454545454545454|44
Bearish Engulfing|Industry|NATURAL GAS TRANSMISSION|13|0.5384615384615384|57
Bearish Engulfing|Industry|INDUSTRIAL INSTRUMENTS FOR MEASUREMENT, DISPLAY, AND CONTROL|15|0.5333333333333333|76
Bearish Engulfing|Industry|SERVICES-COMPUTER INTEGRATED SYSTEMS DESIGN|17|0.5294117647058824|61
Bearish Engulfing|Industry|ORTHOPEDIC, PROSTHETIC & SURGICAL APPLIANCES & SUPPLIES|17|0.5294117647058824|71
Bearish Engulfing|Industry|OPERATIVE BUILDERS|19|0.5263157894736842|49
Bearish Engulfing|Industry|INVESTMENT ADVICE|41|0.5121951219512195|73
Bearish Engulfing|Industry|PLASTIC MATERIALS, SYNTH RESINS & NONVULCAN ELASTOMERS|16|0.5|27
Bearish Engulfing|Industry|AIRCRAFT ENGINES & ENGINE PARTS|10|0.5|34
Bearish Engulfing|Industry|SERVICES-PREPACKAGED SOFTWARE|70|0.5|39
Bearish Engulfing|Industry|RETAIL-VARIETY STORES|23|0.4782608695652174|72
Bearish Engulfing|Industry|CABLE & OTHER PAY TELEVISION SERVICES|21|0.47619047619047616|42
Bearish Engulfing|Industry|ROLLING DRAWING & EXTRUDING OF NONFERROUS METALS|17|0.47058823529411764|83
Bearish Engulfing|Industry|SERVICES-AUTO RENTAL & LEASING (NO DRIVERS)|13|0.46153846153846156|39
Bearish Engulfing|Industry|MOTOR VEHICLE PARTS & ACCESSORIES|26|0.46153846153846156|44
Bearish Engulfing|Industry|TELEPHONE COMMUNICATIONS (NO RADIOTELEPHONE)|13|0.46153846153846156|104
Bearish Engulfing|Industry|AIR TRANSPORTATION, SCHEDULED|22|0.45454545454545453|28
Bearish Engulfing|Overall|All|4778|0.45123482628714945|75
Bearish Engulfing|Industry|PHARMACEUTICAL PREPARATIONS|116|0.4482758620689655|26
Bearish Engulfing|Industry|SERVICES-COMPUTER PROGRAMMING SERVICES|25|0.44|44
Bearish Engulfing|Industry|SERVICES-BUSINESS SERVICES, NEC|42|0.42857142857142855|40
Bearish Engulfing|Industry|REAL ESTATE INVESTMENT TRUSTS|225|0.4266666666666667|106
Bearish Engulfing|Industry|SEMICONDUCTORS & RELATED DEVICES|43|0.4186046511627907|31
Bearish Engulfing|Industry|PRINTED CIRCUIT BOARDS|12|0.4166666666666667|36
Bearish Engulfing|Industry|CONSTRUCTION MACHINERY & EQUIP|12|0.4166666666666667|38
Bearish Engulfing|Industry|LIFE INSURANCE|12|0.4166666666666667|58
Bearish Engulfing|Industry|CIGARETTES|12|0.4166666666666667|93
Bearish Engulfing|Industry|RETAIL-EATING PLACES|56|0.4107142857142857|47
Bearish Engulfing|Industry|SURGICAL & MEDICAL INSTRUMENTS & APPARATUS|49|0.40816326530612246|55
