Name|Category|Sub Category|Number Signals|Success %|Avg Duration
Bearish Engulfing|Entity|MDIV.US|11|1|399
Bearish Engulfing|Entity|UDN.US|10|1|525
Bearish Engulfing|Entity|BBDC.US|13|0.9230769230769231|48
Bearish Engulfing|Entity|HYG.US|13|0.9230769230769231|546
Bearish Engulfing|Entity|FXC.US|11|0.9090909090909091|762
Bearish Engulfing|Entity|SRL.US|10|0.9|20
Bearish Engulfing|Entity|CSTE.US|10|0.9|33
Bearish Engulfing|Entity|NBHC.US|10|0.9|57
Bearish Engulfing|Entity|JNK.US|10|0.9|613
Bearish Engulfing|Entity|PSK.US|16|0.875|392
Bearish Engulfing|Entity|AVNS.US|14|0.8571428571428571|37
Bearish Engulfing|Entity|FCEL.US|13|0.8461538461538461|11
Bearish Engulfing|Entity|SBB.US|13|0.8461538461538461|62
Bearish Engulfing|Entity|KBWD.US|13|0.8461538461538461|197
Bearish Engulfing|Entity|PHB.US|13|0.8461538461538461|1478
Bearish Engulfing|Entity|GEG.US|12|0.8333333333333334|7
Bearish Engulfing|Entity|NYMT.US|12|0.8333333333333334|146
Bearish Engulfing|Entity|KBWY.US|11|0.8181818181818182|171
Bearish Engulfing|Entity|WIP.US|11|0.8181818181818182|353
Bearish Engulfing|Entity|IMUX.US|10|0.8|7
Bearish Engulfing|Entity|SPT.US|10|0.8|10
Bearish Engulfing|Entity|MODN.US|10|0.8|23
Bearish Engulfing|Entity|YYY.US|10|0.8|250
Bearish Engulfing|Entity|CEW.US|10|0.8|448
Bearish Engulfing|Sector|Other|19|0.7894736842105263|327
Bearish Engulfing|Industry|Other|19|0.7894736842105263|327
Bearish Engulfing|Entity|INCY.US|23|0.782608695652174|30
Bearish Engulfing|Entity|IDT.US|18|0.7777777777777778|48
Bearish Engulfing|Entity|STAG.US|13|0.7692307692307693|78
Bearish Engulfing|Entity|TWO.US|13|0.7692307692307693|139
Bearish Engulfing|Entity|PFXF.US|13|0.7692307692307693|254
Bearish Engulfing|Entity|SDIV.US|13|0.7692307692307693|296
Bearish Engulfing|Entity|PCRX.US|12|0.75|11
Bearish Engulfing|Entity|ASA.US|24|0.75|40
Bearish Engulfing|Entity|FWONK.US|16|0.75|45
Bearish Engulfing|Entity|SIMO.US|19|0.7368421052631579|28
Bearish Engulfing|Entity|DON.US|19|0.7368421052631579|175
Bearish Engulfing|Entity|LABU.US|15|0.7333333333333333|5
Bearish Engulfing|Entity|INSM.US|15|0.7333333333333333|15
Bearish Engulfing|Entity|SRET.US|15|0.7333333333333333|267
Bearish Engulfing|Entity|TVC.US|15|0.7333333333333333|448
Bearish Engulfing|Entity|FTK.US|11|0.7272727272727273|10
Bearish Engulfing|Entity|CTLP.US|11|0.7272727272727273|20
Bearish Engulfing|Entity|TRIP.US|11|0.7272727272727273|29
Bearish Engulfing|Entity|MRC.US|11|0.7272727272727273|33
Bearish Engulfing|Entity|PINC.US|11|0.7272727272727273|44
Bearish Engulfing|Entity|PSP.US|11|0.7272727272727273|56
Bearish Engulfing|Entity|REK.US|11|0.7272727272727273|60
Bearish Engulfing|Entity|BUI.US|11|0.7272727272727273|136
Bearish Engulfing|Entity|EMIF.US|11|0.7272727272727273|155
