Name|Category|Sub Category|Number Signals|Success %|Avg Duration
Bearish Engulfing|Industry|Asset Management|12|0.6666666666666666|131
Bearish Engulfing|Sector|Technology|26|0.5384615384615384|26
Bearish Engulfing|Sector|Healthcare|55|0.5272727272727272|27
Bearish Engulfing|Sector|Consumer Defensive|21|0.5238095238095238|23
Bearish Engulfing|Sector|Industrials|55|0.45454545454545453|29
Bearish Engulfing|Overall|All|1099|0.445859872611465|100
Bearish Engulfing|Sector|Consumer Cyclical|36|0.4444444444444444|29
Bearish Engulfing|Sector|Real Estate|27|0.4444444444444444|65
Bearish Engulfing|Industry|Biotechnology|16|0.4375|4
Bearish Engulfing|Sector|Utilities|16|0.4375|53
Bearish Engulfing|Sector|Financial Services|88|0.375|65
Bearish Engulfing|Sector|Basic Materials|14|0.35714285714285715|24
Bearish Engulfing|Sector|Energy|19|0.3157894736842105|48
Bearish Engulfing|Industry|Banks - Regional|55|0.2909090909090909|46
