Name|Category|Sub Category|Number Signals|Success %|Avg Duration
Bearish Engulfing|Industry|PHARMACEUTICAL PREPARATIONS|58|0.6206896551724138|54
Bearish Engulfing|Industry|RETAIL-VARIETY STORES|13|0.5384615384615384|113
Bearish Engulfing|Industry|SERVICES-COMPUTER PROGRAMMING SERVICES|17|0.5294117647058824|113
Bearish Engulfing|Industry|RETAIL-RETAIL STORES, NEC|10|0.5|110
Bearish Engulfing|Industry|PLASTIC MATERIALS, SYNTH RESINS & NONVULCAN ELASTOMERS|11|0.45454545454545453|121
Bearish Engulfing|Industry|CABLE & OTHER PAY TELEVISION SERVICES|14|0.42857142857142855|148
Bearish Engulfing|Industry|BIOLOGICAL PRODUCTS, (NO DISGNOSTIC SUBSTANCES)|15|0.4|47
Bearish Engulfing|Industry|MOTOR VEHICLE PARTS & ACCESSORIES|15|0.4|68
Bearish Engulfing|Industry|AIR TRANSPORTATION, SCHEDULED|10|0.4|72
Bearish Engulfing|Industry|SERVICES-MANAGEMENT CONSULTING SERVICES|13|0.38461538461538464|98
Bearish Engulfing|Industry|CRUDE PETROLEUM & NATURAL GAS|18|0.3333333333333333|89
Bearish Engulfing|Industry|SERVICES-PREPACKAGED SOFTWARE|45|0.3333333333333333|115
Bearish Engulfing|Industry|SEMICONDUCTORS & RELATED DEVICES|30|0.3|75
Bearish Engulfing|Industry|RETAIL-EATING PLACES|30|0.3|157
Bearish Engulfing|Industry|SECURITY BROKERS, DEALERS & FLOTATION COMPANIES|18|0.2777777777777778|127
Bearish Engulfing|Industry|HOTELS & MOTELS|12|0.25|120
Bearish Engulfing|Industry|INVESTMENT ADVICE|16|0.25|173
Bearish Engulfing|Overall|All|2849|0.23727623727623728|106
Bearish Engulfing|Industry|SERVICES-BUSINESS SERVICES, NEC|26|0.23076923076923078|146
Bearish Engulfing|Industry|SERVICES-HELP SUPPLY SERVICES|10|0.2|101
Bearish Engulfing|Industry|SERVICES-COMPUTER INTEGRATED SYSTEMS DESIGN|10|0.2|146
Bearish Engulfing|Industry|INDUSTRIAL INSTRUMENTS FOR MEASUREMENT, DISPLAY, AND CONTROL|11|0.18181818181818182|126
Bearish Engulfing|Industry|STATE COMMERCIAL BANKS|100|0.17|174
Bearish Engulfing|Industry|OPERATIVE BUILDERS|12|0.16666666666666666|44
Bearish Engulfing|Industry|LABORATORY ANALYTICAL INSTRUMENTS|12|0.16666666666666666|58
Bearish Engulfing|Industry|SURGICAL & MEDICAL INSTRUMENTS & APPARATUS|33|0.15151515151515152|55
Bearish Engulfing|Industry|ELECTRIC & OTHER SERVICES COMBINED|22|0.13636363636363635|90
Bearish Engulfing|Industry|NATIONAL COMMERCIAL BANKS|66|0.13636363636363635|128
Bearish Engulfing|Industry|COMMODITY CONTRACTS BROKERS & DEALERS|34|0.11764705882352941|100
Bearish Engulfing|Industry|FIRE, MARINE & CASUALTY INSURANCE|55|0.10909090909090909|207
Bearish Engulfing|Industry|CANNED, FROZEN & PRESERVD FRUIT, VEG & FOOD SPECIALTIES|11|0.09090909090909091|281
Bearish Engulfing|Industry|REAL ESTATE INVESTMENT TRUSTS|119|0.08403361344537816|148
Bearish Engulfing|Industry|SECURITY & COMMODITY BROKERS, DEALERS, EXCHANGES & SERVICES|12|0.08333333333333333|58
Bearish Engulfing|Industry|ORTHOPEDIC, PROSTHETIC & SURGICAL APPLIANCES & SUPPLIES|13|0.07692307692307693|10
Bearish Engulfing|Industry|ELECTRIC SERVICES|24|0.041666666666666664|48
Bearish Engulfing|Industry|RETAIL-AUTO DEALERS & GASOLINE STATIONS|10|0|0
Bearish Engulfing|Industry|WATER SUPPLY|17|0|0
