Name,Category,Sub Category,Number Signals,Success %,Avg Duration
Bearish Engulfing,Entity,MORT.US,12,1,416
Bearish Engulfing,Entity,EFC.US,12,1,466
Bearish Engulfing,Entity,GDX.US,13,0.9230769230769231,280
Bearish Engulfing,Entity,PFXF.US,11,0.9090909090909091,807
Bearish Engulfing,Entity,JSM.US,10,0.9,625
Bearish Engulfing,Entity,JHI.US,10,0.9,662
Bearish Engulfing,Entity,PSK.US,10,0.9,1051
Bearish Engulfing,Entity,AGNC.US,14,0.8571428571428571,328
Bearish Engulfing,Entity,AKO-B.US,11,0.8181818181818182,137
Bearish Engulfing,Entity,SPR.US,11,0.8181818181818182,146
Bearish Engulfing,Entity,CSR.US,11,0.8181818181818182,202
Bearish Engulfing,Entity,HTH.US,11,0.8181818181818182,278
Bearish Engulfing,Entity,PEBO.US,11,0.8181818181818182,376
Bearish Engulfing,Entity,TVC.US,11,0.8181818181818182,3214
Bearish Engulfing,Entity,PRAA.US,10,0.8,90
Bearish Engulfing,Entity,AWI.US,10,0.8,140
Bearish Engulfing,Entity,UCBI.US,13,0.7692307692307693,249
Bearish Engulfing,Entity,STAA.US,12,0.75,32
Bearish Engulfing,Entity,EXPE.US,12,0.75,112
Bearish Engulfing,Entity,UAL.US,12,0.75,182
Bearish Engulfing,Entity,TTE.US,12,0.75,313
Bearish Engulfing,Entity,PFG.US,15,0.7333333333333333,240
Bearish Engulfing,Entity,KFRC.US,11,0.7272727272727273,106
Bearish Engulfing,Entity,FWONK.US,11,0.7272727272727273,181
Bearish Engulfing,Entity,RGI.US,11,0.7272727272727273,241
Bearish Engulfing,Entity,ALEX.US,11,0.7272727272727273,287
Bearish Engulfing,Entity,ACWX.US,11,0.7272727272727273,311
Bearish Engulfing,Entity,CCNE.US,11,0.7272727272727273,369
Bearish Engulfing,Entity,DEI.US,11,0.7272727272727273,451
Bearish Engulfing,Entity,RRC.US,18,0.7222222222222222,160
Bearish Engulfing,Entity,LTC.US,14,0.7142857142857143,167
Bearish Engulfing,Entity,CADE.US,17,0.7058823529411765,272
Bearish Engulfing,Industry,REIT - Mortgage,94,0.7021276595744681,378
Bearish Engulfing,Entity,CACG.US,10,0.7,224
Bearish Engulfing,Entity,CIBR.US,10,0.7,276
Bearish Engulfing,Entity,DEO.US,10,0.7,386
Bearish Engulfing,Entity,SHE.US,10,0.7,466
Bearish Engulfing,Entity,RWO.US,10,0.7,547
Bearish Engulfing,Sector,Other,10,0.7,809
Bearish Engulfing,Industry,Other,10,0.7,809
Bearish Engulfing,Entity,HYG.US,10,0.7,3301
Bearish Engulfing,Entity,BIG.US,23,0.6956521739130435,134
Bearish Engulfing,Entity,BDC.US,13,0.6923076923076923,114
Bearish Engulfing,Entity,AGX.US,13,0.6923076923076923,153
Bearish Engulfing,Entity,MET.US,13,0.6923076923076923,371
Bearish Engulfing,Entity,STWD.US,13,0.6923076923076923,457
Bearish Engulfing,Entity,TALO.US,16,0.6875,75
Bearish Engulfing,Entity,UI.US,16,0.6875,102
Bearish Engulfing,Entity,AGCO.US,16,0.6875,187
Bearish Engulfing,Entity,UVV.US,19,0.6842105263157895,111
Bearish Engulfing,Entity,MS.US,19,0.6842105263157895,188
Bearish Engulfing,Entity,SLAB.US,15,0.6666666666666666,91
Bearish Engulfing,Entity,DOC.US,21,0.6666666666666666,112
Bearish Engulfing,Entity,AMWD.US,12,0.6666666666666666,129
Bearish Engulfing,Entity,NLY.US,12,0.6666666666666666,156
Bearish Engulfing,Entity,VTR.US,24,0.6666666666666666,168
Bearish Engulfing,Entity,TARO.US,15,0.6666666666666666,179
Bearish Engulfing,Entity,HOG.US,12,0.6666666666666666,207
Bearish Engulfing,Entity,ON.US,15,0.6666666666666666,219
