Name|Category|Sub Category|Number Signals|Success %|Avg Duration
Bearish Engulfing|Industry|RAILROADS, LINE-HAUL OPERATING|10|0.7|235
Bearish Engulfing|Industry|TRUCKING (NO LOCAL)|23|0.6086956521739131|177
Bearish Engulfing|Industry|PERFUMES, COSMETICS & OTHER TOILET PREPARATIONS|10|0.6|136
Bearish Engulfing|Industry|PETROLEUM REFINING|23|0.5652173913043478|112
Bearish Engulfing|Industry|RETAIL-VARIETY STORES|23|0.5652173913043478|154
Bearish Engulfing|Industry|CRUDE PETROLEUM & NATURAL GAS|38|0.5526315789473685|88
Bearish Engulfing|Industry|MOTOR VEHICLE PARTS & ACCESSORIES|26|0.5384615384615384|104
Bearish Engulfing|Industry|SERVICES-COMPUTER PROGRAMMING SERVICES|25|0.52|176
Bearish Engulfing|Industry|INVESTMENT ADVICE|41|0.4878048780487805|216
Bearish Engulfing|Industry|ROLLING DRAWING & EXTRUDING OF NONFERROUS METALS|17|0.47058823529411764|169
Bearish Engulfing|Industry|AIR TRANSPORTATION, SCHEDULED|22|0.45454545454545453|102
Bearish Engulfing|Industry|PHARMACEUTICAL PREPARATIONS|116|0.43103448275862066|66
Bearish Engulfing|Industry|CONSTRUCTION MACHINERY & EQUIP|12|0.4166666666666667|93
Bearish Engulfing|Industry|REAL ESTATE|12|0.4166666666666667|260
Bearish Engulfing|Industry|LIFE INSURANCE|12|0.4166666666666667|334
Bearish Engulfing|Industry|COMPUTER COMMUNICATIONS EQUIPMENT|10|0.4|223
Bearish Engulfing|Industry|INDUSTRIAL INSTRUMENTS FOR MEASUREMENT, DISPLAY, AND CONTROL|15|0.4|244
Bearish Engulfing|Industry|NATURAL GAS TRANSMISSION|13|0.38461538461538464|124
Bearish Engulfing|Industry|CABLE & OTHER PAY TELEVISION SERVICES|21|0.38095238095238093|149
Bearish Engulfing|Industry|PLASTIC MATERIALS, SYNTH RESINS & NONVULCAN ELASTOMERS|16|0.375|119
Bearish Engulfing|Industry|SEMICONDUCTORS & RELATED DEVICES|43|0.37209302325581395|84
Bearish Engulfing|Industry|SERVICES-COMPUTER PROGRAMMING, DATA PROCESSING, ETC.|14|0.35714285714285715|115
