Name|Category|Sub Category|Number Signals|Success %|Avg Duration
Bearish Engulfing|Industry|Asset Management|15|0.8|110
Bearish Engulfing|Industry|Medical Devices|12|0.75|24
Bearish Engulfing|Industry|Apparel Retail|11|0.6363636363636364|25
Bearish Engulfing|Industry|Information Technology Services|12|0.5833333333333334|23
Bearish Engulfing|Sector|Technology|54|0.5185185185185185|26
Bearish Engulfing|Sector|Industrials|84|0.5119047619047619|32
Bearish Engulfing|Industry|Specialty Industrial Machinery|12|0.5|40
Bearish Engulfing|Industry|REIT - Residential|12|0.5|76
Bearish Engulfing|Sector|Healthcare|89|0.48314606741573035|36
Bearish Engulfing|Sector|Real Estate|52|0.4807692307692308|70
Bearish Engulfing|Sector|Consumer Defensive|38|0.47368421052631576|61
Bearish Engulfing|Sector|Communication Services|13|0.46153846153846156|24
Bearish Engulfing|Industry|REIT - Retail|13|0.46153846153846156|40
Bearish Engulfing|Industry|Oil & Gas E&P|13|0.46153846153846156|50
Bearish Engulfing|Sector|Energy|35|0.45714285714285713|28
Bearish Engulfing|Sector|Consumer Cyclical|69|0.4492753623188406|34
Bearish Engulfing|Overall|All|1775|0.4450704225352113|95
Bearish Engulfing|Industry|Drug Manufacturers - General|12|0.4166666666666667|55
Bearish Engulfing|Sector|Financial Services|129|0.3953488372093023|65
Bearish Engulfing|Industry|Biotechnology|21|0.38095238095238093|6
Bearish Engulfing|Industry|Software - Application|11|0.36363636363636365|18
Bearish Engulfing|Industry|Banks - Regional|78|0.34615384615384615|51
Bearish Engulfing|Sector|Basic Materials|26|0.34615384615384615|66
Bearish Engulfing|Sector|Utilities|38|0.3157894736842105|95
Bearish Engulfing|Industry|Drug Manufacturers - Specialty & Generic|10|0.3|31
Bearish Engulfing|Industry|Insurance - Diversified|15|0.26666666666666666|60
Bearish Engulfing|Industry|Utilities - Regulated Electric|18|0.2222222222222222|66
