Name|Category|Sub Category|Number Signals|Success %|Avg Duration
Bearish Hammer With FollowThru|Industry|SERVICES-BUSINESS SERVICES, NEC|11|0.6363636363636364|51
Bearish Hammer With FollowThru|Industry|COMMODITY CONTRACTS BROKERS & DEALERS|27|0.48148148148148145|97
Bearish Hammer With FollowThru|Industry|ELECTRIC SERVICES|15|0.4666666666666667|47
Bearish Hammer With FollowThru|Industry|PHARMACEUTICAL PREPARATIONS|21|0.42857142857142855|78
Bearish Hammer With FollowThru|Industry|REAL ESTATE INVESTMENT TRUSTS|66|0.42424242424242425|139
Bearish Hammer With FollowThru|Industry|ELECTRIC & OTHER SERVICES COMBINED|17|0.4117647058823529|87
Bearish Hammer With FollowThru|Overall|All|1968|0.40040650406504064|109
Bearish Hammer With FollowThru|Industry|SERVICES-PREPACKAGED SOFTWARE|23|0.391304347826087|67
Bearish Hammer With FollowThru|Industry|INVESTMENT ADVICE|17|0.35294117647058826|28
Bearish Hammer With FollowThru|Industry|FIRE, MARINE & CASUALTY INSURANCE|35|0.2857142857142857|148
Bearish Hammer With FollowThru|Industry|SEMICONDUCTORS & RELATED DEVICES|20|0.25|25
Bearish Hammer With FollowThru|Industry|NATIONAL COMMERCIAL BANKS|28|0.17857142857142858|108
Bearish Hammer With FollowThru|Industry|SECURITY BROKERS, DEALERS & FLOTATION COMPANIES|12|0.16666666666666666|41
Bearish Hammer With FollowThru|Industry|STATE COMMERCIAL BANKS|60|0.1|114
