Name|Category|Sub Category|Number Signals|Success %|Avg Duration
Bearish Hammer With FollowThru|Industry|REIT - Residential|12|0.75|58
Bearish Hammer With FollowThru|Industry|Software - Application|15|0.7333333333333333|11
Bearish Hammer With FollowThru|Industry|Medical Devices|14|0.7142857142857143|38
Bearish Hammer With FollowThru|Sector|Technology|55|0.6181818181818182|33
Bearish Hammer With FollowThru|Industry|Biotechnology|22|0.5454545454545454|8
Bearish Hammer With FollowThru|Industry|Diagnostics & Research|11|0.5454545454545454|16
Bearish Hammer With FollowThru|Sector|Energy|40|0.525|30
Bearish Hammer With FollowThru|Sector|Real Estate|46|0.5217391304347826|59
Bearish Hammer With FollowThru|Sector|Healthcare|86|0.5116279069767442|24
Bearish Hammer With FollowThru|Sector|Industrials|88|0.5113636363636364|38
Bearish Hammer With FollowThru|Industry|Integrated Freight & Logistics|10|0.5|18
Bearish Hammer With FollowThru|Industry|Utilities - Regulated Electric|20|0.5|93
Bearish Hammer With FollowThru|Industry|Banks - Regional|126|0.46825396825396826|71
Bearish Hammer With FollowThru|Industry|Farm & Heavy Construction Machinery|13|0.46153846153846156|73
Bearish Hammer With FollowThru|Sector|Basic Materials|37|0.4594594594594595|37
Bearish Hammer With FollowThru|Industry|Oil & Gas Integrated|11|0.45454545454545453|37
Bearish Hammer With FollowThru|Overall|All|2231|0.4468848050201703|160
Bearish Hammer With FollowThru|Sector|Consumer Cyclical|72|0.4444444444444444|32
Bearish Hammer With FollowThru|Sector|Financial Services|197|0.43147208121827413|68
Bearish Hammer With FollowThru|Sector|Consumer Defensive|47|0.425531914893617|51
Bearish Hammer With FollowThru|Sector|Utilities|50|0.42|86
Bearish Hammer With FollowThru|Industry|Oil & Gas E&P|10|0.4|14
Bearish Hammer With FollowThru|Industry|Engineering & Construction|10|0.4|31
Bearish Hammer With FollowThru|Industry|Furnishings, Fixtures & Appliances|10|0.4|39
Bearish Hammer With FollowThru|Sector|Communication Services|15|0.4|60
Bearish Hammer With FollowThru|Industry|Specialty Industrial Machinery|15|0.4|62
Bearish Hammer With FollowThru|Industry|Medical Instruments & Supplies|13|0.38461538461538464|37
Bearish Hammer With FollowThru|Entity|KO.US|11|0.36363636363636365|209
Bearish Hammer With FollowThru|Industry|Specialty Chemicals|14|0.35714285714285715|34
Bearish Hammer With FollowThru|Industry|Insurance Brokers|13|0.3076923076923077|39
Bearish Hammer With FollowThru|Industry|Asset Management|23|0.30434782608695654|95
Bearish Hammer With FollowThru|Industry|Utilities - Regulated Gas|10|0.3|27
Bearish Hammer With FollowThru|Industry|Beverages - Non-Alcoholic|12|0.25|79
Bearish Hammer With FollowThru|Industry|Utilities - Regulated Water|10|0.2|2
