Name|Code|Industry|Sector|Entry Date|Entry Price Point|Entry Price|Result Up Date|Result Up Price Point|Result Up Price|Result Down Date|Result Down Price Point|Result Down Price|Result Direction|Trading Days|Calendar Days
Bearish Hammer With FollowThru|AAT.US|REIT - Diversified|Real Estate|3/8/2021|Close|36.2800|8/31/2021|High|40.2250|3/22/2021|Low|32.6000|Down|10|14
Bearish Hammer With FollowThru|AA.US|Aluminum|Basic Materials|12/29/1977|Close|6.9086|10/9/1978|High|7.7347|1/19/1978|Low|6.1577|Down|15|21
Bearish Hammer With FollowThru|AA.US|Aluminum|Basic Materials|2/13/1980|Close|10.3629|10/16/1980|High|11.4706|3/13/1980|Low|9.0863|Down|21|29
Bearish Hammer With FollowThru|AA.US|Aluminum|Basic Materials|10/11/1988|Close|16.8961|1/20/1989|High|18.8485|11/8/1990|Low|14.9061|Up|73|101
Bearish Hammer With FollowThru|AA.US|Aluminum|Basic Materials|12/27/1991|Close|19.6370|2/19/1992|High|22.0025|11/20/2008|Low|16.3404|Up|38|54
Bearish Hammer With FollowThru|AA.US|Aluminum|Basic Materials|1/12/2015|Close|38.8565|8/29/2017|High|43.1800|1/14/2015|Low|34.9396|Down|2|2
Bearish Hammer With FollowThru|ABCB.US|Banks - Regional|Financial Services|6/29/2012|Close|12.6000|2/15/2013|High|13.9900|8/2/2012|Low|11.2700|Down|24|34
Bearish Hammer With FollowThru|ABCS.US|||12/7/2012|Close|18.5900|12/20/2023|High|25.3700||||Up|2878|4030
Bearish Hammer With FollowThru|ABEO.US|Biotechnology|Healthcare|3/10/1989|Close|1062500.0000|3/13/1989|High|1187500.0000|3/20/1989|Low|937500.0000|Up|1|3
Bearish Hammer With FollowThru|ABEO.US|Biotechnology|Healthcare|9/10/2007|Close|5625.0000|7/30/2009|High|6250.0000|10/5/2007|Low|4812.5000|Down|19|25
Bearish Hammer With FollowThru|ABEO.US|Biotechnology|Healthcare|2/25/2009|Close|1750.0000|3/11/2009|High|2025.0000|2/26/2009|Low|1387.5000|Down|1|1
Bearish Hammer With FollowThru|ABEQ.US|||10/25/2022|Close|26.4800|1/17/2023|High|29.2400||||Up|60|84
Bearish Hammer With FollowThru|ABM.US|Specialty Business Services|Industrials|6/18/2010|Close|22.7100|12/9/2010|High|25.2400|7/1/2010|Low|20.3300|Down|9|13
Bearish Hammer With FollowThru|AB.US|Asset Management|Financial Services|3/29/2007|Close|88.5000||||8/15/2007|Low|76.5500|Down|99|139
Bearish Hammer With FollowThru|ACGL.US|Insurance - Diversified|Financial Services|4/17/2002|Close|3.2100|12/4/2002|High|3.8333|7/10/2002|Low|2.8444|Down|60|84
Bearish Hammer With FollowThru|ACHC.US|Medical Care Facilities|Healthcare|8/20/2001|Close|1.8400|10/17/2001|High|2.5200|9/6/2001|Low|1.6400|Down|13|17
Bearish Hammer With FollowThru|ACHV.US|Biotechnology|Healthcare|9/24/2021|Close|9.3700||||9/30/2021|Low|8.3700|Down|4|6
Bearish Hammer With FollowThru|ACNB.US|Banks - Regional|Financial Services|5/8/2018|Close|31.6500|6/22/2018|High|36.0000|3/9/2020|Low|27.7400|Up|33|45
Bearish Hammer With FollowThru|ACNB.US|Banks - Regional|Financial Services|11/8/2022|Close|37.1000|12/21/2022|High|41.2800|3/10/2023|Low|33.3900|Up|31|43
Bearish Hammer With FollowThru|ADC.US|REIT - Retail|Real Estate|7/25/2001|Close|20.0000|5/13/2003|High|22.1000|9/21/2001|Low|17.1500|Down|42|58
Bearish Hammer With FollowThru|ADI.US|Semiconductors|Technology|7/15/1987|Close|3.5417|8/7/1987|High|3.9584|9/17/1987|Low|3.0625|Up|17|23
Bearish Hammer With FollowThru|ADM.US|Farm Products|Consumer Defensive|8/22/2001|Close|13.7619|11/15/2001|High|15.3900|9/18/2001|Low|12.3800|Down|19|27
Bearish Hammer With FollowThru|ADP.US|Staffing & Employment Services|Industrials|10/31/1985|Close|2.7014|12/5/1985|High|2.9740||||Up|25|35
Bearish Hammer With FollowThru|ADP.US|Staffing & Employment Services|Industrials|8/26/1986|Close|3.6060|1/8/1987|High|4.0149|9/11/1986|Low|3.1475|Down|12|16
