Name|Category|Sub Category|Number Signals|Success %|Avg Duration
Bearish Hammer With FollowThru|Entity|PZT.US|10|0.7|221
Bearish Hammer With FollowThru|Industry|Banks - Diversified|13|0.6153846153846154|120
Bearish Hammer With FollowThru|Entity|DORM.US|10|0.6|10
Bearish Hammer With FollowThru|Industry|Insurance - Property & Casualty|10|0.6|50
Bearish Hammer With FollowThru|Entity|RTM.US|10|0.6|143
Bearish Hammer With FollowThru|Entity|RSPM.US|10|0.6|143
Bearish Hammer With FollowThru|Industry|Biotechnology|48|0.5833333333333334|28
Bearish Hammer With FollowThru|Industry|Investment Banking & Investment Services|12|0.5833333333333334|260
Bearish Hammer With FollowThru|Industry|Electronic Components|16|0.5625|37
Bearish Hammer With FollowThru|Industry|Medical Care Facilities|11|0.5454545454545454|5
Bearish Hammer With FollowThru|Industry|Beverages - Non-Alcoholic|11|0.5454545454545454|73
Bearish Hammer With FollowThru|Industry|Engineering & Construction|13|0.5384615384615384|58
Bearish Hammer With FollowThru|Industry|REIT - Retail|13|0.5384615384615384|61
Bearish Hammer With FollowThru|Industry|REIT - Residential|13|0.5384615384615384|83
Bearish Hammer With FollowThru|Sector|Financials|13|0.5384615384615384|260
Bearish Hammer With FollowThru|Industry|Specialty Chemicals|17|0.5294117647058824|22
Bearish Hammer With FollowThru|Sector|Technology|104|0.5096153846153846|39
Bearish Hammer With FollowThru|Industry|Integrated Freight & Logistics|10|0.5|21
Bearish Hammer With FollowThru|Entity|PUI.US|10|0.5|52
Bearish Hammer With FollowThru|Entity|ONEQ.US|10|0.5|159
Bearish Hammer With FollowThru|Industry|Auto Parts|17|0.47058823529411764|39
Bearish Hammer With FollowThru|Industry|Software - Application|30|0.4666666666666667|36
Bearish Hammer With FollowThru|Industry|Utilities - Regulated Electric|15|0.4666666666666667|66
Bearish Hammer With FollowThru|Entity|PBJ.US|13|0.46153846153846156|156
Bearish Hammer With FollowThru|Sector|Utilities|46|0.45652173913043476|182
Bearish Hammer With FollowThru|Industry|Insurance - Diversified|11|0.45454545454545453|20
Bearish Hammer With FollowThru|Entity|RDOG.US|11|0.45454545454545453|222
Bearish Hammer With FollowThru|Industry|Information Technology Services|20|0.45|32
Bearish Hammer With FollowThru|Sector|Real Estate|87|0.4482758620689655|88
Bearish Hammer With FollowThru|Industry|Asset Management|43|0.4418604651162791|105
Bearish Hammer With FollowThru|Sector|Industrials|142|0.4295774647887324|34
Bearish Hammer With FollowThru|Entity|RWR.US|12|0.4166666666666667|76
Bearish Hammer With FollowThru|Industry|Packaging & Containers|12|0.4166666666666667|97
Bearish Hammer With FollowThru|Industry|Credit Services|17|0.4117647058823529|17
Bearish Hammer With FollowThru|Industry|Insurance Brokers|17|0.4117647058823529|74
Bearish Hammer With FollowThru|Industry|Specialty Industrial Machinery|27|0.4074074074074074|27
Bearish Hammer With FollowThru|Sector|Consumer Defensive|47|0.40425531914893614|103
Bearish Hammer With FollowThru|Industry|Medical Devices|20|0.4|39
Bearish Hammer With FollowThru|Entity|PTH.US|10|0.4|40
Bearish Hammer With FollowThru|Entity|RHS.US|10|0.4|125
Bearish Hammer With FollowThru|Entity|JKE.US|10|0.4|193
Bearish Hammer With FollowThru|Entity|ILCG.US|10|0.4|193
Bearish Hammer With FollowThru|Sector|Healthcare|157|0.39490445859872614|32
Bearish Hammer With FollowThru|Sector|Basic Materials|44|0.38636363636363635|30
Bearish Hammer With FollowThru|Sector|Financial Services|368|0.3858695652173913|91
Bearish Hammer With FollowThru|Overall|All|5924|0.37913571910871036|163
Bearish Hammer With FollowThru|Industry|Aerospace & Defense|16|0.375|25
Bearish Hammer With FollowThru|Industry|Furnishings, Fixtures & Appliances|16|0.375|66
Bearish Hammer With FollowThru|Entity|VTHR.US|16|0.375|230
Bearish Hammer With FollowThru|Sector|Energy|54|0.37037037037037035|31
Bearish Hammer With FollowThru|Industry|Oil & Gas E&P|19|0.3684210526315789|43
Bearish Hammer With FollowThru|Industry|Industrial Distribution|11|0.36363636363636365|12
Bearish Hammer With FollowThru|Entity|CATH.US|11|0.36363636363636365|94
Bearish Hammer With FollowThru|Entity|DGT.US|11|0.36363636363636365|248
