Name|Category|Sub Category|Number Signals|Success %|Avg Duration
Bearish Hammer With FollowThru|Entity|O-P.US|11|0.9090909090909091|309
Bearish Hammer With FollowThru|Entity|YYY.US|10|0.9|263
Bearish Hammer With FollowThru|Entity|AVT.US|10|0.8|35
Bearish Hammer With FollowThru|Entity|ELME.US|10|0.8|74
Bearish Hammer With FollowThru|Entity|TVC.US|10|0.8|351
Bearish Hammer With FollowThru|Entity|WLFC.US|13|0.7692307692307693|34
Bearish Hammer With FollowThru|Industry|Electronics & Computer Distribution|17|0.7647058823529411|32
Bearish Hammer With FollowThru|Entity|PWZ.US|15|0.7333333333333333|553
Bearish Hammer With FollowThru|Entity|MSI.US|11|0.7272727272727273|48
Bearish Hammer With FollowThru|Entity|AKO-A.US|11|0.7272727272727273|50
Bearish Hammer With FollowThru|Entity|CCBG.US|11|0.7272727272727273|84
Bearish Hammer With FollowThru|Entity|FJP.US|11|0.7272727272727273|84
Bearish Hammer With FollowThru|Entity|UPW.US|14|0.7142857142857143|25
Bearish Hammer With FollowThru|Entity|SSL.US|10|0.7|36
Bearish Hammer With FollowThru|Entity|ROOF.US|10|0.7|184
Bearish Hammer With FollowThru|Industry|Airlines|13|0.6923076923076923|26
Bearish Hammer With FollowThru|Industry|Scientific & Technical Instruments|15|0.6666666666666666|42
Bearish Hammer With FollowThru|Entity|BBP.US|12|0.6666666666666666|42
Bearish Hammer With FollowThru|Entity|SPMD.US|12|0.6666666666666666|79
Bearish Hammer With FollowThru|Entity|PZT.US|24|0.6666666666666666|362
Bearish Hammer With FollowThru|Entity|NYF.US|17|0.6470588235294118|1041
Bearish Hammer With FollowThru|Entity|SIGI.US|11|0.6363636363636364|74
Bearish Hammer With FollowThru|Entity|ENFR.US|11|0.6363636363636364|113
Bearish Hammer With FollowThru|Entity|PWOD.US|11|0.6363636363636364|157
Bearish Hammer With FollowThru|Entity|VLT.US|11|0.6363636363636364|342
Bearish Hammer With FollowThru|Entity|BSET.US|13|0.6153846153846154|62
Bearish Hammer With FollowThru|Entity|PSL.US|13|0.6153846153846154|96
Bearish Hammer With FollowThru|Entity|RTM.US|13|0.6153846153846154|115
Bearish Hammer With FollowThru|Entity|GII.US|13|0.6153846153846154|254
Bearish Hammer With FollowThru|Entity|WLY.US|10|0.6|14
Bearish Hammer With FollowThru|Entity|PROV.US|10|0.6|16
Bearish Hammer With FollowThru|Industry|Railroads|10|0.6|54
Bearish Hammer With FollowThru|Entity|HAS.US|10|0.6|62
Bearish Hammer With FollowThru|Entity|FBT.US|15|0.6|76
Bearish Hammer With FollowThru|Entity|EVX.US|10|0.6|107
Bearish Hammer With FollowThru|Industry|REIT - Healthcare Facilities|10|0.6|123
Bearish Hammer With FollowThru|Entity|GRID.US|10|0.6|140
Bearish Hammer With FollowThru|Entity|XRLV.US|10|0.6|169
Bearish Hammer With FollowThru|Entity|VOOV.US|10|0.6|172
Bearish Hammer With FollowThru|Entity|JHI.US|10|0.6|193
Bearish Hammer With FollowThru|Entity|NKSH.US|10|0.6|355
Bearish Hammer With FollowThru|Entity|CMF.US|15|0.6|553
Bearish Hammer With FollowThru|Industry|Waste Management|12|0.5833333333333334|31
Bearish Hammer With FollowThru|Entity|RSPD.US|12|0.5833333333333334|109
Bearish Hammer With FollowThru|Industry|Farm Products|19|0.5789473684210527|67
Bearish Hammer With FollowThru|Industry|Electronic Gaming & Multimedia|14|0.5714285714285714|23
Bearish Hammer With FollowThru|Entity|PBE.US|14|0.5714285714285714|40
Bearish Hammer With FollowThru|Entity|RSPM.US|14|0.5714285714285714|115
Bearish Hammer With FollowThru|Industry|Investment Banking & Investment Services|35|0.5714285714285714|324
Bearish Hammer With FollowThru|Industry|REIT - Residential|39|0.5641025641025641|80
