Name|Category|Sub Category|Number Signals|Success %|Avg Duration
Bearish Hammer With FollowThru|Sector|Real Estate|16|0.5625|80
Bearish Hammer With FollowThru|Sector|Industrials|30|0.5333333333333333|42
Bearish Hammer With FollowThru|Sector|Technology|19|0.47368421052631576|35
Bearish Hammer With FollowThru|Sector|Financial Services|85|0.4470588235294118|63
Bearish Hammer With FollowThru|Overall|All|744|0.4112903225806452|211
Bearish Hammer With FollowThru|Industry|Banks - Regional|57|0.40350877192982454|66
Bearish Hammer With FollowThru|Sector|Utilities|15|0.4|115
Bearish Hammer With FollowThru|Sector|Energy|11|0.36363636363636365|18
Bearish Hammer With FollowThru|Sector|Consumer Defensive|20|0.35|63
Bearish Hammer With FollowThru|Sector|Consumer Cyclical|31|0.3225806451612903|38
Bearish Hammer With FollowThru|Sector|Healthcare|34|0.29411764705882354|33
