Name|Category|Sub Category|Number Signals|Success %|Avg Duration
Bearish Hammer With FollowThru|Entity|HYMB.US|12|1|685
Bearish Hammer With FollowThru|Entity|ARGD.US|11|1|710
Bearish Hammer With FollowThru|Entity|PGF.US|11|0.9090909090909091|473
Bearish Hammer With FollowThru|Entity|PHB.US|11|0.9090909090909091|871
Bearish Hammer With FollowThru|Entity|PCEF.US|17|0.8823529411764706|373
Bearish Hammer With FollowThru|Entity|PREF.US|13|0.8461538461538461|336
Bearish Hammer With FollowThru|Entity|PSK.US|17|0.8235294117647058|360
Bearish Hammer With FollowThru|Industry|Insurance - Reinsurance|11|0.8181818181818182|70
Bearish Hammer With FollowThru|Entity|AVB.US|11|0.8181818181818182|105
Bearish Hammer With FollowThru|Entity|BIZD.US|11|0.8181818181818182|322
Bearish Hammer With FollowThru|Industry|Multiline Utilities|11|0.8181818181818182|338
Bearish Hammer With FollowThru|Entity|ALNY.US|10|0.8|19
Bearish Hammer With FollowThru|Entity|NRC.US|10|0.8|22
Bearish Hammer With FollowThru|Entity|WSBC.US|10|0.8|38
Bearish Hammer With FollowThru|Entity|EVRG.US|10|0.8|100
Bearish Hammer With FollowThru|Entity|RDOG.US|10|0.8|166
Bearish Hammer With FollowThru|Entity|SPH.US|14|0.7857142857142857|61
Bearish Hammer With FollowThru|Entity|SCHF.US|14|0.7857142857142857|197
Bearish Hammer With FollowThru|Entity|USPH.US|13|0.7692307692307693|37
Bearish Hammer With FollowThru|Entity|EPP.US|13|0.7692307692307693|145
Bearish Hammer With FollowThru|Entity|VOE.US|13|0.7692307692307693|188
Bearish Hammer With FollowThru|Entity|VLT.US|13|0.7692307692307693|215
Bearish Hammer With FollowThru|Entity|GCO.US|12|0.75|31
Bearish Hammer With FollowThru|Entity|RJF.US|12|0.75|50
Bearish Hammer With FollowThru|Entity|PIE.US|12|0.75|74
Bearish Hammer With FollowThru|Sector|Other|24|0.75|525
Bearish Hammer With FollowThru|Industry|Other|24|0.75|525
Bearish Hammer With FollowThru|Entity|PZA.US|12|0.75|640
Bearish Hammer With FollowThru|Entity|BBSI.US|11|0.7272727272727273|23
Bearish Hammer With FollowThru|Entity|TARO.US|11|0.7272727272727273|48
Bearish Hammer With FollowThru|Entity|HQL.US|11|0.7272727272727273|93
Bearish Hammer With FollowThru|Entity|XPH.US|11|0.7272727272727273|110
Bearish Hammer With FollowThru|Entity|PBP.US|11|0.7272727272727273|211
Bearish Hammer With FollowThru|Entity|NDSN.US|11|0.7272727272727273|257
Bearish Hammer With FollowThru|Entity|TFI.US|11|0.7272727272727273|823
Bearish Hammer With FollowThru|Industry|Electronics & Computer Distribution|18|0.7222222222222222|52
Bearish Hammer With FollowThru|Entity|INTZ.US|14|0.7142857142857143|12
Bearish Hammer With FollowThru|Entity|PZT.US|14|0.7142857142857143|238
Bearish Hammer With FollowThru|Entity|ASRT.US|10|0.7|9
Bearish Hammer With FollowThru|Entity|HZO.US|10|0.7|15
Bearish Hammer With FollowThru|Entity|AOSL.US|10|0.7|25
