Name|Category|Sub Category|Number Signals|Success %|Avg Duration
Bearish Hammer With FollowThru|Industry|Oil & Gas Equipment & Services|12|0.8333333333333334|25
Bearish Hammer With FollowThru|Industry|REIT - Office|11|0.7272727272727273|36
Bearish Hammer With FollowThru|Entity|PZT.US|10|0.7|213
Bearish Hammer With FollowThru|Industry|Oil & Gas E&P|28|0.6785714285714286|41
Bearish Hammer With FollowThru|Industry|Real Estate Services|15|0.6|19
Bearish Hammer With FollowThru|Industry|Farm & Heavy Construction Machinery|20|0.6|52
Bearish Hammer With FollowThru|Entity|JHI.US|10|0.6|256
Bearish Hammer With FollowThru|Entity|CMF.US|10|0.6|568
Bearish Hammer With FollowThru|Sector|Energy|88|0.5795454545454546|45
Bearish Hammer With FollowThru|Industry|Information Technology Services|32|0.5625|27
Bearish Hammer With FollowThru|Industry|Asset Management|58|0.5517241379310345|103
Bearish Hammer With FollowThru|Industry|Drug Manufacturers - Specialty & Generic|22|0.5454545454545454|14
Bearish Hammer With FollowThru|Industry|Gold|11|0.5454545454545454|14
Bearish Hammer With FollowThru|Industry|Staffing & Employment Services|11|0.5454545454545454|34
Bearish Hammer With FollowThru|Industry|Auto Parts|11|0.5454545454545454|86
Bearish Hammer With FollowThru|Industry|Medical Devices|37|0.5405405405405406|18
Bearish Hammer With FollowThru|Industry|Apparel Retail|28|0.5357142857142857|20
Bearish Hammer With FollowThru|Industry|Utilities - Regulated Electric|32|0.53125|128
Bearish Hammer With FollowThru|Sector|Utilities|60|0.5166666666666667|136
Bearish Hammer With FollowThru|Industry|Communication Equipment|31|0.5161290322580645|20
Bearish Hammer With FollowThru|Industry|Biotechnology|102|0.5098039215686274|10
Bearish Hammer With FollowThru|Industry|Scientific & Technical Instruments|10|0.5|43
Bearish Hammer With FollowThru|Sector|Consumer Cyclical|170|0.4823529411764706|37
Bearish Hammer With FollowThru|Industry|Specialty Industrial Machinery|38|0.47368421052631576|24
Bearish Hammer With FollowThru|Industry|Specialty Retail|17|0.47058823529411764|76
Bearish Hammer With FollowThru|Industry|Oil & Gas Midstream|17|0.47058823529411764|91
Bearish Hammer With FollowThru|Sector|Industrials|231|0.46320346320346323|27
Bearish Hammer With FollowThru|Industry|Capital Markets|13|0.46153846153846156|7
Bearish Hammer With FollowThru|Industry|Industrial Distribution|13|0.46153846153846156|9
Bearish Hammer With FollowThru|Sector|Technology|200|0.46|24
Bearish Hammer With FollowThru|Sector|Real Estate|110|0.45454545454545453|56
Bearish Hammer With FollowThru|Industry|Software - Application|52|0.4423076923076923|25
Bearish Hammer With FollowThru|Overall|All|7202|0.441960566509303|135
Bearish Hammer With FollowThru|Sector|Healthcare|256|0.44140625|23
Bearish Hammer With FollowThru|Industry|Electronic Components|16|0.4375|18
Bearish Hammer With FollowThru|Industry|Medical Care Facilities|16|0.4375|34
Bearish Hammer With FollowThru|Industry|Insurance - Property & Casualty|16|0.4375|62
Bearish Hammer With FollowThru|Sector|Financial Services|378|0.4365079365079365|73
Bearish Hammer With FollowThru|Sector|Communication Services|58|0.43103448275862066|23
Bearish Hammer With FollowThru|Industry|Internet Content & Information|14|0.42857142857142855|9
Bearish Hammer With FollowThru|Industry|Oil & Gas Integrated|14|0.42857142857142855|53
Bearish Hammer With FollowThru|Industry|Credit Services|12|0.4166666666666667|22
Bearish Hammer With FollowThru|Entity|PBE.US|12|0.4166666666666667|72
Bearish Hammer With FollowThru|Industry|Banks - Regional|233|0.41630901287553645|76
Bearish Hammer With FollowThru|Industry|Furnishings, Fixtures & Appliances|17|0.4117647058823529|52
Bearish Hammer With FollowThru|Industry|Insurance - Specialty|10|0.4|49
Bearish Hammer With FollowThru|Industry|Specialty Chemicals|20|0.4|70
Bearish Hammer With FollowThru|Sector|Consumer Defensive|95|0.3894736842105263|43
Bearish Hammer With FollowThru|Sector|Basic Materials|62|0.3870967741935484|37
Bearish Hammer With FollowThru|Industry|Packaged Foods|13|0.38461538461538464|50
Bearish Hammer With FollowThru|Industry|Aerospace & Defense|29|0.3793103448275862|37
Bearish Hammer With FollowThru|Industry|Entertainment|16|0.375|24
Bearish Hammer With FollowThru|Industry|Telecom Services|16|0.375|34
Bearish Hammer With FollowThru|Industry|Leisure|11|0.36363636363636365|3
Bearish Hammer With FollowThru|Industry|REIT - Mortgage|11|0.36363636363636365|15
Bearish Hammer With FollowThru|Industry|Diagnostics & Research|22|0.36363636363636365|22
Bearish Hammer With FollowThru|Industry|Beverages - Non-Alcoholic|22|0.36363636363636365|39
Bearish Hammer With FollowThru|Industry|REIT - Specialty|17|0.35294117647058826|49
Bearish Hammer With FollowThru|Industry|Software - Infrastructure|29|0.3448275862068966|13
Bearish Hammer With FollowThru|Industry|Integrated Freight & Logistics|15|0.3333333333333333|14
Bearish Hammer With FollowThru|Industry|Engineering & Construction|15|0.3333333333333333|17
Bearish Hammer With FollowThru|Industry|Restaurants|18|0.3333333333333333|31
Bearish Hammer With FollowThru|Industry|Semiconductors|13|0.3076923076923077|20
Bearish Hammer With FollowThru|Entity|USAP.US|10|0.3|15
Bearish Hammer With FollowThru|Industry|Specialty Business Services|12|0.25|9
Bearish Hammer With FollowThru|Industry|Medical Instruments & Supplies|32|0.25|21
Bearish Hammer With FollowThru|Industry|REIT - Retail|16|0.25|34
Bearish Hammer With FollowThru|Industry|REIT - Industrial|16|0.25|89
Bearish Hammer With FollowThru|Industry|Household & Personal Products|14|0.21428571428571427|38
Bearish Hammer With FollowThru|Entity|IDGT.US|11|0.18181818181818182|86
Bearish Hammer With FollowThru|Industry|Insurance - Diversified|12|0.16666666666666666|64
Bearish Hammer With FollowThru|Entity|FTC.US|10|0|0
