Name|Code|Industry|Sector|Entry Date|Entry Price Point|Entry Price|Result Up Date|Result Up Price Point|Result Up Price|Result Down Date|Result Down Price Point|Result Down Price|Result Direction|Trading Days|Calendar Days
Bearish Hammer With FollowThru|AA|PRIMARY PRODUCTION OF ALUMINUM||10/11/2016|Close|27.9100||||11/1/2016|Low|21.7800|Down|15|21
Bearish Hammer With FollowThru|AADR|||7/25/2016|Close|40.5900|||||||||
Bearish Hammer With FollowThru|ACNB|STATE COMMERCIAL BANKS||9/21/2015|Close|20.7000|5/24/2016|High|25.0900||||Up|176|246
Bearish Hammer With FollowThru|ACU|CUTLERY, HANDTOOLS & GENERAL HARDWARE||11/4/2016|Close|21.4000|||||||||
Bearish Hammer With FollowThru|ADC|REAL ESTATE INVESTMENT TRUSTS||7/14/2016|Close|49.1800|||||||||
Bearish Hammer With FollowThru|ADTN|TELEPHONE & TELEGRAPH APPARATUS||1/28/2016|Close|17.6200|7/13/2016|High|21.4300||||Up|119|167
Bearish Hammer With FollowThru|ADUS|SERVICES-HOME HEALTH CARE SERVICES||8/23/2016|Close|21.3000|8/26/2016|High|25.8400||||Up|3|3
Bearish Hammer With FollowThru|AGZ|||6/3/2015|Close|112.8600|||||||||
Bearish Hammer With FollowThru|AI|SERVICES-PREPACKAGED SOFTWARE||9/9/2016|Close|14.7100|||||||||
Bearish Hammer With FollowThru|AIF|||6/9/2016|Close|14.5600|||||||||
Bearish Hammer With FollowThru|AIRR|||10/7/2016|Close|20.2100|12/9/2016|High|24.3500||||Up|45|63
Bearish Hammer With FollowThru|AMBA|SEMICONDUCTORS & RELATED DEVICES||9/9/2016|Close|63.5100|||||||||
Bearish Hammer With FollowThru|AMCX|CABLE & OTHER PAY TELEVISION SERVICES||7/21/2015|Close|83.7600||||8/24/2015|Low|63.3700|Down|24|34
Bearish Hammer With FollowThru|AMSF|FIRE, MARINE & CASUALTY INSURANCE||10/20/2016|Close|56.1500|||||||||
Bearish Hammer With FollowThru|ANSS|SERVICES-PREPACKAGED SOFTWARE||7/21/2015|Close|91.5300|||||||||
Bearish Hammer With FollowThru|AOA|||4/13/2015|Close|48.1700||||8/24/2015|Low|30.8900|Down|95|133
Bearish Hammer With FollowThru|AOA|||5/4/2015|Close|48.5900||||8/24/2015|Low|30.8900|Down|80|112
Bearish Hammer With FollowThru|AOS|HOUSEHOLD APPLIANCES||9/9/2016|Close|45.5400|||||||||
Bearish Hammer With FollowThru|ARI|REAL ESTATE INVESTMENT TRUSTS||9/9/2016|Close|16.5800|||||||||
Bearish Hammer With FollowThru|ARKQ|||4/11/2016|Close|19.0563|10/3/2016|High|23.0300||||Up|125|175
Bearish Hammer With FollowThru|ARKQ|||6/13/2016|Close|19.3900|||||||||
Bearish Hammer With FollowThru|ARKR|RETAIL-EATING PLACES||5/15/2015|Close|24.8000|||||||||
Bearish Hammer With FollowThru|ARKW|||11/10/2015|Close|23.2300||||1/20/2016|Low|18.4900|Down|51|71
Bearish Hammer With FollowThru|ARKW|||12/7/2015|Close|23.7600||||1/20/2016|Low|18.4900|Down|32|44
Bearish Hammer With FollowThru|ARKW|||10/5/2016|Close|25.7100|||||||||
Bearish Hammer With FollowThru|ARTNA|WATER SUPPLY||4/21/2016|Close|26.5400|6/27/2016|High|33.2200||||Up|47|67
Bearish Hammer With FollowThru|AZZ|COATING, ENGRAVING & ALLIED SERVICES||11/28/2016|Close|65.4500|||||||||
Bearish Hammer With FollowThru|BACpL|NATIONAL COMMERCIAL BANKS||5/24/2016|Close|1165.0000|||||||||
Bearish Hammer With FollowThru|BCE|||4/30/2015|Close|44.1100||||8/24/2015|Low|31.4900|Down|82|116
Bearish Hammer With FollowThru|BCH|||5/9/2016|Close|61.6176|||||||||
Bearish Hammer With FollowThru|BCPC|CHEMICALS & ALLIED PRODUCTS||6/24/2015|Close|58.4200|10/29/2015|High|70.9100||||Up|91|127
Bearish Hammer With FollowThru|BDL|RETAIL-EATING PLACES||9/18/2015|Close|26.7500||||12/2/2015|Low|21.1300|Down|53|75
Bearish Hammer With FollowThru|BELFA|ELECTRONIC COILS, TRANSFORMERS & OTHER INDUCTORS||9/6/2016|Close|19.4300|11/11/2016|High|23.5000||||Up|48|66
Bearish Hammer With FollowThru|BELFA|ELECTRONIC COILS, TRANSFORMERS & OTHER INDUCTORS||9/6/2016|Close|19.4300|11/11/2016|High|23.5000||||Up|48|66
Bearish Hammer With FollowThru|BHV|||12/1/2015|Close|17.7090|8/15/2016|High|21.5000||||Up|184|258
Bearish Hammer With FollowThru|BIB|||9/29/2016|Close|47.3700||||10/31/2016|Low|37.8900|Down|22|32
Bearish Hammer With FollowThru|BIZD|||8/2/2016|Close|17.0801|||||||||
Bearish Hammer With FollowThru|BIZD|||8/2/2016|Close|17.0801|||||||||
Bearish Hammer With FollowThru|BIZD|||8/23/2016|Close|17.7500|||||||||
Bearish Hammer With FollowThru|BIZD|||8/23/2016|Close|17.7500|||||||||
Bearish Hammer With FollowThru|BJK|||4/4/2016|Close|33.2129|||||||||
Bearish Hammer With FollowThru|BJK|||4/4/2016|Close|33.2129|||||||||
Bearish Hammer With FollowThru|BLUE|BIOLOGICAL PRODUCTS, (NO DISGNOSTIC SUBSTANCES)||3/25/2015|Close|110.4200|4/15/2015|High|135.6075|9/28/2015|Low|85.2700|Up|15|21
Bearish Hammer With FollowThru|BMLpH|NATIONAL COMMERCIAL BANKS||7/15/2016|Close|20.2500|||||||||
Bearish Hammer With FollowThru|BRK.A|FIRE, MARINE & CASUALTY INSURANCE||7/21/2016|Close|216315.0000|||||||||
Bearish Hammer With FollowThru|BSCO|||4/5/2016|Close|20.6000|||||||||
Bearish Hammer With FollowThru|BTT|||5/19/2016|Close|23.0900|||||||||
Bearish Hammer With FollowThru|BUD|||7/23/2015|Close|125.8000||||12/1/2016|Low|98.2800|Down|355|497
Bearish Hammer With FollowThru|BYLD|||6/10/2016|Close|24.8800|||||||||
Bearish Hammer With FollowThru|CAPE|||10/20/2015|Close|78.1314|11/21/2016|High|100.9800||||Up|284|398
Bearish Hammer With FollowThru|CAPE|||7/18/2016|Close|89.2000|||||||||
Bearish Hammer With FollowThru|CAPE|||7/21/2016|Close|89.3750|||||||||
Bearish Hammer With FollowThru|CASS|SERVICES-BUSINESS SERVICES, NEC||8/26/2016|Close|57.1100|11/17/2016|High|69.0799||||Up|59|83
Bearish Hammer With FollowThru|CASY|RETAIL-AUTO DEALERS & GASOLINE STATIONS||7/14/2016|Close|130.2700|||||||||
Bearish Hammer With FollowThru|CCK|METAL CANS||12/1/2016|Close|52.3800|||||||||
Bearish Hammer With FollowThru|CDC|||9/9/2016|Close|38.9500|||||||||
Bearish Hammer With FollowThru|CDC|||9/9/2016|Close|38.9500|||||||||
Bearish Hammer With FollowThru|CDC|||11/30/2016|Close|40.6400|||||||||
Bearish Hammer With FollowThru|CEMB|||4/23/2015|Close|50.3000|||||||||
Bearish Hammer With FollowThru|CEMB|||4/23/2015|Close|50.3000|||||||||
Bearish Hammer With FollowThru|CET|||11/30/2016|Close|21.4000|||||||||
Bearish Hammer With FollowThru|CFA|||8/2/2016|Close|38.2192|||||||||
Bearish Hammer With FollowThru|CFA|||11/28/2016|Close|39.9800|||||||||
Bearish Hammer With FollowThru|CFA|||11/28/2016|Close|39.9800|||||||||
Bearish Hammer With FollowThru|CFFI|STATE COMMERCIAL BANKS||9/22/2014|Close|34.2200|11/3/2016|High|42.1500||||Up|553|773
Bearish Hammer With FollowThru|CGW|||9/9/2016|Close|30.1529|||||||||
Bearish Hammer With FollowThru|CHKP|||3/4/2016|Close|84.3500|||||||||
Bearish Hammer With FollowThru|CHSCO|||11/4/2015|Close|28.9800|||||||||
Bearish Hammer With FollowThru|CHSCO|||11/4/2015|Close|28.9800|||||||||
Bearish Hammer With FollowThru|CHSCP|||5/6/2015|Close|30.1900|||||||||
Bearish Hammer With FollowThru|CHSCP|||6/5/2015|Close|31.1601|||||||||
Bearish Hammer With FollowThru|CIM|REAL ESTATE INVESTMENT TRUSTS||9/9/2016|Close|16.0300|||||||||
Bearish Hammer With FollowThru|CINF|FIRE, MARINE & CASUALTY INSURANCE||7/15/2016|Close|75.9600|||||||||
Bearish Hammer With FollowThru|CINF|FIRE, MARINE & CASUALTY INSURANCE||7/15/2016|Close|75.9600|||||||||
Bearish Hammer With FollowThru|CLM|||8/8/2016|Close|16.9700|||||||||
Bearish Hammer With FollowThru|CMCSA|CABLE & OTHER PAY TELEVISION SERVICES||7/23/2015|Close|62.4700|||||||||
Bearish Hammer With FollowThru|CMF|||10/5/2015|Close|117.0000|||||||||
Bearish Hammer With FollowThru|CMF|||5/2/2016|Close|119.8700|||||||||
Bearish Hammer With FollowThru|CMF|||5/10/2016|Close|120.3000|||||||||
Bearish Hammer With FollowThru|CMT|PLASTICS PRODUCTS, NEC||11/5/2015|Close|15.6100|10/6/2016|High|18.7600|12/7/2015|Low|12.0000|Down|22|32
Bearish Hammer With FollowThru|CNI|||5/4/2016|Close|59.0000|||||||||
Bearish Hammer With FollowThru|CNOB|STATE COMMERCIAL BANKS||7/28/2016|Close|16.9300|11/10/2016|High|20.7500||||Up|75|105
Bearish Hammer With FollowThru|CNSL|TELEPHONE COMMUNICATIONS (NO RADIOTELEPHONE)||5/17/2016|Close|24.8200|11/28/2016|High|29.7900||||Up|139|195
Bearish Hammer With FollowThru|CONN|RETAIL-RADIO, TV & CONSUMER ELECTRONICS STORES||5/27/2015|Close|36.9000||||8/24/2015|Low|28.0000|Down|63|89
Bearish Hammer With FollowThru|COO|OPHTHALMIC GOODS||11/14/2016|Close|170.1300|||||||||
Bearish Hammer With FollowThru|CPB|FOOD AND KINDRED PRODUCTS||6/2/2015|Close|47.6700|2/9/2016|High|57.3300||||Up|180|252
Bearish Hammer With FollowThru|CRF|||8/8/2016|Close|16.6001|||||||||
Bearish Hammer With FollowThru|CRF|||8/8/2016|Close|16.6001|||||||||
Bearish Hammer With FollowThru|CRH|CEMENT, HYDRAULIC||8/25/2016|Close|33.5600|||||||||
Bearish Hammer With FollowThru|CRT|OIL ROYALTY TRADERS||8/31/2016|Close|18.5700|||||||||
Bearish Hammer With FollowThru|CRUS|SEMICONDUCTORS & RELATED DEVICES||9/23/2016|Close|52.3900|||||||||
Bearish Hammer With FollowThru|CRVL|INSURANCE AGENTS, BROKERS & SERVICE||2/5/2016|Close|41.8800|6/2/2016|High|51.9900|10/26/2016|Low|33.3500|Up|84|118
Bearish Hammer With FollowThru|CTSH|SERVICES-COMPUTER PROGRAMMING SERVICES||6/24/2016|Close|58.0100||||9/30/2016|Low|45.4400|Down|70|98
Bearish Hammer With FollowThru|CTV|SERVICES-PREPACKAGED SOFTWARE||10/29/2015|Close|25.8000|||||||||
Bearish Hammer With FollowThru|CTV|SERVICES-PREPACKAGED SOFTWARE||7/29/2016|Close|26.7200|||||||||
Bearish Hammer With FollowThru|CTV|SERVICES-PREPACKAGED SOFTWARE||8/11/2016|Close|26.4700|||||||||
Bearish Hammer With FollowThru|CTV|SERVICES-PREPACKAGED SOFTWARE||8/11/2016|Close|26.4700|||||||||
Bearish Hammer With FollowThru|CVLT|SERVICES-PREPACKAGED SOFTWARE||11/28/2016|Close|54.2500|||||||||
Bearish Hammer With FollowThru|CVLT|SERVICES-PREPACKAGED SOFTWARE||11/28/2016|Close|54.2500|||||||||
Bearish Hammer With FollowThru|CZNC|STATE COMMERCIAL BANKS||10/30/2015|Close|19.8100|11/11/2016|High|25.2200||||Up|270|378
Bearish Hammer With FollowThru|DBAW|||12/1/2016|Close|23.2800|||||||||
Bearish Hammer With FollowThru|DBEF|||7/24/2015|Close|29.2600||||2/9/2016|Low|23.4000|Down|142|200
Bearish Hammer With FollowThru|DBEU|||7/27/2015|Close|27.2900||||8/24/2015|Low|21.0500|Down|20|28
Bearish Hammer With FollowThru|DBP|COMMODITY CONTRACTS BROKERS & DEALERS||7/12/2016|Close|41.7000|||||||||
Bearish Hammer With FollowThru|DES|||11/28/2016|Close|80.3500|||||||||
Bearish Hammer With FollowThru|DGP|||5/9/2016|Close|26.8000||||11/23/2016|Low|21.2701|Down|142|198
Bearish Hammer With FollowThru|DGP|||7/12/2016|Close|29.3300||||11/11/2016|Low|22.7200|Down|88|122
Bearish Hammer With FollowThru|DGRO|||11/30/2016|Close|28.5300|||||||||
Bearish Hammer With FollowThru|DGRO|||11/30/2016|Close|28.5300|||||||||
Bearish Hammer With FollowThru|DGRW|||5/5/2015|Close|31.5600|||||||||
Bearish Hammer With FollowThru|DGRW|||5/5/2015|Close|31.5600|||||||||
Bearish Hammer With FollowThru|DGRW|||5/20/2015|Close|32.1200||||8/24/2015|Low|25.5000|Down|68|96
Bearish Hammer With FollowThru|DGRW|||5/20/2015|Close|32.1200||||8/24/2015|Low|25.5000|Down|68|96
Bearish Hammer With FollowThru|DGRW|||11/18/2016|Close|32.6800|||||||||
Bearish Hammer With FollowThru|DGRW|||11/18/2016|Close|32.6800|||||||||
Bearish Hammer With FollowThru|DGT|||9/9/2016|Close|67.6240|||||||||
Bearish Hammer With FollowThru|DHIL|INVESTMENT ADVICE||4/14/2015|Close|171.1100|5/20/2015|High|209.0000||||Up|26|36
