Name|Category|Sub Category|Number Signals|Success %|Avg Duration
Bearish Hammer With FollowThru|Industry|REIT - Residential|10|0.8|62
Bearish Hammer With FollowThru|Sector|Industrials|47|0.574468085106383|42
Bearish Hammer With FollowThru|Sector|Real Estate|29|0.5517241379310345|71
Bearish Hammer With FollowThru|Industry|Utilities - Regulated Electric|11|0.5454545454545454|50
Bearish Hammer With FollowThru|Sector|Energy|22|0.5|24
Bearish Hammer With FollowThru|Sector|Technology|26|0.5|55
Bearish Hammer With FollowThru|Sector|Healthcare|54|0.48148148148148145|30
Bearish Hammer With FollowThru|Sector|Utilities|25|0.48|71
Bearish Hammer With FollowThru|Overall|All|1163|0.4531384350816853|185
Bearish Hammer With FollowThru|Sector|Financial Services|116|0.4482758620689655|62
Bearish Hammer With FollowThru|Industry|Banks - Regional|77|0.44155844155844154|61
Bearish Hammer With FollowThru|Sector|Communication Services|10|0.4|83
Bearish Hammer With FollowThru|Sector|Consumer Defensive|28|0.39285714285714285|55
Bearish Hammer With FollowThru|Sector|Basic Materials|18|0.3888888888888889|48
Bearish Hammer With FollowThru|Sector|Consumer Cyclical|45|0.35555555555555557|37
Bearish Hammer With FollowThru|Industry|Medical Instruments & Supplies|10|0.3|55
