Name|Code|Industry|Sector|Entry Date|Entry Price Point|Entry Price|Result Up Date|Result Up Price Point|Result Up Price|Result Down Date|Result Down Price Point|Result Down Price|Result Direction|Trading Days|Calendar Days
Bearish Hammer With FollowThru|AA|PRIMARY PRODUCTION OF ALUMINUM||10/11/2016|Close|27.9100||||11/1/2016|Low|21.7800|Down|15|21
Bearish Hammer With FollowThru|AADR|||11/6/2014|Close|37.3297|||||||||
Bearish Hammer With FollowThru|AADR|||7/25/2016|Close|40.5900|||||||||
Bearish Hammer With FollowThru|ACNB|STATE COMMERCIAL BANKS||3/4/2015|Close|20.2900|5/24/2016|High|25.0900||||Up|319|447
Bearish Hammer With FollowThru|ACU|CUTLERY, HANDTOOLS & GENERAL HARDWARE||11/4/2016|Close|21.4000|||||||||
Bearish Hammer With FollowThru|ADUS|SERVICES-HOME HEALTH CARE SERVICES||7/7/2014|Close|22.4600|4/16/2015|High|27.9499|9/26/2014|Low|17.6600|Down|59|81
Bearish Hammer With FollowThru|AE|WHOLESALE-PETROLEUM & PETROLEUM PRODUCTS (NO BULK STATIONS)||9/9/2016|Close|36.0000|12/7/2016|High|43.7000||||Up|63|89
Bearish Hammer With FollowThru|AE|WHOLESALE-PETROLEUM & PETROLEUM PRODUCTS (NO BULK STATIONS)||9/9/2016|Close|36.0000|12/7/2016|High|43.7000||||Up|63|89
Bearish Hammer With FollowThru|AGZ|||6/3/2015|Close|112.8600|||||||||
Bearish Hammer With FollowThru|AGZD|||3/7/2016|Close|47.3350|||||||||
Bearish Hammer With FollowThru|AGZD|||5/4/2016|Close|47.8500|||||||||
Bearish Hammer With FollowThru|AHTpD|REAL ESTATE INVESTMENT TRUSTS||11/17/2014|Close|25.5700||||1/19/2016|Low|19.0300|Down|306|428
Bearish Hammer With FollowThru|AHTpD|REAL ESTATE INVESTMENT TRUSTS||11/17/2014|Close|25.5700||||1/19/2016|Low|19.0300|Down|306|428
Bearish Hammer With FollowThru|AI|SERVICES-PREPACKAGED SOFTWARE||9/9/2016|Close|14.7100|||||||||
Bearish Hammer With FollowThru|AIB|BLANK CHECKS||11/7/2014|Close|25.1600|||||||||
Bearish Hammer With FollowThru|AIF|||6/9/2016|Close|14.5600|||||||||
Bearish Hammer With FollowThru|AIRR|||10/11/2016|Close|19.9500|12/8/2016|High|24.1699||||Up|42|58
Bearish Hammer With FollowThru|AIRT|AIR COURIER SERVICES||12/19/2014|Close|22.2500|7/1/2015|High|28.0000|2/4/2015|Low|16.9100|Down|33|47
Bearish Hammer With FollowThru|ALLpB|FIRE, MARINE & CASUALTY INSURANCE||6/30/2014|Close|25.1300|||||||||
Bearish Hammer With FollowThru|AMBA|SEMICONDUCTORS & RELATED DEVICES||9/9/2016|Close|63.5100|||||||||
Bearish Hammer With FollowThru|AMSF|FIRE, MARINE & CASUALTY INSURANCE||10/20/2016|Close|56.1500|||||||||
Bearish Hammer With FollowThru|ANDE|WHOLESALE-FARM PRODUCT RAW MATERIALS||11/6/2014|Close|51.9600||||3/9/2015|Low|41.2300|Down|87|123
Bearish Hammer With FollowThru|ANIK|SURGICAL & MEDICAL INSTRUMENTS & APPARATUS||2/26/2015|Close|39.9600|4/14/2016|High|48.4800|4/29/2015|Low|31.3600|Down|44|62
Bearish Hammer With FollowThru|ANSS|SERVICES-PREPACKAGED SOFTWARE||7/21/2015|Close|91.5300|||||||||
Bearish Hammer With FollowThru|AOA|||12/1/2014|Close|46.6700||||8/24/2015|Low|30.8900|Down|190|266
Bearish Hammer With FollowThru|AOA|||12/1/2014|Close|46.6700||||8/24/2015|Low|30.8900|Down|190|266
Bearish Hammer With FollowThru|AOA|||5/4/2015|Close|48.5900||||8/24/2015|Low|30.8900|Down|80|112
Bearish Hammer With FollowThru|AOR|||1/28/2015|Close|40.0780||||8/24/2015|Low|26.7000|Down|148|208
Bearish Hammer With FollowThru|ARI|REAL ESTATE INVESTMENT TRUSTS||9/9/2016|Close|16.5800|||||||||
Bearish Hammer With FollowThru|ARKG|||2/23/2015|Close|23.4100||||8/24/2015|Low|18.6700|Down|130|182
Bearish Hammer With FollowThru|ARKQ|||4/11/2016|Close|19.0563|10/3/2016|High|23.0300||||Up|125|175
Bearish Hammer With FollowThru|ARKQ|||6/13/2016|Close|19.3900|||||||||
Bearish Hammer With FollowThru|ARKR|RETAIL-EATING PLACES||5/15/2015|Close|24.8000|||||||||
Bearish Hammer With FollowThru|ARKW|||6/24/2015|Close|23.5801||||1/20/2016|Low|18.4900|Down|150|210
Bearish Hammer With FollowThru|ARKW|||11/10/2015|Close|23.2300||||1/20/2016|Low|18.4900|Down|51|71
Bearish Hammer With FollowThru|ARKW|||12/7/2015|Close|23.7600||||1/20/2016|Low|18.4900|Down|32|44
Bearish Hammer With FollowThru|ARKW|||10/5/2016|Close|25.7100|||||||||
Bearish Hammer With FollowThru|ARTNA|WATER SUPPLY||4/21/2016|Close|26.5400|6/27/2016|High|33.2200||||Up|47|67
Bearish Hammer With FollowThru|ASHS|||10/21/2015|Close|40.6000||||1/11/2016|Low|32.2500|Down|58|82
Bearish Hammer With FollowThru|ASHS|||10/21/2015|Close|40.6000||||1/11/2016|Low|32.2500|Down|58|82
Bearish Hammer With FollowThru|ATMP|||7/2/2014|Close|31.5000||||7/22/2015|Low|25.0900|Down|275|385
Bearish Hammer With FollowThru|ATMP|||7/2/2014|Close|31.5000||||7/22/2015|Low|25.0900|Down|275|385
