Name|Category|Sub Category|Number Signals|Success %|Avg Duration
Bearish Hammer With FollowThru|Industry|Oil & Gas Equipment & Services|13|0.8461538461538461|27
Bearish Hammer With FollowThru|Industry|Auto Parts|11|0.8181818181818182|32
Bearish Hammer With FollowThru|Industry|Farm Products|12|0.75|51
Bearish Hammer With FollowThru|Industry|Utilities - Diversified|13|0.6923076923076923|160
Bearish Hammer With FollowThru|Entity|AA.US|14|0.6428571428571429|40
Bearish Hammer With FollowThru|Industry|Aluminum|14|0.6428571428571429|40
Bearish Hammer With FollowThru|Industry|Oil & Gas Midstream|14|0.6428571428571429|58
Bearish Hammer With FollowThru|Industry|Medical Devices|22|0.6363636363636364|28
Bearish Hammer With FollowThru|Sector|Financials|13|0.6153846153846154|260
Bearish Hammer With FollowThru|Industry|Communication Equipment|10|0.6|19
Bearish Hammer With FollowThru|Industry|Packaged Foods|15|0.6|27
Bearish Hammer With FollowThru|Entity|DIS.US|10|0.6|53
Bearish Hammer With FollowThru|Industry|Software - Application|24|0.5833333333333334|18
Bearish Hammer With FollowThru|Industry|REIT - Residential|28|0.5714285714285714|68
Bearish Hammer With FollowThru|Industry|REIT - Office|14|0.5714285714285714|76
Bearish Hammer With FollowThru|Industry|Insurance - Property & Casualty|18|0.5555555555555556|70
Bearish Hammer With FollowThru|Industry|Investment Banking & Investment Services|11|0.5454545454545454|197
Bearish Hammer With FollowThru|Industry|Engineering & Construction|19|0.5263157894736842|31
Bearish Hammer With FollowThru|Industry|Credit Services|21|0.5238095238095238|20
Bearish Hammer With FollowThru|Industry|Drug Manufacturers - Specialty & Generic|14|0.5|12
Bearish Hammer With FollowThru|Industry|Diagnostics & Research|20|0.5|27
Bearish Hammer With FollowThru|Sector|Healthcare|162|0.5|35
Bearish Hammer With FollowThru|Sector|Basic Materials|82|0.5|39
Bearish Hammer With FollowThru|Industry|Electronic Components|12|0.5|42
Bearish Hammer With FollowThru|Industry|Banks - Diversified|12|0.5|45
Bearish Hammer With FollowThru|Industry|REIT - Mortgage|16|0.5|54
Bearish Hammer With FollowThru|Industry|Leisure|10|0.5|56
Bearish Hammer With FollowThru|Industry|Specialty Retail|14|0.5|58
Bearish Hammer With FollowThru|Entity|WFC.US|10|0.5|80
Bearish Hammer With FollowThru|Sector|Technology|108|0.49074074074074076|31
Bearish Hammer With FollowThru|Sector|Energy|84|0.4880952380952381|38
Bearish Hammer With FollowThru|Industry|Biotechnology|39|0.48717948717948717|12
Bearish Hammer With FollowThru|Sector|Consumer Cyclical|128|0.484375|31
Bearish Hammer With FollowThru|Sector|Real Estate|112|0.48214285714285715|61
Bearish Hammer With FollowThru|Industry|Integrated Freight & Logistics|19|0.47368421052631576|25
Bearish Hammer With FollowThru|Sector|Communication Services|34|0.47058823529411764|48
Bearish Hammer With FollowThru|Industry|Healthcare Plans|13|0.46153846153846156|36
Bearish Hammer With FollowThru|Industry|Medical Instruments & Supplies|20|0.45|48
Bearish Hammer With FollowThru|Sector|Consumer Defensive|92|0.44565217391304346|53
Bearish Hammer With FollowThru|Sector|Industrials|204|0.4411764705882353|36
Bearish Hammer With FollowThru|Overall|All|4637|0.4386456760836748|137
Bearish Hammer With FollowThru|Industry|Entertainment|16|0.4375|49
Bearish Hammer With FollowThru|Industry|Household & Personal Products|16|0.4375|74
Bearish Hammer With FollowThru|Industry|Aerospace & Defense|23|0.43478260869565216|20
