Name|Category|Sub Category|Number Signals|Success %|Avg Duration
Bearish Hammer With FollowThru|Entity|WLFC.US|11|0.8181818181818182|37
Bearish Hammer With FollowThru|Entity|ELME.US|10|0.8|74
Bearish Hammer With FollowThru|Industry|Electronics & Computer Distribution|11|0.7272727272727273|32
Bearish Hammer With FollowThru|Entity|GII.US|11|0.7272727272727273|254
Bearish Hammer With FollowThru|Entity|SSL.US|10|0.7|36
Bearish Hammer With FollowThru|Entity|EEMO.US|10|0.7|102
Bearish Hammer With FollowThru|Industry|Scientific & Technical Instruments|13|0.6923076923076923|47
Bearish Hammer With FollowThru|Entity|CMF.US|12|0.6666666666666666|591
Bearish Hammer With FollowThru|Entity|NYF.US|15|0.6666666666666666|1134
Bearish Hammer With FollowThru|Entity|UPW.US|11|0.6363636363636364|19
Bearish Hammer With FollowThru|Entity|PSL.US|11|0.6363636363636364|104
Bearish Hammer With FollowThru|Entity|PZT.US|19|0.631578947368421|436
Bearish Hammer With FollowThru|Industry|REIT - Residential|35|0.6285714285714286|80
Bearish Hammer With FollowThru|Industry|Farm Products|13|0.6153846153846154|47
Bearish Hammer With FollowThru|Entity|WLY.US|10|0.6|14
Bearish Hammer With FollowThru|Industry|Electronic Gaming & Multimedia|10|0.6|28
Bearish Hammer With FollowThru|Industry|Airlines|10|0.6|32
Bearish Hammer With FollowThru|Industry|Waste Management|10|0.6|36
Bearish Hammer With FollowThru|Industry|Railroads|10|0.6|54
Bearish Hammer With FollowThru|Entity|USRT.US|10|0.6|125
Bearish Hammer With FollowThru|Entity|GRID.US|10|0.6|140
Bearish Hammer With FollowThru|Entity|XRLV.US|10|0.6|169
Bearish Hammer With FollowThru|Entity|HDG.US|10|0.6|524
Bearish Hammer With FollowThru|Industry|REIT - Retail|22|0.5909090909090909|76
Bearish Hammer With FollowThru|Entity|PBE.US|12|0.5833333333333334|43
Bearish Hammer With FollowThru|Entity|BSET.US|12|0.5833333333333334|67
Bearish Hammer With FollowThru|Entity|FBT.US|12|0.5833333333333334|86
Bearish Hammer With FollowThru|Entity|RTM.US|12|0.5833333333333334|129
