Name|Category|Sub Category|Number Signals|Success %|Avg Duration
Bearish Hammer With FollowThru|Sector|Technology|29|0.5517241379310345|17
Bearish Hammer With FollowThru|Sector|Real Estate|26|0.5384615384615384|53
Bearish Hammer With FollowThru|Sector|Industrials|56|0.5357142857142857|30
Bearish Hammer With FollowThru|Sector|Consumer Cyclical|29|0.4827586206896552|40
Bearish Hammer With FollowThru|Overall|All|1027|0.4780915287244401|129
Bearish Hammer With FollowThru|Sector|Energy|21|0.47619047619047616|29
Bearish Hammer With FollowThru|Sector|Basic Materials|16|0.4375|67
Bearish Hammer With FollowThru|Sector|Financial Services|66|0.4090909090909091|47
Bearish Hammer With FollowThru|Industry|Medical Devices|10|0.4|49
Bearish Hammer With FollowThru|Sector|Utilities|20|0.4|73
Bearish Hammer With FollowThru|Sector|Healthcare|48|0.3958333333333333|20
Bearish Hammer With FollowThru|Sector|Consumer Defensive|21|0.38095238095238093|31
Bearish Hammer With FollowThru|Industry|Banks - Regional|51|0.37254901960784315|47
Bearish Hammer With FollowThru|Industry|Biotechnology|19|0.3684210526315789|7
Bearish Hammer With FollowThru|Sector|Communication Services|11|0.36363636363636365|35
Bearish Hammer With FollowThru|Industry|Utilities - Regulated Electric|11|0.36363636363636365|68
