Name|Category|Sub Category|Number Signals|Success %|Avg Duration
Bearish Hammer|Entity|AIZN.US|10|1|194
Bearish Hammer|Entity|AQNB.US|11|1|297
Bearish Hammer|Entity|MDIV.US|18|1|437
Bearish Hammer|Entity|BYLD.US|14|1|599
Bearish Hammer|Entity|VWOB.US|23|1|1300
Bearish Hammer|Entity|SPMB.US|17|1|1718
Bearish Hammer|Entity|VMBS.US|22|1|2782
Bearish Hammer|Entity|ARGD.US|25|0.96|666
Bearish Hammer|Entity|MGR.US|17|0.9411764705882353|259
Bearish Hammer|Entity|UBOT.US|15|0.9333333333333333|14
Bearish Hammer|Entity|MHNC.US|15|0.9333333333333333|333
Bearish Hammer|Entity|HYLS.US|15|0.9333333333333333|674
Bearish Hammer|Entity|RIGS.US|15|0.9333333333333333|1691
Bearish Hammer|Entity|NVOS.US|14|0.9285714285714286|4
Bearish Hammer|Entity|O-P.US|14|0.9285714285714286|255
Bearish Hammer|Entity|CCLDP.US|12|0.9166666666666666|266
Bearish Hammer|Entity|DTW.US|12|0.9166666666666666|273
Bearish Hammer|Entity|EMP.US|12|0.9166666666666666|303
Bearish Hammer|Entity|ANGL.US|24|0.9166666666666666|458
Bearish Hammer|Entity|TOTL.US|12|0.9166666666666666|1081
Bearish Hammer|Entity|BOND.US|24|0.9166666666666666|1995
Bearish Hammer|Entity|LCNB.US|11|0.9090909090909091|30
Bearish Hammer|Entity|HNDL.US|11|0.9090909090909091|187
Bearish Hammer|Entity|PFFD.US|11|0.9090909090909091|401
Bearish Hammer|Entity|SHYG.US|11|0.9090909090909091|646
Bearish Hammer|Entity|ISHG.US|11|0.9090909090909091|676
Bearish Hammer|Entity|FPE.US|22|0.9090909090909091|833
Bearish Hammer|Entity|PSK.US|43|0.9069767441860465|388
Bearish Hammer|Entity|HYLB.US|10|0.9|557
Bearish Hammer|Entity|HYS.US|20|0.9|990
Bearish Hammer|Entity|SPSB.US|30|0.9|2107
Bearish Hammer|Entity|DHCNI.US|18|0.8888888888888888|137
Bearish Hammer|Entity|PGF.US|42|0.8809523809523809|569
Bearish Hammer|Entity|GOLD.US|16|0.875|40
Bearish Hammer|Entity|HYSA.US|16|0.875|891
Bearish Hammer|Entity|YYY.US|23|0.8695652173913043|289
Bearish Hammer|Entity|SLVO.US|15|0.8666666666666667|81
Bearish Hammer|Entity|PCEF.US|37|0.8648648648648649|465
Bearish Hammer|Entity|CRVO.US|36|0.8611111111111112|8
Bearish Hammer|Entity|BMO.US|14|0.8571428571428571|72
Bearish Hammer|Industry|Multiline Utilities|28|0.8571428571428571|283
Bearish Hammer|Entity|EBND.US|20|0.85|276
Bearish Hammer|Entity|NXG.US|13|0.8461538461538461|100
Bearish Hammer|Entity|REET.US|13|0.8461538461538461|135
Bearish Hammer|Entity|DHCNL.US|13|0.8461538461538461|269
Bearish Hammer|Industry|Other|67|0.835820895522388|414
Bearish Hammer|Sector|Other|67|0.835820895522388|414
Bearish Hammer|Entity|KNOP.US|12|0.8333333333333334|58
Bearish Hammer|Entity|PSP.US|18|0.8333333333333334|74
Bearish Hammer|Entity|TWO.US|12|0.8333333333333334|240
Bearish Hammer|Entity|HYGV.US|12|0.8333333333333334|266
Bearish Hammer|Entity|DIAL.US|12|0.8333333333333334|293
Bearish Hammer|Entity|KBWD.US|24|0.8333333333333334|317
Bearish Hammer|Entity|SRLN.US|18|0.8333333333333334|770
