Name|Category|Sub Category|Number Signals|Success %|Avg Duration
Bearish Hammer|Industry|ACCIDENT & HEALTH INSURANCE|11|0.9090909090909091|236
Bearish Hammer|Entity|ACIW|10|0.8|170
Bearish Hammer|Entity|TDIV|13|0.6923076923076923|302
Bearish Hammer|Industry|PIPE LINES (NO NATURAL GAS)|12|0.6666666666666666|73
Bearish Hammer|Entity|PSK|12|0.6666666666666666|216
Bearish Hammer|Entity|AVK|11|0.6363636363636364|183
Bearish Hammer|Industry|PHOTOGRAPHIC EQUIPMENT & SUPPLIES|10|0.6|92
Bearish Hammer|Industry|PERSONAL CREDIT INSTITUTIONS|10|0.6|118
Bearish Hammer|Industry|MISCELLANEOUS ELECTRICAL MACHINERY, EQUIPMENT & SUPPLIES|10|0.6|206
Bearish Hammer|Entity|XAR|10|0.6|258
Bearish Hammer|Industry|SERVICES-COMPUTER INTEGRATED SYSTEMS DESIGN|21|0.5714285714285714|149
Bearish Hammer|Industry|PERFUMES, COSMETICS & OTHER TOILET PREPARATIONS|14|0.5714285714285714|180
Bearish Hammer|Industry|PETROLEUM REFINING|34|0.5588235294117647|128
Bearish Hammer|Entity|FDT|11|0.5454545454545454|191
Bearish Hammer|Entity|DSI|11|0.5454545454545454|245
Bearish Hammer|Entity|FNCL|11|0.5454545454545454|287
Bearish Hammer|Entity|PGZ|11|0.5454545454545454|289
Bearish Hammer|Industry|AIRCRAFT PARTS & AUXILIARY EQUIPMENT, NEC|13|0.5384615384615384|107
Bearish Hammer|Industry|TELEVISION BROADCASTING STATIONS|13|0.5384615384615384|133
Bearish Hammer|Industry|CRUDE PETROLEUM & NATURAL GAS|38|0.5263157894736842|126
Bearish Hammer|Industry|INVESTMENT ADVICE|76|0.5131578947368421|183
Bearish Hammer|Industry|WATER TRANSPORTATION|14|0.5|90
Bearish Hammer|Industry|WHOLESALE-FARM PRODUCT RAW MATERIALS|14|0.5|140
Bearish Hammer|Industry|SERVICES-COMPUTER PROGRAMMING, DATA PROCESSING, ETC.|26|0.5|151
Bearish Hammer|Industry|ROLLING DRAWING & EXTRUDING OF NONFERROUS METALS|10|0.5|181
Bearish Hammer|Industry|WHOLESALE-DRUGS, PROPRIETARIES & DRUGGISTS' SUNDRIES|10|0.5|191
Bearish Hammer|Entity|IUSG|10|0.5|225
Bearish Hammer|Industry|SERVICES-COMPUTER PROGRAMMING SERVICES|23|0.4782608695652174|237
Bearish Hammer|Industry|WATER, SEWER, PIPELINE, COMM & POWER LINE CONSTRUCTION|21|0.47619047619047616|124
Bearish Hammer|Industry|PRINTED CIRCUIT BOARDS|17|0.47058823529411764|236
Bearish Hammer|Industry|LABORATORY ANALYTICAL INSTRUMENTS|15|0.4666666666666667|60
Bearish Hammer|Entity|FV|13|0.46153846153846156|218
Bearish Hammer|Industry|RETAIL-RETAIL STORES, NEC|11|0.45454545454545453|112
Bearish Hammer|Entity|DGRW|11|0.45454545454545453|124
Bearish Hammer|Entity|UCC|11|0.45454545454545453|171
Bearish Hammer|Entity|FTCS|11|0.45454545454545453|193
Bearish Hammer|Industry|MEASURING & CONTROLLING DEVICES, NEC|16|0.4375|233
Bearish Hammer|Industry|BIOLOGICAL PRODUCTS, (NO DISGNOSTIC SUBSTANCES)|23|0.43478260869565216|112
Bearish Hammer|Industry|HOUSEHOLD FURNITURE|21|0.42857142857142855|-25
Bearish Hammer|Industry|HOSPITAL & MEDICAL SERVICE PLANS|14|0.42857142857142855|97
Bearish Hammer|Industry|OPTICAL INSTRUMENTS & LENSES|14|0.42857142857142855|100
Bearish Hammer|Industry|CONSTRUCTION MACHINERY & EQUIP|14|0.42857142857142855|141
Bearish Hammer|Industry|LIFE INSURANCE|21|0.42857142857142855|215
Bearish Hammer|Entity|EPS|14|0.42857142857142855|282
Bearish Hammer|Entity|MITTpB|14|0.42857142857142855|402
Bearish Hammer|Entity|PSCT|12|0.4166666666666667|162
Bearish Hammer|Industry|PUMPS & PUMPING EQUIPMENT|17|0.4117647058823529|170
