Name|Code|Industry|Sector|Entry Date|Entry Price Point|Entry Price|Result Up Date|Result Up Price Point|Result Up Price|Result Down Date|Result Down Price Point|Result Down Price|Result Direction|Trading Days|Calendar Days
Bearish Harami Cross|A|LABORATORY ANALYTICAL INSTRUMENTS||6/2/2016|Close|45.9000|||||||||
Bearish Harami Cross|A|LABORATORY ANALYTICAL INSTRUMENTS||8/16/2016|Close|48.2800|||||||||
Bearish Harami Cross|AA|PRIMARY PRODUCTION OF ALUMINUM||7/15/2014|Close|48.3600||||3/19/2015|Low|38.3400|Down|177|247
Bearish Harami Cross|AA|PRIMARY PRODUCTION OF ALUMINUM||6/7/2016|Close|29.3700||||11/1/2016|Low|21.7800|Down|105|147
Bearish Harami Cross|AAL|AIR TRANSPORTATION, SCHEDULED||10/27/2015|Close|46.4600||||1/20/2016|Low|36.2000|Down|61|85
Bearish Harami Cross|AAOI|SEMICONDUCTORS & RELATED DEVICES||6/3/2016|Close|10.9600|7/27/2016|High|13.5200||||Up|38|54
Bearish Harami Cross|AAOI|SEMICONDUCTORS & RELATED DEVICES||9/6/2016|Close|17.4100|9/7/2016|High|21.1800||||Up|1|1
Bearish Harami Cross|AAP|RETAIL-AUTO & HOME SUPPLY STORES||12/8/2016|Close|176.5200|||||||||
Bearish Harami Cross|AAPL|ELECTRONIC COMPUTERS||7/9/2014|Close|95.3900|11/17/2014|High|117.2800||||Up|93|131
Bearish Harami Cross|AAPL|ELECTRONIC COMPUTERS||7/24/2014|Close|97.0300|11/17/2014|High|117.2800||||Up|82|116
Bearish Harami Cross|AAPL|ELECTRONIC COMPUTERS||10/30/2014|Close|106.9800|2/17/2015|High|128.8800||||Up|78|110
Bearish Harami Cross|AAPL|ELECTRONIC COMPUTERS||2/19/2015|Close|128.4500||||8/24/2015|Low|92.0000|Down|132|186
Bearish Harami Cross|AAPL|ELECTRONIC COMPUTERS||7/29/2016|Close|104.2100|||||||||
