Name|Category|Sub Category|Number Signals|Success %|Avg Duration
Bullish Belthold|Entity|WBIL.US|13|1|229
Bullish Belthold|Entity|SXI.US|17|0.9411764705882353|41
Bullish Belthold|Entity|TRV.US|16|0.9375|71
Bullish Belthold|Entity|CZNC.US|14|0.9285714285714286|64
Bullish Belthold|Entity|BEN.US|11|0.9090909090909091|18
Bullish Belthold|Entity|MMM.US|11|0.9090909090909091|46
Bullish Belthold|Entity|HP.US|11|0.9090909090909091|47
Bullish Belthold|Entity|EVX.US|11|0.9090909090909091|78
Bullish Belthold|Entity|NORW.US|11|0.9090909090909091|88
Bullish Belthold|Entity|EZM.US|10|0.9|49
Bullish Belthold|Entity|UPGD.US|10|0.9|60
Bullish Belthold|Entity|RYJ.US|10|0.9|60
Bullish Belthold|Entity|NRIM.US|10|0.9|62
Bullish Belthold|Entity|ROK.US|10|0.9|68
Bullish Belthold|Entity|FXG.US|10|0.9|229
Bullish Belthold|Entity|BF-A.US|17|0.8823529411764706|120
Bullish Belthold|Entity|GGG.US|16|0.875|56
Bullish Belthold|Entity|SJW.US|15|0.8666666666666667|52
Bullish Belthold|Entity|UTL.US|15|0.8666666666666667|176
Bullish Belthold|Entity|WBIG.US|15|0.8666666666666667|345
Bullish Belthold|Entity|BCO.US|14|0.8571428571428571|24
Bullish Belthold|Entity|GABC.US|13|0.8461538461538461|40
Bullish Belthold|Entity|SGA.US|12|0.8333333333333334|27
Bullish Belthold|Entity|CIGI.US|12|0.8333333333333334|30
Bullish Belthold|Entity|NKE.US|12|0.8333333333333334|43
Bullish Belthold|Entity|RLI.US|12|0.8333333333333334|59
Bullish Belthold|Entity|BOH.US|12|0.8333333333333334|63
Bullish Belthold|Entity|TIPZ.US|12|0.8333333333333334|686
Bullish Belthold|Entity|BHV.US|17|0.8235294117647058|67
Bullish Belthold|Entity|STX.US|11|0.8181818181818182|24
Bullish Belthold|Entity|AA.US|22|0.8181818181818182|27
Bullish Belthold|Entity|AUB.US|11|0.8181818181818182|39
Bullish Belthold|Entity|USPH.US|11|0.8181818181818182|40
Bullish Belthold|Entity|FRME.US|11|0.8181818181818182|44
Bullish Belthold|Entity|KO.US|11|0.8181818181818182|96
Bullish Belthold|Entity|HAWX.US|11|0.8181818181818182|226
Bullish Belthold|Entity|MTEX.US|16|0.8125|26
Bullish Belthold|Entity|FXF.US|16|0.8125|508
Bullish Belthold|Entity|ODP.US|10|0.8|11
Bullish Belthold|Entity|ZBRA.US|10|0.8|22
Bullish Belthold|Entity|BCS.US|15|0.8|23
Bullish Belthold|Entity|MEOH.US|10|0.8|29
