Name|Category|Sub Category|Number Signals|Success %|Avg Duration
Bullish Belthold|Entity|MLCO.US|11|1|12
Bullish Belthold|Entity|FTLS.US|12|1|338
Bullish Belthold|Entity|LTPZ.US|14|0.9285714285714286|332
Bullish Belthold|Entity|TSM.US|13|0.9230769230769231|35
Bullish Belthold|Entity|CF.US|12|0.9166666666666666|32
Bullish Belthold|Entity|IAI.US|12|0.9166666666666666|39
Bullish Belthold|Entity|BANR.US|12|0.9166666666666666|39
Bullish Belthold|Entity|WBIL.US|23|0.9130434782608695|277
Bullish Belthold|Entity|RRX.US|11|0.9090909090909091|30
Bullish Belthold|Entity|PCAR.US|11|0.9090909090909091|67
Bullish Belthold|Entity|DJCO.US|11|0.9090909090909091|77
Bullish Belthold|Entity|BOUT.US|11|0.9090909090909091|106
Bullish Belthold|Entity|QDEF.US|11|0.9090909090909091|155
Bullish Belthold|Entity|AGR.US|11|0.9090909090909091|189
Bullish Belthold|Entity|IEF.US|11|0.9090909090909091|1632
Bullish Belthold|Entity|CHRW.US|10|0.9|65
Bullish Belthold|Entity|IHI.US|10|0.9|92
Bullish Belthold|Entity|AGNG.US|10|0.9|101
Bullish Belthold|Entity|PDP.US|10|0.9|120
Bullish Belthold|Entity|USDU.US|10|0.9|705
Bullish Belthold|Entity|HST.US|18|0.8888888888888888|34
Bullish Belthold|Entity|PXD.US|16|0.875|38
Bullish Belthold|Entity|TJX.US|16|0.875|45
Bullish Belthold|Entity|PSCH.US|16|0.875|76
Bullish Belthold|Entity|LGLV.US|16|0.875|165
Bullish Belthold|Entity|EXPD.US|15|0.8666666666666667|25
Bullish Belthold|Entity|UNP.US|15|0.8666666666666667|56
Bullish Belthold|Entity|IT.US|14|0.8571428571428571|48
Bullish Belthold|Entity|SCI.US|14|0.8571428571428571|51
Bullish Belthold|Entity|LH.US|14|0.8571428571428571|52
Bullish Belthold|Entity|QQXT.US|14|0.8571428571428571|98
Bullish Belthold|Entity|GGG.US|20|0.85|66
Bullish Belthold|Entity|EWC.US|20|0.85|76
Bullish Belthold|Entity|LKFN.US|20|0.85|110
Bullish Belthold|Entity|ABG.US|13|0.8461538461538461|22
Bullish Belthold|Entity|PZZA.US|13|0.8461538461538461|34
Bullish Belthold|Entity|WERN.US|13|0.8461538461538461|37
Bullish Belthold|Entity|UGI.US|13|0.8461538461538461|52
Bullish Belthold|Entity|SBLK.US|13|0.8461538461538461|64
Bullish Belthold|Entity|FXR.US|13|0.8461538461538461|70
Bullish Belthold|Entity|EGP.US|13|0.8461538461538461|72
Bullish Belthold|Entity|ARE.US|13|0.8461538461538461|73
Bullish Belthold|Entity|BMO.US|13|0.8461538461538461|80
Bullish Belthold|Entity|KBWP.US|13|0.8461538461538461|147
Bullish Belthold|Entity|CZNC.US|19|0.8421052631578947|123
Bullish Belthold|Industry|Computer Hardware|12|0.8333333333333334|15
Bullish Belthold|Entity|GIFI.US|18|0.8333333333333334|23
Bullish Belthold|Entity|WSBC.US|24|0.8333333333333334|44
Bullish Belthold|Entity|ENB.US|12|0.8333333333333334|87
Bullish Belthold|Entity|FXG.US|18|0.8333333333333334|179
Bullish Belthold|Entity|SCHP.US|12|0.8333333333333334|1666
Bullish Belthold|Entity|JKHY.US|17|0.8235294117647058|53
Bullish Belthold|Entity|AWR.US|17|0.8235294117647058|85
Bullish Belthold|Entity|HAWX.US|17|0.8235294117647058|194
Bullish Belthold|Entity|NTES.US|11|0.8181818181818182|12
Bullish Belthold|Entity|EBS.US|11|0.8181818181818182|39
Bullish Belthold|Entity|FCG.US|11|0.8181818181818182|47
Bullish Belthold|Entity|FBMS.US|11|0.8181818181818182|68
Bullish Belthold|Entity|BMY.US|22|0.8181818181818182|72
Bullish Belthold|Entity|UTRN.US|11|0.8181818181818182|167
Bullish Belthold|Entity|PTIN.US|11|0.8181818181818182|196
Bullish Belthold|Entity|AMWD.US|16|0.8125|15
Bullish Belthold|Entity|ROK.US|16|0.8125|56
Bullish Belthold|Entity|PEP.US|16|0.8125|110
Bullish Belthold|Entity|IXJ.US|16|0.8125|132
Bullish Belthold|Entity|XEL.US|16|0.8125|147
Bullish Belthold|Entity|ZIONL.US|16|0.8125|316
Bullish Belthold|Entity|NICE.US|21|0.8095238095238095|44
Bullish Belthold|Entity|CHD.US|21|0.8095238095238095|45
Bullish Belthold|Entity|PTF.US|21|0.8095238095238095|63
Bullish Belthold|Entity|KO.US|26|0.8076923076923077|98
Bullish Belthold|Entity|THC.US|15|0.8|14
Bullish Belthold|Entity|CNQ.US|10|0.8|21
Bullish Belthold|Entity|SMH.US|10|0.8|24
Bullish Belthold|Entity|MDC.US|15|0.8|27
Bullish Belthold|Entity|CNS.US|10|0.8|28
Bullish Belthold|Entity|FXL.US|10|0.8|28
Bullish Belthold|Entity|XES.US|10|0.8|34
Bullish Belthold|Entity|MIDD.US|15|0.8|35
Bullish Belthold|Entity|ABM.US|20|0.8|54
Bullish Belthold|Entity|QCOM.US|10|0.8|56
Bullish Belthold|Entity|SOXX.US|20|0.8|58
Bullish Belthold|Entity|CPT.US|10|0.8|67
Bullish Belthold|Entity|SLYG.US|15|0.8|74
Bullish Belthold|Entity|TRV.US|35|0.8|87
Bullish Belthold|Entity|REVS.US|10|0.8|181
Bullish Belthold|Entity|VEGA.US|10|0.8|375
Bullish Belthold|Entity|QUIK.US|29|0.7931034482758621|15
Bullish Belthold|Entity|PSCU.US|24|0.7916666666666666|117
Bullish Belthold|Entity|PNR.US|19|0.7894736842105263|31
Bullish Belthold|Entity|LECO.US|19|0.7894736842105263|48
Bullish Belthold|Entity|MMM.US|19|0.7894736842105263|50
Bullish Belthold|Entity|FELE.US|19|0.7894736842105263|56
Bullish Belthold|Entity|NJR.US|19|0.7894736842105263|116
Bullish Belthold|Entity|INSG.US|14|0.7857142857142857|7
Bullish Belthold|Entity|MCK.US|14|0.7857142857142857|41
Bullish Belthold|Entity|SHW.US|14|0.7857142857142857|76
Bullish Belthold|Entity|WM.US|14|0.7857142857142857|90
Bullish Belthold|Entity|NGG.US|14|0.7857142857142857|99
Bullish Belthold|Entity|BHV.US|28|0.7857142857142857|100
Bullish Belthold|Entity|BFOR.US|14|0.7857142857142857|110
Bullish Belthold|Entity|RFDA.US|14|0.7857142857142857|118
Bullish Belthold|Entity|KIE.US|14|0.7857142857142857|134
Bullish Belthold|Entity|WTRG.US|14|0.7857142857142857|172
Bullish Belthold|Entity|IJT.US|14|0.7857142857142857|191
Bullish Belthold|Entity|RSPD.US|32|0.78125|122
Bullish Belthold|Entity|AEIS.US|18|0.7777777777777778|17
Bullish Belthold|Entity|SM.US|18|0.7777777777777778|23
Bullish Belthold|Entity|BBSI.US|18|0.7777777777777778|28
Bullish Belthold|Entity|PVH.US|18|0.7777777777777778|32
Bullish Belthold|Entity|KWR.US|18|0.7777777777777778|43
Bullish Belthold|Entity|RBA.US|18|0.7777777777777778|66
Bullish Belthold|Entity|BF-A.US|31|0.7741935483870968|114
Bullish Belthold|Entity|EXPO.US|22|0.7727272727272727|47
Bullish Belthold|Entity|WRB.US|22|0.7727272727272727|78
Bullish Belthold|Entity|REG.US|22|0.7727272727272727|106
Bullish Belthold|Entity|PSCC.US|22|0.7727272727272727|118
Bullish Belthold|Entity|WBIG.US|22|0.7727272727272727|304
Bullish Belthold|Entity|ANIP.US|13|0.7692307692307693|16
Bullish Belthold|Entity|GEOS.US|13|0.7692307692307693|20
Bullish Belthold|Entity|DMRC.US|13|0.7692307692307693|20
Bullish Belthold|Entity|BCO.US|26|0.7692307692307693|24
Bullish Belthold|Entity|ULH.US|13|0.7692307692307693|34
Bullish Belthold|Entity|NNI.US|13|0.7692307692307693|40
Bullish Belthold|Entity|ALB.US|13|0.7692307692307693|41
Bullish Belthold|Entity|CASY.US|13|0.7692307692307693|45
Bullish Belthold|Entity|SYK.US|13|0.7692307692307693|55
Bullish Belthold|Entity|KIM.US|13|0.7692307692307693|69
Bullish Belthold|Entity|INDY.US|13|0.7692307692307693|88
Bullish Belthold|Entity|EES.US|13|0.7692307692307693|122
Bullish Belthold|Entity|TIPZ.US|26|0.7692307692307693|954
Bullish Belthold|Entity|HAE.US|17|0.7647058823529411|48
Bullish Belthold|Entity|USPH.US|17|0.7647058823529411|51
Bullish Belthold|Entity|CSL.US|17|0.7647058823529411|56
Bullish Belthold|Entity|RYH.US|17|0.7647058823529411|91
Bullish Belthold|Entity|BCS.US|21|0.7619047619047619|36
Bullish Belthold|Entity|SJW.US|21|0.7619047619047619|103
Bullish Belthold|Entity|IPKW.US|21|0.7619047619047619|114
Bullish Belthold|Entity|GIS.US|25|0.76|88
Bullish Belthold|Entity|NRIM.US|25|0.76|103
Bullish Belthold|Entity|YORW.US|25|0.76|122
Bullish Belthold|Entity|RZG.US|29|0.7586206896551724|84
Bullish Belthold|Entity|AA.US|45|0.7555555555555555|41
Bullish Belthold|Entity|NEGG.US|12|0.75|18
Bullish Belthold|Entity|AMN.US|12|0.75|18
Bullish Belthold|Entity|TBI.US|16|0.75|19
Bullish Belthold|Entity|ZBRA.US|16|0.75|22
Bullish Belthold|Entity|ADSK.US|12|0.75|23
Bullish Belthold|Entity|STE.US|16|0.75|29
Bullish Belthold|Entity|MTRN.US|20|0.75|30
Bullish Belthold|Entity|GIL.US|12|0.75|31
Bullish Belthold|Entity|WWD.US|16|0.75|33
Bullish Belthold|Entity|TGT.US|12|0.75|45
Bullish Belthold|Entity|DKS.US|16|0.75|46
Bullish Belthold|Entity|LIN.US|12|0.75|50
Bullish Belthold|Entity|TTC.US|20|0.75|53
Bullish Belthold|Entity|WTFC.US|12|0.75|68
Bullish Belthold|Entity|CCI.US|16|0.75|78
Bullish Belthold|Entity|FMC.US|16|0.75|94
Bullish Belthold|Entity|IMCB.US|16|0.75|94
Bullish Belthold|Entity|JKG.US|16|0.75|94
Bullish Belthold|Entity|PHO.US|12|0.75|95
Bullish Belthold|Entity|PRF.US|12|0.75|104
Bullish Belthold|Entity|ASB.US|12|0.75|105
Bullish Belthold|Entity|XLB.US|16|0.75|111
Bullish Belthold|Entity|WEC.US|16|0.75|125
Bullish Belthold|Entity|YCS.US|16|0.75|158
Bullish Belthold|Entity|D.US|16|0.75|164
Bullish Belthold|Entity|MFDX.US|16|0.75|185
Bullish Belthold|Entity|DTD.US|12|0.75|233
Bullish Belthold|Entity|SCHR.US|12|0.75|949
Bullish Belthold|Entity|TDTF.US|16|0.75|1560
Bullish Belthold|Entity|UTL.US|31|0.7419354838709677|150
Bullish Belthold|Entity|CIGI.US|27|0.7407407407407407|30
Bullish Belthold|Entity|SXI.US|27|0.7407407407407407|41
Bullish Belthold|Entity|NHI.US|23|0.7391304347826086|47
Bullish Belthold|Entity|ABT.US|23|0.7391304347826086|63
Bullish Belthold|Entity|EVX.US|23|0.7391304347826086|65
Bullish Belthold|Entity|SAFT.US|23|0.7391304347826086|69
Bullish Belthold|Entity|ASH.US|19|0.7368421052631579|36
Bullish Belthold|Entity|AZO.US|19|0.7368421052631579|48
Bullish Belthold|Entity|FDS.US|19|0.7368421052631579|50
Bullish Belthold|Entity|QCLN.US|19|0.7368421052631579|52
Bullish Belthold|Entity|DCI.US|19|0.7368421052631579|55
Bullish Belthold|Entity|PSCT.US|19|0.7368421052631579|72
Bullish Belthold|Entity|FTA.US|19|0.7368421052631579|102
Bullish Belthold|Entity|RTH.US|19|0.7368421052631579|158
Bullish Belthold|Entity|OTTR.US|19|0.7368421052631579|211
Bullish Belthold|Entity|KFY.US|15|0.7333333333333333|17
Bullish Belthold|Entity|PFBC.US|15|0.7333333333333333|26
Bullish Belthold|Entity|DECK.US|15|0.7333333333333333|28
Bullish Belthold|Entity|CLB.US|15|0.7333333333333333|29
Bullish Belthold|Entity|SGDM.US|15|0.7333333333333333|32
Bullish Belthold|Entity|WAT.US|15|0.7333333333333333|46
Bullish Belthold|Entity|RWJ.US|15|0.7333333333333333|57
Bullish Belthold|Entity|CHDN.US|15|0.7333333333333333|60
Bullish Belthold|Entity|MPB.US|15|0.7333333333333333|64
Bullish Belthold|Entity|ACGL.US|15|0.7333333333333333|86
Bullish Belthold|Entity|EWJ.US|15|0.7333333333333333|135
Bullish Belthold|Entity|HUM.US|26|0.7307692307692307|25
Bullish Belthold|Industry|Integrated Freight & Logistics|92|0.7282608695652174|43
Bullish Belthold|Entity|CNC.US|11|0.7272727272727273|20
Bullish Belthold|Entity|CASH.US|11|0.7272727272727273|24
Bullish Belthold|Entity|FDN.US|11|0.7272727272727273|33
Bullish Belthold|Entity|FDP.US|11|0.7272727272727273|37
Bullish Belthold|Entity|BRC.US|22|0.7272727272727273|37
Bullish Belthold|Entity|IYE.US|11|0.7272727272727273|49
Bullish Belthold|Entity|ORLY.US|11|0.7272727272727273|50
Bullish Belthold|Entity|ITW.US|11|0.7272727272727273|51
Bullish Belthold|Entity|XSD.US|11|0.7272727272727273|57
Bullish Belthold|Entity|DEO.US|22|0.7272727272727273|58
Bullish Belthold|Entity|MCO.US|11|0.7272727272727273|68
Bullish Belthold|Entity|NERD.US|11|0.7272727272727273|69
Bullish Belthold|Entity|GABC.US|22|0.7272727272727273|71
Bullish Belthold|Entity|SRE.US|11|0.7272727272727273|88
Bullish Belthold|Entity|DON.US|11|0.7272727272727273|95
Bullish Belthold|Entity|PSCD.US|22|0.7272727272727273|105
Bullish Belthold|Entity|XLY.US|22|0.7272727272727273|130
Bullish Belthold|Entity|ISRA.US|22|0.7272727272727273|136
Bullish Belthold|Entity|FMF.US|11|0.7272727272727273|166
Bullish Belthold|Entity|VHT.US|11|0.7272727272727273|255
Bullish Belthold|Entity|USLM.US|29|0.7241379310344828|41
Bullish Belthold|Entity|GIC.US|18|0.7222222222222222|19
Bullish Belthold|Entity|CVCO.US|18|0.7222222222222222|20
Bullish Belthold|Entity|NPO.US|18|0.7222222222222222|26
Bullish Belthold|Entity|OZK.US|18|0.7222222222222222|31
Bullish Belthold|Entity|BBC.US|18|0.7222222222222222|31
Bullish Belthold|Entity|UFPT.US|18|0.7222222222222222|36
Bullish Belthold|Entity|AIT.US|18|0.7222222222222222|38
Bullish Belthold|Entity|IEX.US|18|0.7222222222222222|39
Bullish Belthold|Entity|EWW.US|18|0.7222222222222222|43
Bullish Belthold|Entity|INGR.US|18|0.7222222222222222|61
Bullish Belthold|Entity|PYZ.US|18|0.7222222222222222|70
Bullish Belthold|Entity|EZM.US|18|0.7222222222222222|76
Bullish Belthold|Entity|SLGN.US|18|0.7222222222222222|97
