Name|Code|Industry|Sector|Entry Date|Entry Price Point|Entry Price|Result Up Date|Result Up Price Point|Result Up Price|Result Down Date|Result Down Price Point|Result Down Price|Result Direction|Trading Days|Calendar Days
Bullish Belthold|AADI.US|Biotechnology|Healthcare|2/21/2018|Close|71.2500||||2/26/2018|Low|61.5000|Down|3|5
Bullish Belthold|AADR.US|||2/21/2018|Close|4.7500|8/27/2021|High|30.0000|2/26/2018|Low|4.1000|Down|3|5
Bullish Belthold|AAL.US|Airlines|Industrials|5/17/2007|Close|33.2700|7/12/2007|High|36.8100|6/11/2007|Low|29.4000|Down|17|25
Bullish Belthold|AAN.US|Rental & Leasing Services|Industrials|12/2/2021|Close|22.8500|12/28/2021|High|25.3000|1/27/2022|Low|20.4908|Up|18|26
Bullish Belthold|AAN.US|Rental & Leasing Services|Industrials|3/3/2023|Close|12.7800|6/7/2023|High|14.8750|3/9/2023|Low|11.4900|Down|4|6
Bullish Belthold|AAOI.US|Communication Equipment|Technology|4/22/2016|Close|11.5900|7/26/2016|High|12.7900|5/5/2016|Low|10.3500|Down|9|13
Bullish Belthold|AAOI.US|Communication Equipment|Technology|9/6/2017|Close|58.0600|9/18/2017|High|66.7000|10/13/2017|Low|46.0000|Up|8|12
Bullish Belthold|AAPL.US|Consumer Electronics|Technology|6/28/1984|Close|0.1177|8/6/1984|High|0.1362|10/12/1984|Low|0.1004|Up|27|39
Bullish Belthold|AAPL.US|Consumer Electronics|Technology|5/3/1985|Close|0.0893|5/17/1985|High|0.0988|5/28/1985|Low|0.0753|Up|10|14
Bullish Belthold|AAPL.US|Consumer Electronics|Technology|7/31/1986|Close|0.1395|8/12/1986|High|0.1535|6/30/1997|Low|0.1250|Up|8|12
Bullish Belthold|AAPL.US|Consumer Electronics|Technology|12/18/1989|Close|0.3103|1/4/1990|High|0.3460|9/20/1990|Low|0.2790|Up|13|17
Bullish Belthold|AAPL.US|Consumer Electronics|Technology|6/17/1991|Close|0.3750|7/8/1991|High|0.4219|7/2/1993|Low|0.3371|Up|15|21
Bullish Belthold|AAPL.US|Consumer Electronics|Technology|4/1/1992|Close|0.5268|1/14/1993|High|0.5826|4/28/1992|Low|0.4732|Down|19|27
Bullish Belthold|AAPL.US|Consumer Electronics|Technology|9/13/1996|Close|0.1875|9/17/1996|High|0.2065|1/6/1997|Low|0.1540|Up|2|4
Bullish Belthold|AAP.US|Specialty Retail|Consumer Cyclical|5/17/2023|Close|122.1000||||5/26/2023|Low|109.7601|Down|7|9
Bullish Belthold|AAT.US|REIT - Diversified|Real Estate|6/13/2013|Close|31.9700|6/5/2014|High|35.1900|6/24/2013|Low|28.6600|Down|7|11
Bullish Belthold|AA.US|Aluminum|Basic Materials|9/25/1962|Close|5.5194|5/8/1963|High|6.0951|10/22/1962|Low|4.9562|Down|19|27
Bullish Belthold|AA.US|Aluminum|Basic Materials|11/26/1963|Close|6.2203|12/18/1963|High|6.8586|5/22/1970|Low|5.2816|Up|16|22
Bullish Belthold|AA.US|Aluminum|Basic Materials|6/3/1964|Close|7.1840|5/14/1965|High|7.9099|8/24/1964|Low|6.4581|Down|58|82
Bullish Belthold|AA.US|Aluminum|Basic Materials|6/22/1965|Close|7.3091|1/13/1966|High|8.0475|3/20/1968|Low|6.5582|Up|147|205
Bullish Belthold|AA.US|Aluminum|Basic Materials|11/16/1967|Close|7.1089|11/28/1967|High|7.8473|7/23/1968|Low|6.3579|Up|8|12
Bullish Belthold|AA.US|Aluminum|Basic Materials|3/21/1968|Close|6.6458|4/8/1968|High|7.3592|5/5/1970|Low|5.9700|Up|12|18
Bullish Belthold|AA.US|Aluminum|Basic Materials|7/26/1968|Close|6.3955|9/9/1968|High|7.1589|5/14/1970|Low|5.6821|Up|31|45
Bullish Belthold|AA.US|Aluminum|Basic Materials|4/13/1971|Close|6.0826|4/23/1971|High|6.8586|7/23/1971|Low|5.3191|Up|8|10
Bullish Belthold|AA.US|Aluminum|Basic Materials|6/10/1971|Close|6.3329|8/7/1973|High|6.9837|7/15/1971|Low|5.6821|Down|25|35
Bullish Belthold|AA.US|Aluminum|Basic Materials|7/16/1971|Close|5.7572|5/9/1973|High|6.3579|7/26/1971|Low|5.1189|Down|6|10
Bullish Belthold|AA.US|Aluminum|Basic Materials|11/3/1971|Close|4.2052|12/20/1971|High|4.7059|11/10/1971|Low|3.6045|Down|5|7
Bullish Belthold|AA.US|Aluminum|Basic Materials|11/16/1978|Close|6.6083|12/6/1978|High|7.2841|3/18/2020|Low|5.2700|Up|14|20
Bullish Belthold|AA.US|Aluminum|Basic Materials|10/23/1979|Close|7.4343|12/13/1979|High|8.2979|2/1/1982|Low|6.6833|Up|37|51
Bullish Belthold|AA.US|Aluminum|Basic Materials|3/28/1980|Close|8.5982|6/12/1980|High|9.4994|9/14/1981|Low|7.7347|Up|54|76
Bullish Belthold|AA.US|Aluminum|Basic Materials|12/2/1980|Close|9.7059|3/16/1981|High|10.8135|12/15/1980|Low|8.7296|Down|9|13
Bullish Belthold|AA.US|Aluminum|Basic Materials|1/31/1984|Close|12.5407|2/24/1986|High|13.9299|2/7/1984|Low|11.2641|Down|5|7
Bullish Belthold|AA.US|Aluminum|Basic Materials|2/10/1984|Close|11.3392|3/14/1984|High|12.6158|5/4/1984|Low|10.1377|Up|23|33
Bullish Belthold|AA.US|Aluminum|Basic Materials|5/7/1985|Close|9.0488|5/10/1985|High|10.0626|3/12/2020|Low|7.2400|Up|3|3
Bullish Belthold|AA.US|Aluminum|Basic Materials|10/1/1985|Close|10.0626|11/27/1985|High|11.0763|3/9/2020|Low|8.6100|Up|41|57
Bullish Belthold|AA.US|Aluminum|Basic Materials|4/8/1986|Close|12.5782|3/25/1987|High|13.8923|7/7/1986|Low|11.1139|Down|64|90
Bullish Belthold|AA.US|Aluminum|Basic Materials|11/29/1991|Close|17.5719|12/24/1991|High|19.7121|2/18/2009|Low|15.3552|Up|17|25
Bullish Belthold|AA.US|Aluminum|Basic Materials|12/11/1991|Close|17.0463|12/23/1991|High|18.7734|2/19/2009|Low|15.2593|Up|8|12
Bullish Belthold|AA.US|Aluminum|Basic Materials|10/5/1995|Close|31.0137|11/22/1995|High|34.7684|10/10/2008|Low|25.2555|Up|34|48
Bullish Belthold|AA.US|Aluminum|Basic Materials|6/7/1996|Close|35.8197|1/3/1997|High|40.9261|10/8/2008|Low|32.2002|Up|150|210
Bullish Belthold|AA.US|Aluminum|Basic Materials|3/31/1998|Close|41.3391|4/14/1998|High|45.7696|8/27/1998|Low|34.8435|Up|10|14
Bullish Belthold|AA.US|Aluminum|Basic Materials|12/7/1998|Close|44.6057|1/8/1999|High|51.1764|10/6/2008|Low|40.1301|Up|24|32
Bullish Belthold|AA.US|Aluminum|Basic Materials|7/27/1999|Close|72.8409|8/10/1999|High|80.7258|7/7/2000|Low|65.4820|Up|10|14
Bullish Belthold|AA.US|Aluminum|Basic Materials|6/14/2000|Close|71.9398|7/12/2000|High|79.5994|9/18/2000|Low|61.2765|Up|20|28
Bullish Belthold|AAXJ.US|||12/23/2016|Close|54.2400|2/8/2017|High|59.8250||||Up|33|47
Bullish Belthold|AAXJ.US|||12/7/2017|Close|74.4100|1/23/2018|High|82.2900|10/4/2018|Low|66.7200|Up|33|47
Bullish Belthold|AAXJ.US|||6/1/2023|Close|65.8300|||||||||
Bullish Belthold|ABCB.US|Banks - Regional|Financial Services|12/12/1996|Close|9.4574|2/25/1997|High|11.0785|8/31/1998|Low|7.7685|Up|53|75
Bullish Belthold|ABCB.US|Banks - Regional|Financial Services|7/27/1998|Close|9.7529|8/6/2001|High|10.7407|8/27/1998|Low|8.6128|Down|23|31
Bullish Belthold|ABCB.US|Banks - Regional|Financial Services|1/19/2007|Close|26.3809|10/1/2015|High|29.4000|2/5/2007|Low|23.6086|Down|11|17
Bullish Belthold|ABCB.US|Banks - Regional|Financial Services|1/29/2007|Close|26.0891|8/17/2015|High|28.9900|2/6/2007|Low|22.8790|Down|6|8
Bullish Belthold|ABCB.US|Banks - Regional|Financial Services|11/10/2010|Close|8.8800|11/15/2010|High|10.0300||||Up|3|5
Bullish Belthold|ABCB.US|Banks - Regional|Financial Services|8/14/2017|Close|45.1000|10/9/2017|High|49.9500|10/24/2018|Low|39.3400|Up|40|56
Bullish Belthold|ABCB.US|Banks - Regional|Financial Services|7/26/2018|Close|50.8500|3/12/2021|High|55.9600|7/27/2018|Low|45.6010|Down|1|1
Bullish Belthold|ABEO.US|Biotechnology|Healthcare|9/13/1994|Close|82025.0000|9/14/1994|High|93750.0000|10/4/1994|Low|62500.0000|Up|1|1
Bullish Belthold|ABEO.US|Biotechnology|Healthcare|8/21/2000|Close|17187.5000|8/23/2000|High|21484.3750|2/20/2001|Low|13437.5000|Up|2|2
Bullish Belthold|ABEO.US|Biotechnology|Healthcare|2/25/2004|Close|36500.0000|3/29/2004|High|41750.0000|3/19/2004|Low|32812.5000|Down|17|23
Bullish Belthold|ABEO.US|Biotechnology|Healthcare|8/17/2005|Close|6062.5000|9/23/2005|High|6750.0000|8/18/2005|Low|5187.5000|Down|1|1
Bullish Belthold|ABEO.US|Biotechnology|Healthcare|5/8/2007|Close|6312.5000||||5/30/2007|Low|5375.0000|Down|16|22
Bullish Belthold|ABEO.US|Biotechnology|Healthcare|12/11/2007|Close|3125.0000|12/13/2007|High|3437.5000|12/14/2007|Low|2625.0000|Up|2|2
Bullish Belthold|ABEO.US|Biotechnology|Healthcare|9/22/2009|Close|4362.5000||||9/25/2009|Low|3512.5000|Down|3|3
Bullish Belthold|ABEO.US|Biotechnology|Healthcare|3/17/2010|Close|3187.5000|4/20/2010|High|3562.5000|4/1/2010|Low|2812.5000|Down|11|15
Bullish Belthold|ABEO.US|Biotechnology|Healthcare|2/22/2011|Close|2925.0000||||2/24/2011|Low|2625.0000|Down|2|2
Bullish Belthold|ABEQ.US|||2/23/2023|Close|27.8480|||||||||
