Name|Code|Industry|Sector|Entry Date|Entry Price Point|Entry Price|Result Up Date|Result Up Price Point|Result Up Price|Result Down Date|Result Down Price Point|Result Down Price|Result Direction|Trading Days|Calendar Days
Bullish Belthold|A|LABORATORY ANALYTICAL INSTRUMENTS||12/2/2016|Close|44.0300|||||||||
Bullish Belthold|AAMC|REAL ESTATE||7/10/2014|Close|656.9700|7/14/2014|High|763.4800|8/1/2014|Low|500.0500|Up|2|4
Bullish Belthold|AAMC|REAL ESTATE||11/23/2015|Close|13.3500|11/24/2015|High|15.4000|12/10/2015|Low|12.0000|Up|1|1
Bullish Belthold|AAMC|REAL ESTATE||5/9/2016|Close|17.5100|6/1/2016|High|20.3900|5/10/2016|Low|13.5600|Down|1|1
Bullish Belthold|AAN|SERVICES-EQUIPMENT RENTAL & LEASING, NEC||8/8/2014|Close|25.2900|11/13/2014|High|28.0000|12/9/2015|Low|22.5100|Up|69|97
Bullish Belthold|AAN|SERVICES-EQUIPMENT RENTAL & LEASING, NEC||10/2/2014|Close|23.9700|11/11/2014|High|27.1400|12/14/2015|Low|21.3200|Up|28|40
Bullish Belthold|AAOI|SEMICONDUCTORS & RELATED DEVICES||4/22/2016|Close|11.5900|7/26/2016|High|12.7900|5/5/2016|Low|10.3500|Down|9|13
Bullish Belthold|AAON|AIR-COND & WARM AIR HEATG EQUIP & COMM & INDL REFRIG EQUIP||8/6/2015|Close|22.8100|11/25/2015|High|25.2000|8/24/2015|Low|20.1350|Down|12|18
Bullish Belthold|AAON|AIR-COND & WARM AIR HEATG EQUIP & COMM & INDL REFRIG EQUIP||12/14/2015|Close|23.5100|3/1/2016|High|26.1300|1/7/2016|Low|21.0900|Down|18|24
Bullish Belthold|AAON|AIR-COND & WARM AIR HEATG EQUIP & COMM & INDL REFRIG EQUIP||8/5/2016|Close|26.6300|10/4/2016|High|29.9800||||Up|42|60
Bullish Belthold|AAP|RETAIL-AUTO & HOME SUPPLY STORES||9/26/2014|Close|130.1000|10/23/2014|High|143.6100||||Up|19|27
Bullish Belthold|AAXJ|||6/10/2015|Close|64.5000||||8/11/2015|Low|57.2800|Down|44|62
Bullish Belthold|AAXJ|||11/16/2015|Close|55.3400|9/6/2016|High|61.1300|1/7/2016|Low|49.5200|Down|38|52
Bullish Belthold|AB|INVESTMENT ADVICE||2/11/2016|Close|16.9200|7/9/2015|High|29.0799||||Up|-155|-217
Bullish Belthold|AB|INVESTMENT ADVICE||3/2/2016|Close|20.6100|5/3/2016|High|23.6634|2/3/2016|Low|17.8000|Down|-20|-28
Bullish Belthold|ABCB|STATE COMMERCIAL BANKS||5/18/2016|Close|31.0000|8/26/2016|High|34.3200||||Up|72|100
Bullish Belthold|ABG|RETAIL-AUTO DEALERS & GASOLINE STATIONS||12/17/2014|Close|74.8500|3/24/2015|High|82.8400|12/18/2015|Low|65.6500|Up|69|97
Bullish Belthold|ABT|PHARMACEUTICAL PREPARATIONS||9/29/2014|Close|41.9000|12/8/2014|High|46.1000|1/28/2016|Low|36.0000|Up|50|70
Bullish Belthold|ACET|PHARMACEUTICAL PREPARATIONS||8/5/2014|Close|17.0000|8/15/2014|High|18.7900||||Up|8|10
Bullish Belthold|ACET|PHARMACEUTICAL PREPARATIONS||11/4/2016|Close|16.4700|11/9/2016|High|18.2700||||Up|3|5
Bullish Belthold|ACGL|FIRE, MARINE & CASUALTY INSURANCE||4/28/2015|Close|61.0300|6/19/2015|High|68.0100||||Up|38|52
Bullish Belthold|ACHC|SERVICES-SPECIALTY OUTPATIENT FACILITIES, NEC||12/17/2014|Close|61.3300|3/4/2015|High|67.5800|10/22/2015|Low|54.4100|Up|55|77
Bullish Belthold|ACHC|SERVICES-SPECIALTY OUTPATIENT FACILITIES, NEC||9/30/2015|Close|66.2700|11/6/2015|High|74.7700|10/22/2015|Low|54.4100|Down|16|22
Bullish Belthold|ACHC|SERVICES-SPECIALTY OUTPATIENT FACILITIES, NEC||3/18/2016|Close|52.3700|4/14/2016|High|58.9060|9/28/2016|Low|47.0700|Up|19|27
Bullish Belthold|ACIW|SERVICES-PREPACKAGED SOFTWARE||7/18/2014|Close|17.7500|8/1/2014|High|19.7300|2/9/2016|Low|15.6401|Up|10|14
Bullish Belthold|ACIW|SERVICES-PREPACKAGED SOFTWARE||1/16/2015|Close|18.2600|2/6/2015|High|20.1700|2/8/2016|Low|16.0500|Up|15|21
Bullish Belthold|ACIW|SERVICES-PREPACKAGED SOFTWARE||3/29/2016|Close|20.0800||||8/17/2016|Low|17.5700|Down|101|141
Bullish Belthold|ACIW|SERVICES-PREPACKAGED SOFTWARE||11/1/2016|Close|19.0100||||11/3/2016|Low|15.1100|Down|2|2
