Name|Category|Sub Category|Number Signals|Success %|Avg Duration
Bullish Counterattack|Industry|Utilities - Diversified|10|0.9|244
Bullish Counterattack|Industry|Medical Care Facilities|15|0.8666666666666667|48
Bullish Counterattack|Industry|Drug Manufacturers - General|17|0.7647058823529411|47
Bullish Counterattack|Industry|Packaged Foods|21|0.7619047619047619|24
Bullish Counterattack|Industry|Insurance - Property & Casualty|16|0.75|69
Bullish Counterattack|Industry|Metal Fabrication|11|0.7272727272727273|34
Bullish Counterattack|Entity|ONCY.US|10|0.7|6
Bullish Counterattack|Industry|Household & Personal Products|10|0.7|43
Bullish Counterattack|Industry|Agricultural Inputs|10|0.7|67
Bullish Counterattack|Entity|NJR.US|10|0.7|76
Bullish Counterattack|Industry|Insurance Brokers|12|0.6666666666666666|42
Bullish Counterattack|Industry|Integrated Freight & Logistics|12|0.6666666666666666|52
Bullish Counterattack|Industry|Specialty Industrial Machinery|33|0.6363636363636364|48
Bullish Counterattack|Industry|Leisure|11|0.6363636363636364|77
Bullish Counterattack|Sector|Utilities|96|0.6354166666666666|128
Bullish Counterattack|Industry|Information Technology Services|16|0.625|54
Bullish Counterattack|Sector|Consumer Defensive|79|0.620253164556962|53
Bullish Counterattack|Industry|Entertainment|18|0.6111111111111112|14
Bullish Counterattack|Industry|Aerospace & Defense|35|0.6|54
Bullish Counterattack|Industry|Utilities - Regulated Electric|64|0.59375|121
Bullish Counterattack|Industry|Medical Instruments & Supplies|31|0.5806451612903226|48
Bullish Counterattack|Industry|Oil & Gas Equipment & Services|14|0.5714285714285714|13
Bullish Counterattack|Industry|Industrial Distribution|14|0.5714285714285714|68
Bullish Counterattack|Sector|Communication Services|51|0.5686274509803921|35
Bullish Counterattack|Industry|Biotechnology|145|0.5586206896551724|10
Bullish Counterattack|Sector|Healthcare|321|0.5514018691588785|23
Bullish Counterattack|Industry|Engineering & Construction|24|0.5416666666666666|12
Bullish Counterattack|Industry|REIT - Retail|24|0.5416666666666666|86
Bullish Counterattack|Entity|CP.US|13|0.5384615384615384|46
Bullish Counterattack|Sector|Energy|93|0.5376344086021505|43
Bullish Counterattack|Sector|Financial Services|259|0.528957528957529|85
Bullish Counterattack|Industry|Communication Equipment|21|0.5238095238095238|17
Bullish Counterattack|Sector|Industrials|258|0.5232558139534884|39
Bullish Counterattack|Industry|Specialty Chemicals|23|0.5217391304347826|45
Bullish Counterattack|Industry|Software - Application|37|0.5135135135135135|31
Bullish Counterattack|Overall|All|4364|0.5036663611365719|74
Bullish Counterattack|Industry|Oil & Gas Midstream|16|0.5|28
Bullish Counterattack|Sector|Technology|140|0.5|30
Bullish Counterattack|Industry|Credit Services|12|0.5|32
Bullish Counterattack|Industry|Staffing & Employment Services|10|0.5|51
Bullish Counterattack|Industry|Mortgage Finance|10|0.5|158
Bullish Counterattack|Sector|Basic Materials|83|0.4939759036144578|38
Bullish Counterattack|Industry|Asset Management|43|0.4883720930232558|110
Bullish Counterattack|Industry|Farm & Heavy Construction Machinery|19|0.47368421052631576|33
Bullish Counterattack|Industry|Medical Devices|36|0.4722222222222222|18
Bullish Counterattack|Industry|Oil & Gas E&P|36|0.4722222222222222|51
Bullish Counterattack|Industry|Software - Infrastructure|17|0.47058823529411764|18
Bullish Counterattack|Industry|Banks - Regional|134|0.4701492537313433|97
Bullish Counterattack|Industry|Scientific & Technical Instruments|13|0.46153846153846156|16
Bullish Counterattack|Industry|Apparel Retail|24|0.4583333333333333|30
Bullish Counterattack|Industry|Diagnostics & Research|24|0.4583333333333333|41
Bullish Counterattack|Industry|Specialty Business Services|11|0.45454545454545453|41
Bullish Counterattack|Industry|Drug Manufacturers - Specialty & Generic|31|0.45161290322580644|12
Bullish Counterattack|Industry|Gold|20|0.45|16
Bullish Counterattack|Sector|Consumer Cyclical|159|0.44654088050314467|38
Bullish Counterattack|Industry|Railroads|18|0.4444444444444444|44
Bullish Counterattack|Sector|Real Estate|108|0.4351851851851852|61
Bullish Counterattack|Industry|Restaurants|21|0.42857142857142855|34
Bullish Counterattack|Industry|Internet Content & Information|14|0.42857142857142855|42
Bullish Counterattack|Industry|Furnishings, Fixtures & Appliances|10|0.4|10
Bullish Counterattack|Industry|REIT - Mortgage|23|0.391304347826087|69
Bullish Counterattack|Industry|Other Industrial Metals & Mining|13|0.38461538461538464|13
Bullish Counterattack|Industry|Education & Training Services|13|0.38461538461538464|24
Bullish Counterattack|Industry|Security & Protection Services|14|0.35714285714285715|22
Bullish Counterattack|Industry|Auto Parts|14|0.35714285714285715|77
Bullish Counterattack|Industry|Specialty Retail|12|0.3333333333333333|20
Bullish Counterattack|Entity|SH.US|12|0.3333333333333333|134
Bullish Counterattack|Industry|Marine Shipping|13|0.3076923076923077|17
Bullish Counterattack|Entity|SPB.US|10|0.3|20
Bullish Counterattack|Industry|REIT - Residential|12|0.25|52
Bullish Counterattack|Industry|Semiconductors|13|0.23076923076923078|23
Bullish Counterattack|Entity|PSQ.US|10|0.2|34
Bullish Counterattack|Industry|Resorts & Casinos|11|0.18181818181818182|5
