Name|Code|Industry|Sector|Entry Date|Entry Price Point|Entry Price|Result Up Date|Result Up Price Point|Result Up Price|Result Down Date|Result Down Price Point|Result Down Price|Result Direction|Trading Days|Calendar Days
Bullish Counterattack|A|LABORATORY ANALYTICAL INSTRUMENTS||10/15/2014|Close|37.0458|11/3/2014|High|41.2400|9/28/2015|Low|33.3200|Up|13|19
Bullish Counterattack|AA|PRIMARY PRODUCTION OF ALUMINUM||6/24/2015|Close|35.2200||||7/8/2015|Low|31.1700|Down|10|14
Bullish Counterattack|AA|PRIMARY PRODUCTION OF ALUMINUM||1/20/2016|Close|20.2200|1/22/2016|High|22.2600||||Up|2|2
Bullish Counterattack|AAN|SERVICES-EQUIPMENT RENTAL & LEASING, NEC||3/6/2015|Close|28.0500|4/24/2015|High|33.0000|10/30/2015|Low|23.7400|Up|35|49
Bullish Counterattack|AAOI|SEMICONDUCTORS & RELATED DEVICES||9/23/2014|Close|17.1000|5/26/2015|High|19.3500|10/1/2014|Low|15.2000|Down|6|8
Bullish Counterattack|AAON|AIR-COND & WARM AIR HEATG EQUIP & COMM & INDL REFRIG EQUIP||5/11/2015|Close|22.7600|11/25/2015|High|25.2000|8/24/2015|Low|20.1350|Down|75|105
Bullish Counterattack|AAON|AIR-COND & WARM AIR HEATG EQUIP & COMM & INDL REFRIG EQUIP||11/4/2016|Close|27.5500|11/10/2016|High|30.6000||||Up|4|6
Bullish Counterattack|ABT|PHARMACEUTICAL PREPARATIONS||10/13/2016|Close|40.9800|||||||||
Bullish Counterattack|ACGL|FIRE, MARINE & CASUALTY INSURANCE||7/28/2014|Close|54.7200|1/27/2015|High|60.4800||||Up|131|183
Bullish Counterattack|ACGL|FIRE, MARINE & CASUALTY INSURANCE||1/14/2016|Close|66.9000|8/2/2016|High|73.8400|1/21/2016|Low|59.8300|Down|5|7
Bullish Counterattack|ACU|CUTLERY, HANDTOOLS & GENERAL HARDWARE||10/20/2015|Close|17.0000|6/20/2016|High|18.8100|1/15/2016|Low|14.1600|Down|63|87
Bullish Counterattack|AEE|ELECTRIC & OTHER SERVICES COMBINED||8/9/2016|Close|50.9400|||||||||
Bullish Counterattack|AEM|||7/14/2015|Close|27.4200|10/14/2015|High|30.3100|7/20/2015|Low|22.6400|Down|4|6
Bullish Counterattack|AEO|RETAIL-FAMILY CLOTHING STORES||10/27/2014|Close|12.9200|11/25/2014|High|14.2400||||Up|21|29
Bullish Counterattack|AEP|ELECTRIC SERVICES||6/9/2015|Close|53.4600|8/19/2015|High|58.9600||||Up|51|71
Bullish Counterattack|AFK|||12/14/2015|Close|17.6800|3/17/2016|High|19.7500|1/12/2016|Low|15.8400|Down|21|29
Bullish Counterattack|AFK|||1/14/2016|Close|15.6700|2/18/2016|High|17.2500||||Up|25|35
Bullish Counterattack|AFT|||10/2/2015|Close|15.4900|11/30/2016|High|17.0500|2/12/2016|Low|13.8600|Down|95|133
Bullish Counterattack|AGG|||4/30/2015|Close|110.8600|||||||||
Bullish Counterattack|AGG|||10/28/2016|Close|111.1600|||||||||
Bullish Counterattack|AGM|FEDERAL & FEDERALLY-SPONSORED CREDIT AGENCIES||11/20/2014|Close|29.6500|2/17/2015|High|32.8000|12/12/2014|Low|26.2200|Down|16|22
Bullish Counterattack|AGM|FEDERAL & FEDERALLY-SPONSORED CREDIT AGENCIES||6/16/2016|Close|34.2300|7/12/2016|High|37.7600||||Up|18|26
Bullish Counterattack|AGNC|REAL ESTATE INVESTMENT TRUSTS||9/29/2014|Close|21.4500||||6/10/2015|Low|19.3000|Down|182|254
Bullish Counterattack|AGNC|REAL ESTATE INVESTMENT TRUSTS||12/10/2015|Close|17.4400|5/11/2016|High|19.2400|1/20/2016|Low|15.6900|Down|29|41
Bullish Counterattack|AHTpD|REAL ESTATE INVESTMENT TRUSTS||3/31/2015|Close|25.7200||||1/13/2016|Low|22.1742|Down|206|288
Bullish Counterattack|AIB|BLANK CHECKS||2/12/2016|Close|23.4900|5/24/2016|High|25.8400||||Up|72|102
Bullish Counterattack|AIF|||12/11/2014|Close|16.2600||||8/24/2015|Low|11.5600|Down|182|256
Bullish Counterattack|AIF|||11/19/2015|Close|14.2600||||1/20/2016|Low|12.7800|Down|44|62
Bullish Counterattack|AIF|||1/20/2016|Close|13.1600|6/3/2016|High|14.4900||||Up|97|135
Bullish Counterattack|AIN|BROADWOVEN FABRIC MILLS, MAN MADE FIBER & SILK||11/2/2016|Close|38.7500|11/10/2016|High|43.5500||||Up|6|8
Bullish Counterattack|AINC|SERVICES-MANAGEMENT CONSULTING SERVICES||12/9/2015|Close|57.7100|6/8/2016|High|64.2300|1/13/2016|Low|50.7800|Down|25|35
Bullish Counterattack|AINC|SERVICES-MANAGEMENT CONSULTING SERVICES||11/15/2016|Close|39.7500|11/29/2016|High|45.0000||||Up|10|14
Bullish Counterattack|AIQ|||9/10/2014|Close|26.4400||||9/26/2014|Low|23.7500|Down|12|16
Bullish Counterattack|AIQ|||6/10/2016|Close|6.5000|9/12/2016|High|7.2400|7/26/2016|Low|5.8500|Down|32|46
Bullish Counterattack|AIV|REAL ESTATE INVESTMENT TRUSTS||1/15/2016|Close|37.8100|3/30/2016|High|41.9100||||Up|53|75
Bullish Counterattack|AKO.A|||8/13/2015|Close|13.3000|8/17/2015|High|15.0600||||Up|2|4
Bullish Counterattack|ALB|PLASTIC MATERIALS, SYNTH RESINS & NONVULCAN ELASTOMERS||7/27/2015|Close|49.8100|7/31/2015|High|54.8100|8/24/2015|Low|42.3900|Up|4|4
Bullish Counterattack|ALG|FARM MACHINERY & EQUIPMENT||11/2/2016|Close|63.2700|11/9/2016|High|70.3900||||Up|5|7
Bullish Counterattack|AMAT|SEMICONDUCTORS & RELATED DEVICES||7/20/2015|Close|17.7700|3/3/2016|High|19.5500|8/20/2015|Low|15.9700|Down|23|31
Bullish Counterattack|AMBC|SURETY INSURANCE||3/4/2015|Close|24.6600|12/8/2016|High|27.2500|5/5/2015|Low|21.9100|Down|44|62
Bullish Counterattack|AMH|REAL ESTATE INVESTMENT TRUSTS||9/16/2014|Close|17.3300|6/23/2016|High|19.0800|8/10/2015|Low|15.5900|Down|234|328
Bullish Counterattack|AMT|REAL ESTATE INVESTMENT TRUSTS||11/11/2016|Close|105.7100|||||||||
Bullish Counterattack|AMTD|||1/16/2015|Close|33.0200|2/6/2015|High|36.7900|10/2/2015|Low|29.6910|Up|15|21
Bullish Counterattack|ANIP|PHARMACEUTICAL PREPARATIONS||6/2/2015|Close|49.6800|6/3/2015|High|54.7600|8/24/2015|Low|43.6800|Up|1|1
Bullish Counterattack|AOA|||10/12/2016|Close|46.7200|||||||||
Bullish Counterattack|AOK|||8/1/2014|Close|32.5800||||8/24/2015|Low|15.0000|Down|276|388
Bullish Counterattack|AOK|||8/6/2014|Close|32.5000||||8/24/2015|Low|15.0000|Down|273|383
Bullish Counterattack|AOK|||10/15/2014|Close|32.0200||||8/24/2015|Low|15.0000|Down|223|313
Bullish Counterattack|AOM|||10/17/2016|Close|35.4600|||||||||
Bullish Counterattack|ARES|INVESTMENT ADVICE||10/21/2016|Close|17.1000||||11/2/2016|Low|14.7500|Down|8|12
Bullish Counterattack|ARLP|BITUMINOUS COAL & LIGNITE SURFACE MINING||6/16/2015|Close|26.2600||||7/20/2015|Low|23.5500|Down|24|34
Bullish Counterattack|ARLP|BITUMINOUS COAL & LIGNITE SURFACE MINING||11/12/2015|Close|18.1200|7/26/2016|High|20.3300|12/3/2015|Low|16.3050|Down|15|21
Bullish Counterattack|ARMK|RETAIL-EATING PLACES||4/6/2015|Close|31.4000|12/17/2015|High|35.0600|8/24/2015|Low|28.0900|Down|100|140
Bullish Counterattack|ARMK|RETAIL-EATING PLACES||11/16/2015|Close|29.5700|11/18/2015|High|32.6500||||Up|2|2
Bullish Counterattack|ARR|REAL ESTATE INVESTMENT TRUSTS||1/15/2015|Close|27.6000||||2/2/2015|Low|24.8000|Down|12|18
Bullish Counterattack|ARTNA|WATER SUPPLY||2/11/2015|Close|21.6200|9/25/2015|High|23.8100||||Up|162|226
Bullish Counterattack|ARTNA|WATER SUPPLY||3/16/2016|Close|26.0700|4/15/2016|High|28.9100||||Up|22|30
Bullish Counterattack|ATRA|BIOLOGICAL PRODUCTS, (NO DISGNOSTIC SUBSTANCES)||10/28/2016|Close|13.6000|11/4/2016|High|15.2500||||Up|5|7
Bullish Counterattack|AVA|ELECTRIC & OTHER SERVICES COMBINED||8/31/2016|Close|40.6200|||||||||
Bullish Counterattack|AVAV|AIRCRAFT||10/2/2014|Close|29.2600|6/9/2016|High|32.4400|12/1/2014|Low|26.0400|Down|42|60
Bullish Counterattack|AVK|||7/23/2015|Close|16.0200||||8/24/2015|Low|12.9400|Down|22|32
Bullish Counterattack|AWR|WATER SUPPLY||9/22/2014|Close|30.6700|10/17/2014|High|33.8200||||Up|19|25
Bullish Counterattack|AXDX|LABORATORY ANALYTICAL INSTRUMENTS||12/8/2016|Close|22.2500|||||||||
Bullish Counterattack|AXL|MOTOR VEHICLE PARTS & ACCESSORIES||6/8/2015|Close|22.4900||||7/8/2015|Low|20.1500|Down|22|30
Bullish Counterattack|AXTA|PAINTS, VARNISHES, LACQUERS, ENAMELS & ALLIED PRODS||2/4/2015|Close|25.1600|2/23/2015|High|28.6500|1/19/2016|Low|22.4100|Up|13|19
Bullish Counterattack|AZZ|COATING, ENGRAVING & ALLIED SERVICES||1/8/2016|Close|50.5300|3/4/2016|High|56.3400||||Up|40|56
Bullish Counterattack|BANR|STATE COMMERCIAL BANKS||9/17/2014|Close|38.8800|10/29/2014|High|43.3300||||Up|30|42
Bullish Counterattack|BBW|RETAIL-HOBBY, TOY & GAME SHOPS||3/27/2015|Close|19.0000|4/10/2015|High|20.9000|5/5/2015|Low|15.2900|Up|10|14
Bullish Counterattack|BCV|||9/26/2014|Close|19.8900|6/1/2015|High|21.9100|10/15/2014|Low|17.8100|Down|13|19
Bullish Counterattack|BEBE|||5/20/2015|Close|28.3000||||5/29/2015|Low|25.0000|Down|7|9
Bullish Counterattack|BECN|WHOLESALE-LUMBER & OTHER CONSTRUCTION MATERIALS||9/15/2014|Close|26.5700|2/23/2015|High|29.2300|1/16/2015|Low|23.5100|Down|89|123
Bullish Counterattack|BECN|WHOLESALE-LUMBER & OTHER CONSTRUCTION MATERIALS||7/21/2015|Close|30.3300|7/27/2015|High|34.9000||||Up|4|6
Bullish Counterattack|BEN|INVESTMENT ADVICE||6/16/2016|Close|33.0500|8/1/2016|High|36.5700||||Up|32|46
Bullish Counterattack|BGB|||9/15/2014|Close|17.0200||||7/24/2015|Low|15.2800|Down|224|312
Bullish Counterattack|BGB|||11/19/2014|Close|16.2700||||8/21/2015|Low|14.4800|Down|197|275
Bullish Counterattack|BGB|||1/27/2015|Close|15.8600||||8/24/2015|Low|13.7900|Down|149|209
Bullish Counterattack|BGB|||12/8/2015|Close|13.6600|8/15/2016|High|15.0500|1/20/2016|Low|12.2700|Down|31|43
Bullish Counterattack|BGS|FOOD AND KINDRED PRODUCTS||11/1/2016|Close|42.4000|||||||||
Bullish Counterattack|BGX|||11/12/2015|Close|13.9200|9/8/2016|High|15.4199|1/20/2016|Low|12.2500|Down|49|69
Bullish Counterattack|BGX|||2/11/2016|Close|12.3000|3/16/2016|High|13.6400||||Up|24|34
Bullish Counterattack|BIT|||8/18/2015|Close|16.2900|||||||||
Bullish Counterattack|BIV|||5/12/2015|Close|84.6300|||||||||
Bullish Counterattack|BIZD|||9/24/2015|Close|16.5700|12/9/2016|High|18.2274|1/12/2016|Low|14.8500|Down|78|110
