Name|Category|Sub Category|Number Signals|Success %|Avg Duration
Bullish Counterattack|Industry|Medical Care Facilities|12|0.8333333333333334|47
Bullish Counterattack|Industry|Packaged Foods|17|0.7058823529411765|20
Bullish Counterattack|Industry|Metal Fabrication|10|0.7|37
Bullish Counterattack|Industry|Medical Instruments & Supplies|22|0.6818181818181818|48
Bullish Counterattack|Industry|Specialty Industrial Machinery|26|0.6538461538461539|46
Bullish Counterattack|Sector|Consumer Defensive|53|0.6415094339622641|49
Bullish Counterattack|Industry|Aerospace & Defense|27|0.6296296296296297|55
Bullish Counterattack|Sector|Utilities|65|0.6153846153846154|129
Bullish Counterattack|Industry|Drug Manufacturers - General|10|0.6|17
Bullish Counterattack|Industry|Biotechnology|124|0.5887096774193549|10
Bullish Counterattack|Industry|Farm & Heavy Construction Machinery|12|0.5833333333333334|34
Bullish Counterattack|Industry|Software - Application|28|0.5714285714285714|31
Bullish Counterattack|Industry|Specialty Chemicals|16|0.5625|50
Bullish Counterattack|Industry|Utilities - Regulated Electric|41|0.5609756097560976|122
Bullish Counterattack|Industry|Industrial Distribution|11|0.5454545454545454|87
Bullish Counterattack|Sector|Healthcare|252|0.5436507936507936|19
Bullish Counterattack|Industry|Oil & Gas Equipment & Services|13|0.5384615384615384|14
Bullish Counterattack|Sector|Communication Services|43|0.5348837209302325|39
Bullish Counterattack|Industry|Entertainment|15|0.5333333333333333|17
Bullish Counterattack|Sector|Industrials|185|0.5297297297297298|39
Bullish Counterattack|Industry|Engineering & Construction|16|0.5|14
Bullish Counterattack|Sector|Financial Services|175|0.49714285714285716|82
Bullish Counterattack|Overall|All|3174|0.49086326402016384|70
Bullish Counterattack|Sector|Technology|100|0.49|31
Bullish Counterattack|Sector|Energy|75|0.48|36
Bullish Counterattack|Sector|Basic Materials|63|0.47619047619047616|41
Bullish Counterattack|Industry|REIT - Retail|17|0.47058823529411764|51
Bullish Counterattack|Industry|Banks - Regional|88|0.4659090909090909|88
Bullish Counterattack|Industry|Security & Protection Services|11|0.45454545454545453|22
Bullish Counterattack|Industry|Medical Devices|29|0.4482758620689655|18
Bullish Counterattack|Industry|Apparel Retail|21|0.42857142857142855|21
Bullish Counterattack|Industry|Internet Content & Information|14|0.42857142857142855|37
Bullish Counterattack|Sector|Consumer Cyclical|113|0.4247787610619469|38
Bullish Counterattack|Industry|Oil & Gas E&P|31|0.41935483870967744|41
Bullish Counterattack|Industry|Other Industrial Metals & Mining|12|0.4166666666666667|13
Bullish Counterattack|Industry|Software - Infrastructure|12|0.4166666666666667|21
Bullish Counterattack|Industry|Oil & Gas Midstream|12|0.4166666666666667|22
Bullish Counterattack|Industry|Restaurants|17|0.4117647058823529|28
Bullish Counterattack|Industry|Asset Management|32|0.40625|132
Bullish Counterattack|Industry|Communication Equipment|15|0.4|16
Bullish Counterattack|Industry|Marine Shipping|10|0.4|17
Bullish Counterattack|Industry|Auto Parts|10|0.4|87
Bullish Counterattack|Industry|Drug Manufacturers - Specialty & Generic|23|0.391304347826087|15
Bullish Counterattack|Industry|REIT - Mortgage|18|0.3888888888888889|61
Bullish Counterattack|Sector|Real Estate|73|0.3835616438356164|49
Bullish Counterattack|Industry|Gold|16|0.375|15
Bullish Counterattack|Industry|Railroads|11|0.36363636363636365|52
Bullish Counterattack|Entity|SH.US|11|0.36363636363636365|134
Bullish Counterattack|Entity|SPB.US|10|0.3|20
Bullish Counterattack|Industry|Diagnostics & Research|15|0.26666666666666666|6
Bullish Counterattack|Entity|PSQ.US|10|0.2|34
