Name|Category|Sub Category|Number Signals|Success %|Avg Duration
Bullish Counterattack|Entity|VLY.US|10|1|95
Bullish Counterattack|Entity|LLY.US|10|0.9|32
Bullish Counterattack|Industry|Medical Care Facilities|26|0.8461538461538461|46
Bullish Counterattack|Industry|Oil & Gas Refining & Marketing|11|0.8181818181818182|52
Bullish Counterattack|Industry|Utilities - Diversified|16|0.8125|180
Bullish Counterattack|Entity|GIS.US|10|0.8|36
Bullish Counterattack|Industry|Utilities - Regulated Gas|13|0.7692307692307693|81
Bullish Counterattack|Industry|Packaged Foods|34|0.7352941176470589|31
Bullish Counterattack|Industry|Metal Fabrication|15|0.7333333333333333|32
Bullish Counterattack|Industry|Utilities - Regulated Water|15|0.7333333333333333|76
Bullish Counterattack|Entity|ONCY.US|11|0.7272727272727273|6
Bullish Counterattack|Entity|RMTI.US|11|0.7272727272727273|8
Bullish Counterattack|Entity|AEP.US|11|0.7272727272727273|148
Bullish Counterattack|Industry|Insurance Brokers|18|0.7222222222222222|59
Bullish Counterattack|Industry|Leisure|18|0.7222222222222222|83
Bullish Counterattack|Industry|Household & Personal Products|17|0.7058823529411765|41
Bullish Counterattack|Industry|Drug Manufacturers - General|27|0.7037037037037037|43
Bullish Counterattack|Entity|AVT.US|10|0.7|38
Bullish Counterattack|Industry|Insurance - Diversified|10|0.7|138
Bullish Counterattack|Entity|WEC.US|10|0.7|148
Bullish Counterattack|Industry|REIT - Hotel & Motel|13|0.6923076923076923|64
Bullish Counterattack|Entity|NJR.US|13|0.6923076923076923|81
Bullish Counterattack|Industry|Specialty Industrial Machinery|70|0.6857142857142857|50
Bullish Counterattack|Industry|Integrated Freight & Logistics|19|0.6842105263157895|39
Bullish Counterattack|Industry|Electronics & Computer Distribution|15|0.6666666666666666|38
Bullish Counterattack|Industry|Beverages - Wineries & Distilleries|12|0.6666666666666666|114
Bullish Counterattack|Sector|Utilities|168|0.6547619047619048|129
Bullish Counterattack|Industry|Farm Products|17|0.6470588235294118|55
Bullish Counterattack|Industry|Auto Manufacturers|14|0.6428571428571429|34
Bullish Counterattack|Entity|SRL.US|11|0.6363636363636364|25
Bullish Counterattack|Industry|Oil & Gas Drilling|11|0.6363636363636364|39
Bullish Counterattack|Entity|FBRT.US|11|0.6363636363636364|47
Bullish Counterattack|Industry|Utilities - Regulated Electric|112|0.6339285714285714|142
Bullish Counterattack|Industry|Insurance - Property & Casualty|27|0.6296296296296297|64
Bullish Counterattack|Industry|Banks - Diversified|16|0.625|49
Bullish Counterattack|Sector|Consumer Defensive|128|0.625|52
Bullish Counterattack|Entity|NYT.US|13|0.6153846153846154|45
Bullish Counterattack|Entity|DE.US|18|0.6111111111111112|40
Bullish Counterattack|Industry|Information Technology Services|33|0.6060606060606061|56
Bullish Counterattack|Entity|CNVS.US|10|0.6|6
Bullish Counterattack|Industry|Real Estate - Diversified|10|0.6|9
Bullish Counterattack|Entity|BBI.US|10|0.6|9
Bullish Counterattack|Industry|Biotechnology & Medical Research|10|0.6|9
Bullish Counterattack|Entity|ALKS.US|10|0.6|16
Bullish Counterattack|Entity|MATX.US|10|0.6|28
Bullish Counterattack|Industry|Staffing & Employment Services|15|0.6|70
Bullish Counterattack|Industry|Packaging & Containers|15|0.6|86
Bullish Counterattack|Entity|NFG.US|10|0.6|165
Bullish Counterattack|Entity|CNP.US|10|0.6|167
Bullish Counterattack|Entity|GHI.US|10|0.6|195
Bullish Counterattack|Industry|Entertainment|27|0.5925925925925926|23
Bullish Counterattack|Industry|Engineering & Construction|39|0.5897435897435898|28
Bullish Counterattack|Industry|Medical Instruments & Supplies|53|0.5849056603773585|44
Bullish Counterattack|Industry|Auto & Truck Dealerships|12|0.5833333333333334|19
Bullish Counterattack|Industry|Diagnostics & Research|38|0.5789473684210527|40
Bullish Counterattack|Industry|Specialty Chemicals|45|0.5777777777777777|56
Bullish Counterattack|Industry|Farm & Heavy Construction Machinery|33|0.5757575757575758|39
Bullish Counterattack|Sector|Healthcare|525|0.5752380952380952|24
Bullish Counterattack|Entity|GD.US|14|0.5714285714285714|47
Bullish Counterattack|Industry|Industrial Distribution|21|0.5714285714285714|58
Bullish Counterattack|Industry|Medical Devices|71|0.5633802816901409|24
Bullish Counterattack|Industry|Oil & Gas Integrated|16|0.5625|60
Bullish Counterattack|Sector|Energy|150|0.5533333333333333|43
Bullish Counterattack|Industry|Biotechnology|220|0.55|11
Bullish Counterattack|Industry|Scientific & Technical Instruments|20|0.55|23
Bullish Counterattack|Industry|Oil & Gas Equipment & Services|22|0.5454545454545454|18
Bullish Counterattack|Sector|Industrials|425|0.5411764705882353|40
Bullish Counterattack|Entity|CLDX.US|13|0.5384615384615384|18
Bullish Counterattack|Industry|Agricultural Inputs|13|0.5384615384615384|67
Bullish Counterattack|Industry|Residential Construction|15|0.5333333333333333|17
Bullish Counterattack|Entity|CP.US|15|0.5333333333333333|47
Bullish Counterattack|Industry|Drug Manufacturers - Specialty & Generic|51|0.5294117647058824|12
Bullish Counterattack|Industry|Credit Services|17|0.5294117647058824|27
Bullish Counterattack|Industry|Specialty Business Services|19|0.5263157894736842|34
Bullish Counterattack|Industry|REIT - Office|21|0.5238095238095238|132
Bullish Counterattack|Industry|Auto Parts|23|0.5217391304347826|52
Bullish Counterattack|Industry|Specialty Retail|25|0.52|91
Bullish Counterattack|Sector|Financial Services|455|0.5186813186813187|91
Bullish Counterattack|Industry|Oil & Gas Midstream|27|0.5185185185185185|32
Bullish Counterattack|Sector|Basic Materials|134|0.5149253731343284|45
Bullish Counterattack|Overall|All|7255|0.509579600275672|73
Bullish Counterattack|Industry|Oil & Gas E&P|55|0.509090909090909|52
Bullish Counterattack|Sector|Consumer Cyclical|278|0.5071942446043165|43
Bullish Counterattack|Sector|Communication Services|81|0.5061728395061729|33
Bullish Counterattack|Industry|Communication Equipment|32|0.5|13
Bullish Counterattack|Entity|APA.US|10|0.5|13
Bullish Counterattack|Industry|Semiconductor Equipment & Materials|10|0.5|17
Bullish Counterattack|Industry|Insurance - Specialty|10|0.5|21
Bullish Counterattack|Industry|Software - Infrastructure|24|0.5|22
Bullish Counterattack|Industry|Electrical Equipment & Parts|10|0.5|24
Bullish Counterattack|Industry|Consulting Services|10|0.5|31
Bullish Counterattack|Industry|Healthcare Plans|10|0.5|33
Bullish Counterattack|Industry|Medical Distribution|10|0.5|37
Bullish Counterattack|Entity|DTE.US|10|0.5|82
Bullish Counterattack|Industry|Mortgage Finance|18|0.5|140
Bullish Counterattack|Industry|Asset Management|77|0.4935064935064935|122
Bullish Counterattack|Sector|Technology|246|0.4878048780487805|31
Bullish Counterattack|Industry|Gold|29|0.4827586206896552|25
Bullish Counterattack|Industry|Aerospace & Defense|56|0.48214285714285715|47
Bullish Counterattack|Industry|Banks - Regional|235|0.4723404255319149|102
Bullish Counterattack|Industry|Other Industrial Metals & Mining|15|0.4666666666666667|50
Bullish Counterattack|Industry|Capital Markets|13|0.46153846153846156|17
Bullish Counterattack|Industry|Apparel Retail|35|0.45714285714285713|25
Bullish Counterattack|Industry|Building Products & Equipment|11|0.45454545454545453|16
Bullish Counterattack|Industry|Personal Services|11|0.45454545454545453|31
