Name|Code|Industry|Sector|Entry Date|Entry Price Point|Entry Price|Result Up Date|Result Up Price Point|Result Up Price|Result Down Date|Result Down Price Point|Result Down Price|Result Direction|Trading Days|Calendar Days
Bullish Counterattack|AA|PRIMARY PRODUCTION OF ALUMINUM||6/24/2015|Close|35.2200||||7/8/2015|Low|31.1700|Down|10|14
Bullish Counterattack|AA|PRIMARY PRODUCTION OF ALUMINUM||1/20/2016|Close|20.2200|1/22/2016|High|22.2600||||Up|2|2
Bullish Counterattack|AAN|SERVICES-EQUIPMENT RENTAL & LEASING, NEC||3/6/2015|Close|28.0500|4/24/2015|High|33.0000|10/30/2015|Low|23.7400|Up|35|49
Bullish Counterattack|ABT|PHARMACEUTICAL PREPARATIONS||10/13/2016|Close|40.9800|||||||||
Bullish Counterattack|ACGL|FIRE, MARINE & CASUALTY INSURANCE||1/14/2016|Close|66.9000|8/2/2016|High|73.8400|1/21/2016|Low|59.8300|Down|5|7
Bullish Counterattack|ACU|CUTLERY, HANDTOOLS & GENERAL HARDWARE||10/20/2015|Close|17.0000|6/20/2016|High|18.8100|1/15/2016|Low|14.1600|Down|63|87
Bullish Counterattack|AEM|||7/14/2015|Close|27.4200|10/14/2015|High|30.3100|7/20/2015|Low|22.6400|Down|4|6
Bullish Counterattack|AEP|ELECTRIC SERVICES||6/9/2015|Close|53.4600|8/19/2015|High|58.9600||||Up|51|71
Bullish Counterattack|AFK|||12/14/2015|Close|17.6800|3/17/2016|High|19.7500|1/12/2016|Low|15.8400|Down|21|29
Bullish Counterattack|AFK|||1/14/2016|Close|15.6700|2/18/2016|High|17.2500||||Up|25|35
Bullish Counterattack|AFT|||10/2/2015|Close|15.4900|11/30/2016|High|17.0500|2/12/2016|Low|13.8600|Down|95|133
Bullish Counterattack|AGG|||10/28/2016|Close|111.1600|||||||||
Bullish Counterattack|AGNC|REAL ESTATE INVESTMENT TRUSTS||12/10/2015|Close|17.4400|5/11/2016|High|19.2400|1/20/2016|Low|15.6900|Down|29|41
Bullish Counterattack|AIB|BLANK CHECKS||2/12/2016|Close|23.4900|5/24/2016|High|25.8400||||Up|72|102
Bullish Counterattack|AIF|||11/19/2015|Close|14.2600||||1/20/2016|Low|12.7800|Down|44|62
Bullish Counterattack|AIF|||1/20/2016|Close|13.1600|6/3/2016|High|14.4900||||Up|97|135
