Id,Signal Name,Result Direction,Count,Percentage,Description
03fbe4b2,Bullish Engulfing With FollowThru,Down,2007,0.4688156972669937,move: 0.1;prologue len: 30;trend desc: E21C;vol factor: 1.5;use market: True
03fbe4b2,Bullish Engulfing With FollowThru,Up,2185,0.5103947675776688,move: 0.1;prologue len: 30;trend desc: E21C;vol factor: 1.5;use market: True
03fbe4b2,Bullish Engulfing With FollowThru,,89,0.02078953515533754,move: 0.1;prologue len: 30;trend desc: E21C;vol factor: 1.5;use market: True
046ce8ed,Bullish Engulfing With FollowThru,Down,2557,0.4757209302325581,move: 0.1;prologue len: 15;trend desc: S200C;vol factor: 1;use market: True
046ce8ed,Bullish Engulfing With FollowThru,Up,2695,0.5013953488372093,move: 0.1;prologue len: 15;trend desc: S200C;vol factor: 1;use market: True
046ce8ed,Bullish Engulfing With FollowThru,,123,0.022883720930232557,move: 0.1;prologue len: 15;trend desc: S200C;vol factor: 1;use market: True
04c775b3,Bullish Engulfing With FollowThru,Down,573,0.37573770491803277,move: 0.2;prologue len: 15;trend desc: S200C;vol factor: 2;use market: True
04c775b3,Bullish Engulfing With FollowThru,Up,780,0.5114754098360655,move: 0.2;prologue len: 15;trend desc: S200C;vol factor: 2;use market: True
04c775b3,Bullish Engulfing With FollowThru,,172,0.11278688524590164,move: 0.2;prologue len: 15;trend desc: S200C;vol factor: 2;use market: True
04d3dba4,Bullish Engulfing With FollowThru,Down,2557,0.4757209302325581,move: 0.1;prologue len: 15;trend desc: S200C;vol factor: 1;use market: False
04d3dba4,Bullish Engulfing With FollowThru,Up,2695,0.5013953488372093,move: 0.1;prologue len: 15;trend desc: S200C;vol factor: 1;use market: False
04d3dba4,Bullish Engulfing With FollowThru,,123,0.022883720930232557,move: 0.1;prologue len: 15;trend desc: S200C;vol factor: 1;use market: False
07f0c34e,Bullish Engulfing With FollowThru,Down,3468,0.46438136047134443,move: 0.1;prologue len: 15;trend desc: E50C;vol factor: 1;use market: True
