Id|Signal Name|Result Direction|Count|Percentage|Description
0317ddb9|Bullish Engulfing With FollowThru|Down|1099|0.4606035205364627|move: 0.1;prologue len: 30;trend desc: S200C;vol factor: 1.5;use market: False
0317ddb9|Bullish Engulfing With FollowThru|Up|1222|0.512154233025985|move: 0.1;prologue len: 30;trend desc: S200C;vol factor: 1.5;use market: False
0317ddb9|Bullish Engulfing With FollowThru||65|0.027242246437552388|move: 0.1;prologue len: 30;trend desc: S200C;vol factor: 1.5;use market: False
0323698d|Bullish Engulfing With FollowThru|Down|708|0.49269311064718163|move: 0.1;prologue len: 15;trend desc: S21C;vol factor: 2;use market: True
0323698d|Bullish Engulfing With FollowThru|Up|666|0.46346555323590816|move: 0.1;prologue len: 15;trend desc: S21C;vol factor: 2;use market: True
0323698d|Bullish Engulfing With FollowThru||63|0.04384133611691023|move: 0.1;prologue len: 15;trend desc: S21C;vol factor: 2;use market: True
1a7551b4|Bullish Engulfing With FollowThru|Down|611|0.48724082934609253|move: 0.1;prologue len: 30;trend desc: S21C;vol factor: 1.5;use market: True
1a7551b4|Bullish Engulfing With FollowThru|Up|599|0.47767145135566186|move: 0.1;prologue len: 30;trend desc: S21C;vol factor: 1.5;use market: True
1a7551b4|Bullish Engulfing With FollowThru||44|0.03508771929824561|move: 0.1;prologue len: 30;trend desc: S21C;vol factor: 1.5;use market: True
1c9f05af|Bullish Engulfing With FollowThru|Down|865|0.4660560344827586|move: 0.1;prologue len: 15;trend desc: S200C;vol factor: 2;use market: False
1c9f05af|Bullish Engulfing With FollowThru|Up|931|0.5016163793103449|move: 0.1;prologue len: 15;trend desc: S200C;vol factor: 2;use market: False
1c9f05af|Bullish Engulfing With FollowThru||60|0.032327586206896554|move: 0.1;prologue len: 15;trend desc: S200C;vol factor: 2;use market: False
231f6bf4|Bullish Engulfing With FollowThru|Down|420|0.5054151624548736|move: 0.1;prologue len: 30;trend desc: S200C;vol factor: 1.5;use market: True
231f6bf4|Bullish Engulfing With FollowThru|Up|380|0.457280385078219|move: 0.1;prologue len: 30;trend desc: S200C;vol factor: 1.5;use market: True
231f6bf4|Bullish Engulfing With FollowThru||31|0.03730445246690734|move: 0.1;prologue len: 30;trend desc: S200C;vol factor: 1.5;use market: True
25166008|Bullish Engulfing With FollowThru|Down|860|0.44721788871554863|move: 0.1;prologue len: 30;trend desc: S50C;vol factor: 2;use market: False
25166008|Bullish Engulfing With FollowThru|Up|1008|0.5241809672386896|move: 0.1;prologue len: 30;trend desc: S50C;vol factor: 2;use market: False
25166008|Bullish Engulfing With FollowThru||55|0.02860114404576183|move: 0.1;prologue len: 30;trend desc: S50C;vol factor: 2;use market: False
273a33a9|Bullish Engulfing With FollowThru|Down|1473|0.45295202952029523|move: 0.1;prologue len: 30;trend desc: S21C;vol factor: 1.5;use market: False
273a33a9|Bullish Engulfing With FollowThru|Up|1696|0.5215252152521526|move: 0.1;prologue len: 30;trend desc: S21C;vol factor: 1.5;use market: False
273a33a9|Bullish Engulfing With FollowThru||83|0.025522755227552277|move: 0.1;prologue len: 30;trend desc: S21C;vol factor: 1.5;use market: False
29ab808d|Bullish Engulfing With FollowThru|Down|888|0.4900662251655629|move: 0.1;prologue len: 15;trend desc: S50C;vol factor: 1.5;use market: True
29ab808d|Bullish Engulfing With FollowThru|Up|853|0.4707505518763797|move: 0.1;prologue len: 15;trend desc: S50C;vol factor: 1.5;use market: True
29ab808d|Bullish Engulfing With FollowThru||71|0.039183222958057394|move: 0.1;prologue len: 15;trend desc: S50C;vol factor: 1.5;use market: True
3a5bb621|Bullish Engulfing With FollowThru|Down|1465|0.4546865301055245|move: 0.1;prologue len: 30;trend desc: S50C;vol factor: 1.5;use market: False
3a5bb621|Bullish Engulfing With FollowThru|Up|1676|0.5201738050900062|move: 0.1;prologue len: 30;trend desc: S50C;vol factor: 1.5;use market: False
3a5bb621|Bullish Engulfing With FollowThru||81|0.025139664804469275|move: 0.1;prologue len: 30;trend desc: S50C;vol factor: 1.5;use market: False
3f59e337|Bullish Engulfing With FollowThru|Down|1179|0.501062473438164|move: 0.1;prologue len: 30;trend desc: S21C;vol factor: 1;use market: True
3f59e337|Bullish Engulfing With FollowThru|Up|1076|0.45728856778580534|move: 0.1;prologue len: 30;trend desc: S21C;vol factor: 1;use market: True
3f59e337|Bullish Engulfing With FollowThru||98|0.0416489587760306|move: 0.1;prologue len: 30;trend desc: S21C;vol factor: 1;use market: True
463169cf|Bullish Engulfing With FollowThru|Down|1200|0.5121638924455826|move: 0.1;prologue len: 15;trend desc: S200C;vol factor: 1;use market: True
463169cf|Bullish Engulfing With FollowThru|Up|1040|0.44387537345283823|move: 0.1;prologue len: 15;trend desc: S200C;vol factor: 1;use market: True
463169cf|Bullish Engulfing With FollowThru||103|0.04396073410157917|move: 0.1;prologue len: 15;trend desc: S200C;vol factor: 1;use market: True
47f0e409|Bullish Engulfing With FollowThru|Down|652|0.5146014206787688|move: 0.1;prologue len: 15;trend desc: S200C;vol factor: 1.5;use market: True
47f0e409|Bullish Engulfing With FollowThru|Up|558|0.4404104183109708|move: 0.1;prologue len: 15;trend desc: S200C;vol factor: 1.5;use market: True
47f0e409|Bullish Engulfing With FollowThru||57|0.04498816101026046|move: 0.1;prologue len: 15;trend desc: S200C;vol factor: 1.5;use market: True
4fc81673|Bullish Engulfing With FollowThru|Down|4432|0.46089850249584025|move: 0.1;prologue len: 15;trend desc: S21C;vol factor: 1;use market: False
4fc81673|Bullish Engulfing With FollowThru|Up|4947|0.514455074875208|move: 0.1;prologue len: 15;trend desc: S21C;vol factor: 1;use market: False
4fc81673|Bullish Engulfing With FollowThru||237|0.024646422628951746|move: 0.1;prologue len: 15;trend desc: S21C;vol factor: 1;use market: False
5a20500f|Bullish Engulfing With FollowThru|Down|1365|0.4557595993322204|move: 0.1;prologue len: 15;trend desc: S21C;vol factor: 2;use market: False
5a20500f|Bullish Engulfing With FollowThru|Up|1539|0.513856427378965|move: 0.1;prologue len: 15;trend desc: S21C;vol factor: 2;use market: False
5a20500f|Bullish Engulfing With FollowThru||91|0.030383973288814693|move: 0.1;prologue len: 15;trend desc: S21C;vol factor: 2;use market: False
60eafda9|Bullish Engulfing With FollowThru|Down|636|0.45042492917847027|move: 0.1;prologue len: 30;trend desc: S200C;vol factor: 2;use market: False
60eafda9|Bullish Engulfing With FollowThru|Up|732|0.5184135977337111|move: 0.1;prologue len: 30;trend desc: S200C;vol factor: 2;use market: False
60eafda9|Bullish Engulfing With FollowThru||44|0.031161473087818695|move: 0.1;prologue len: 30;trend desc: S200C;vol factor: 2;use market: False
66315f8d|Bullish Engulfing With FollowThru|Down|3838|0.4627999517665501|move: 0.1;prologue len: 15;trend desc: S50C;vol factor: 1;use market: False
66315f8d|Bullish Engulfing With FollowThru|Up|4245|0.5118774870372603|move: 0.1;prologue len: 15;trend desc: S50C;vol factor: 1;use market: False
66315f8d|Bullish Engulfing With FollowThru||210|0.025322561196189558|move: 0.1;prologue len: 15;trend desc: S50C;vol factor: 1;use market: False
6c8a7210|Bullish Engulfing With FollowThru|Down|1115|0.48205793341980113|move: 0.1;prologue len: 15;trend desc: S21C;vol factor: 1.5;use market: True
6c8a7210|Bullish Engulfing With FollowThru|Up|1109|0.47946389969736275|move: 0.1;prologue len: 15;trend desc: S21C;vol factor: 1.5;use market: True
6c8a7210|Bullish Engulfing With FollowThru||89|0.038478166882836146|move: 0.1;prologue len: 15;trend desc: S21C;vol factor: 1.5;use market: True
7798a818|Bullish Engulfing With FollowThru|Down|1150|0.4536489151873767|move: 0.1;prologue len: 15;trend desc: S50C;vol factor: 2;use market: False
7798a818|Bullish Engulfing With FollowThru|Up|1308|0.5159763313609468|move: 0.1;prologue len: 15;trend desc: S50C;vol factor: 2;use market: False
7798a818|Bullish Engulfing With FollowThru||77|0.030374753451676527|move: 0.1;prologue len: 15;trend desc: S50C;vol factor: 2;use market: False
77be0824|Bullish Engulfing With FollowThru|Down|2957|0.47786037491919847|move: 0.1;prologue len: 15;trend desc: S200C;vol factor: 1;use market: False
77be0824|Bullish Engulfing With FollowThru|Up|3066|0.49547511312217196|move: 0.1;prologue len: 15;trend desc: S200C;vol factor: 1;use market: False
77be0824|Bullish Engulfing With FollowThru||165|0.026664511958629605|move: 0.1;prologue len: 15;trend desc: S200C;vol factor: 1;use market: False
803351b3|Bullish Engulfing With FollowThru|Down|2939|0.46239773442416615|move: 0.1;prologue len: 30;trend desc: S50C;vol factor: 1;use market: False
803351b3|Bullish Engulfing With FollowThru|Up|3255|0.512114537444934|move: 0.1;prologue len: 30;trend desc: S50C;vol factor: 1;use market: False
803351b3|Bullish Engulfing With FollowThru||162|0.025487728130899938|move: 0.1;prologue len: 30;trend desc: S50C;vol factor: 1;use market: False
8ceff785|Bullish Engulfing With FollowThru|Down|416|0.5272496831432193|move: 0.1;prologue len: 15;trend desc: S200C;vol factor: 2;use market: True
8ceff785|Bullish Engulfing With FollowThru|Up|335|0.42458808618504434|move: 0.1;prologue len: 15;trend desc: S200C;vol factor: 2;use market: True
8ceff785|Bullish Engulfing With FollowThru||38|0.048162230671736375|move: 0.1;prologue len: 15;trend desc: S200C;vol factor: 2;use market: True
9f97d1d1|Bullish Engulfing With FollowThru|Down|2316|0.4644074593944255|move: 0.1;prologue len: 15;trend desc: S21C;vol factor: 1.5;use market: False
9f97d1d1|Bullish Engulfing With FollowThru|Up|2539|0.5091237216763586|move: 0.1;prologue len: 15;trend desc: S21C;vol factor: 1.5;use market: False
9f97d1d1|Bullish Engulfing With FollowThru||132|0.026468818929215963|move: 0.1;prologue len: 15;trend desc: S21C;vol factor: 1.5;use market: False
a55805a8|Bullish Engulfing With FollowThru|Down|392|0.5071151358344114|move: 0.1;prologue len: 30;trend desc: S50C;vol factor: 2;use market: True
a55805a8|Bullish Engulfing With FollowThru|Up|351|0.4540750323415265|move: 0.1;prologue len: 30;trend desc: S50C;vol factor: 2;use market: True
a55805a8|Bullish Engulfing With FollowThru||30|0.03880983182406209|move: 0.1;prologue len: 30;trend desc: S50C;vol factor: 2;use market: True
a77ead2c|Bullish Engulfing With FollowThru|Down|805|0.5124124761298536|move: 0.1;prologue len: 30;trend desc: S200C;vol factor: 1;use market: True
a77ead2c|Bullish Engulfing With FollowThru|Up|698|0.4443029917250159|move: 0.1;prologue len: 30;trend desc: S200C;vol factor: 1;use market: True
a77ead2c|Bullish Engulfing With FollowThru||68|0.04328453214513049|move: 0.1;prologue len: 30;trend desc: S200C;vol factor: 1;use market: True
a909c1aa|Bullish Engulfing With FollowThru|Down|609|0.49112903225806454|move: 0.1;prologue len: 30;trend desc: S50C;vol factor: 1.5;use market: True
a909c1aa|Bullish Engulfing With FollowThru|Up|589|0.475|move: 0.1;prologue len: 30;trend desc: S50C;vol factor: 1.5;use market: True
a909c1aa|Bullish Engulfing With FollowThru||42|0.03387096774193549|move: 0.1;prologue len: 30;trend desc: S50C;vol factor: 1.5;use market: True
ac7c5b71|Bullish Engulfing With FollowThru|Down|278|0.5295238095238095|move: 0.1;prologue len: 30;trend desc: S200C;vol factor: 2;use market: True
ac7c5b71|Bullish Engulfing With FollowThru|Up|223|0.4247619047619048|move: 0.1;prologue len: 30;trend desc: S200C;vol factor: 2;use market: True
ac7c5b71|Bullish Engulfing With FollowThru||24|0.045714285714285714|move: 0.1;prologue len: 30;trend desc: S200C;vol factor: 2;use market: True
b718ca79|Bullish Engulfing With FollowThru|Down|1642|0.48912719690199585|move: 0.1;prologue len: 15;trend desc: S50C;vol factor: 1;use market: True
b718ca79|Bullish Engulfing With FollowThru|Up|1575|0.4691689008042895|move: 0.1;prologue len: 15;trend desc: S50C;vol factor: 1;use market: True
b718ca79|Bullish Engulfing With FollowThru||140|0.04170390229371462|move: 0.1;prologue len: 15;trend desc: S50C;vol factor: 1;use market: True
bbfbdfc3|Bullish Engulfing With FollowThru|Down|2962|0.461730319563523|move: 0.1;prologue len: 30;trend desc: S21C;vol factor: 1;use market: False
bbfbdfc3|Bullish Engulfing With FollowThru|Up|3289|0.5127045985970382|move: 0.1;prologue len: 30;trend desc: S21C;vol factor: 1;use market: False
bbfbdfc3|Bullish Engulfing With FollowThru||164|0.025565081839438817|move: 0.1;prologue len: 30;trend desc: S21C;vol factor: 1;use market: False
bd371d19|Bullish Engulfing With FollowThru|Down|1972|0.4638908492119501|move: 0.1;prologue len: 15;trend desc: S50C;vol factor: 1.5;use market: False
bd371d19|Bullish Engulfing With FollowThru|Up|2166|0.5095271700776288|move: 0.1;prologue len: 15;trend desc: S50C;vol factor: 1.5;use market: False
bd371d19|Bullish Engulfing With FollowThru||113|0.026581980710421078|move: 0.1;prologue len: 15;trend desc: S50C;vol factor: 1.5;use market: False
c0a5329d|Bullish Engulfing With FollowThru|Down|1164|0.503242542153048|move: 0.1;prologue len: 30;trend desc: S50C;vol factor: 1;use market: True
c0a5329d|Bullish Engulfing With FollowThru|Up|1053|0.45525291828793774|move: 0.1;prologue len: 30;trend desc: S50C;vol factor: 1;use market: True
c0a5329d|Bullish Engulfing With FollowThru||96|0.041504539559014265|move: 0.1;prologue len: 30;trend desc: S50C;vol factor: 1;use market: True
c7ebaf67|Bullish Engulfing With FollowThru|Down|2039|0.4792009400705053|move: 0.1;prologue len: 15;trend desc: S21C;vol factor: 1;use market: True
c7ebaf67|Bullish Engulfing With FollowThru|Up|2050|0.481786133960047|move: 0.1;prologue len: 15;trend desc: S21C;vol factor: 1;use market: True
c7ebaf67|Bullish Engulfing With FollowThru||166|0.039012925969447707|move: 0.1;prologue len: 15;trend desc: S21C;vol factor: 1;use market: True
dcec81b8|Bullish Engulfing With FollowThru|Down|1495|0.477330779054917|move: 0.1;prologue len: 15;trend desc: S200C;vol factor: 1.5;use market: False
dcec81b8|Bullish Engulfing With FollowThru|Up|1543|0.49265644955300125|move: 0.1;prologue len: 15;trend desc: S200C;vol factor: 1.5;use market: False
dcec81b8|Bullish Engulfing With FollowThru||94|0.030012771392081736|move: 0.1;prologue len: 15;trend desc: S200C;vol factor: 1.5;use market: False
e0311af7|Bullish Engulfing With FollowThru|Down|864|0.44467318579516213|move: 0.1;prologue len: 30;trend desc: S21C;vol factor: 2;use market: False
e0311af7|Bullish Engulfing With FollowThru|Up|1022|0.5259907359752959|move: 0.1;prologue len: 30;trend desc: S21C;vol factor: 2;use market: False
e0311af7|Bullish Engulfing With FollowThru||57|0.029336078229541946|move: 0.1;prologue len: 30;trend desc: S21C;vol factor: 2;use market: False
e3553432|Bullish Engulfing With FollowThru|Down|556|0.4977618621307073|move: 0.1;prologue len: 15;trend desc: S50C;vol factor: 2;use market: True
e3553432|Bullish Engulfing With FollowThru|Up|512|0.4583706356311549|move: 0.1;prologue len: 15;trend desc: S50C;vol factor: 2;use market: True
e3553432|Bullish Engulfing With FollowThru||49|0.043867502238137866|move: 0.1;prologue len: 15;trend desc: S50C;vol factor: 2;use market: True
ed659875|Bullish Engulfing With FollowThru|Down|394|0.5025510204081632|move: 0.1;prologue len: 30;trend desc: S21C;vol factor: 2;use market: True
ed659875|Bullish Engulfing With FollowThru|Up|358|0.45663265306122447|move: 0.1;prologue len: 30;trend desc: S21C;vol factor: 2;use market: True
ed659875|Bullish Engulfing With FollowThru||32|0.04081632653061224|move: 0.1;prologue len: 30;trend desc: S21C;vol factor: 2;use market: True
f09f7148|Bullish Engulfing With FollowThru|Down|2248|0.46794338051623646|move: 0.1;prologue len: 30;trend desc: S200C;vol factor: 1;use market: False
f09f7148|Bullish Engulfing With FollowThru|Up|2430|0.5058284762697752|move: 0.1;prologue len: 30;trend desc: S200C;vol factor: 1;use market: False
f09f7148|Bullish Engulfing With FollowThru||126|0.026228143213988343|move: 0.1;prologue len: 30;trend desc: S200C;vol factor: 1;use market: False
