Name|Category|Sub Category|Number Signals|Success %|Avg Duration
Bullish Engulfing With FollowThru|Industry|Restaurants|18|0.6111111111111112|37
Bullish Engulfing With FollowThru|Industry|REIT - Office|10|0.6|79
Bullish Engulfing With FollowThru|Industry|Banks - Regional|97|0.5567010309278351|68
Bullish Engulfing With FollowThru|Sector|Consumer Defensive|38|0.5526315789473685|68
Bullish Engulfing With FollowThru|Sector|Consumer Cyclical|94|0.5319148936170213|25
Bullish Engulfing With FollowThru|Sector|Energy|23|0.5217391304347826|54
Bullish Engulfing With FollowThru|Sector|Industrials|101|0.5148514851485149|37
Bullish Engulfing With FollowThru|Overall|All|2386|0.512154233025985|64
Bullish Engulfing With FollowThru|Industry|Apparel Retail|10|0.5|21
Bullish Engulfing With FollowThru|Sector|Real Estate|30|0.5|72
Bullish Engulfing With FollowThru|Industry|Utilities - Regulated Electric|10|0.5|130
Bullish Engulfing With FollowThru|Sector|Technology|69|0.4927536231884058|21
Bullish Engulfing With FollowThru|Sector|Financial Services|146|0.4863013698630137|74
Bullish Engulfing With FollowThru|Sector|Basic Materials|31|0.4838709677419355|19
Bullish Engulfing With FollowThru|Sector|Utilities|25|0.48|75
Bullish Engulfing With FollowThru|Industry|Software - Application|19|0.47368421052631576|10
Bullish Engulfing With FollowThru|Industry|Aerospace & Defense|15|0.4666666666666667|16
Bullish Engulfing With FollowThru|Sector|Healthcare|84|0.4642857142857143|28
Bullish Engulfing With FollowThru|Industry|Specialty Industrial Machinery|18|0.4444444444444444|52
Bullish Engulfing With FollowThru|Sector|Communication Services|14|0.42857142857142855|52
Bullish Engulfing With FollowThru|Industry|Medical Instruments & Supplies|10|0.4|49
Bullish Engulfing With FollowThru|Industry|Biotechnology|33|0.3939393939393939|8
Bullish Engulfing With FollowThru|Industry|Asset Management|17|0.29411764705882354|33
