Name|Category|Sub Category|Number Signals|Success %|Avg Duration
Bullish Engulfing With FollowThru|Sector|Utilities|14|0.7142857142857143|58
Bullish Engulfing With FollowThru|Sector|Consumer Defensive|24|0.5833333333333334|84
Bullish Engulfing With FollowThru|Sector|Industrials|36|0.5555555555555556|35
Bullish Engulfing With FollowThru|Sector|Energy|11|0.5454545454545454|52
Bullish Engulfing With FollowThru|Sector|Consumer Cyclical|34|0.5294117647058824|27
Bullish Engulfing With FollowThru|Sector|Technology|21|0.5238095238095238|16
Bullish Engulfing With FollowThru|Sector|Healthcare|39|0.5128205128205128|36
Bullish Engulfing With FollowThru|Overall|All|831|0.457280385078219|66
Bullish Engulfing With FollowThru|Industry|Biotechnology|18|0.4444444444444444|9
Bullish Engulfing With FollowThru|Industry|Banks - Regional|36|0.3888888888888889|80
Bullish Engulfing With FollowThru|Sector|Financial Services|50|0.38|70
Bullish Engulfing With FollowThru|Sector|Basic Materials|16|0.3125|14
Bullish Engulfing With FollowThru|Sector|Real Estate|11|0.2727272727272727|99
