Name,Category,Sub Category,Number Signals,Success %,Avg Duration
Bullish Engulfing With FollowThru,Entity,AIR.US,10,0.9,116
Bullish Engulfing With FollowThru,Entity,ACGL.US,10,0.8,235
Bullish Engulfing With FollowThru,Entity,AVB.US,10,0.8,383
Bullish Engulfing With FollowThru,Entity,VMI.US,11,0.7272727272727273,166
Bullish Engulfing With FollowThru,Entity,PCAR.US,10,0.7,107
Bullish Engulfing With FollowThru,Entity,BRC.US,11,0.6363636363636364,213
Bullish Engulfing With FollowThru,Entity,UMBF.US,10,0.6,318
Bullish Engulfing With FollowThru,Overall,All,8485,0.5368296994696523,207
Bullish Engulfing With FollowThru,Entity,RYN.US,10,0.5,164
Bullish Engulfing With FollowThru,Entity,DIN.US,11,0.2727272727272727,172
Bullish Engulfing With FollowThru,Entity,PARAA.US,11,0.2727272727272727,339
