Name|Category|Sub Category|Number Signals|Success %|Avg Duration
Bullish Engulfing With FollowThru|Industry|Real Estate Services|10|0.8|43
Bullish Engulfing With FollowThru|Industry|Healthcare Plans|12|0.75|57
Bullish Engulfing With FollowThru|Entity|SKY.US|10|0.7|13
Bullish Engulfing With FollowThru|Industry|Semiconductor Equipment & Materials|10|0.7|22
Bullish Engulfing With FollowThru|Industry|Financial Data & Stock Exchanges|13|0.6923076923076923|70
Bullish Engulfing With FollowThru|Industry|Insurance - Specialty|19|0.6842105263157895|52
Bullish Engulfing With FollowThru|Industry|Household & Personal Products|19|0.6842105263157895|53
Bullish Engulfing With FollowThru|Industry|Integrated Freight & Logistics|24|0.6666666666666666|31
Bullish Engulfing With FollowThru|Industry|Specialty Chemicals|45|0.6666666666666666|50
Bullish Engulfing With FollowThru|Industry|Utilities - Regulated Gas|12|0.6666666666666666|97
Bullish Engulfing With FollowThru|Industry|REIT - Office|20|0.65|82
Bullish Engulfing With FollowThru|Industry|Utilities - Regulated Water|17|0.6470588235294118|87
Bullish Engulfing With FollowThru|Industry|Information Technology Services|42|0.6428571428571429|45
Bullish Engulfing With FollowThru|Entity|BRC.US|11|0.6363636363636364|60
Bullish Engulfing With FollowThru|Industry|Security & Protection Services|19|0.631578947368421|50
Bullish Engulfing With FollowThru|Industry|Farm & Heavy Construction Machinery|16|0.625|47
Bullish Engulfing With FollowThru|Industry|Drug Manufacturers - General|26|0.6153846153846154|75
Bullish Engulfing With FollowThru|Industry|Metal Fabrication|10|0.6|13
Bullish Engulfing With FollowThru|Entity|VMI.US|10|0.6|25
Bullish Engulfing With FollowThru|Industry|Medical Care Facilities|35|0.6|26
Bullish Engulfing With FollowThru|Entity|ESE.US|10|0.6|26
Bullish Engulfing With FollowThru|Industry|Building Products & Equipment|20|0.6|41
Bullish Engulfing With FollowThru|Industry|Medical Instruments & Supplies|37|0.5945945945945946|35
Bullish Engulfing With FollowThru|Industry|Scientific & Technical Instruments|32|0.59375|27
Bullish Engulfing With FollowThru|Industry|Semiconductors|17|0.5882352941176471|31
Bullish Engulfing With FollowThru|Industry|Recreational Vehicles|12|0.5833333333333334|16
Bullish Engulfing With FollowThru|Industry|Capital Markets|12|0.5833333333333334|64
Bullish Engulfing With FollowThru|Industry|Banks - Diversified|19|0.5789473684210527|58
Bullish Engulfing With FollowThru|Industry|Medical Devices|47|0.574468085106383|30
Bullish Engulfing With FollowThru|Industry|Insurance - Property & Casualty|35|0.5714285714285714|89
Bullish Engulfing With FollowThru|Industry|Specialty Industrial Machinery|83|0.5662650602409639|67
Bullish Engulfing With FollowThru|Industry|Specialty Business Services|23|0.5652173913043478|54
Bullish Engulfing With FollowThru|Sector|Basic Materials|108|0.5648148148148148|36
Bullish Engulfing With FollowThru|Industry|Apparel Retail|32|0.5625|23
Bullish Engulfing With FollowThru|Sector|Utilities|114|0.5614035087719298|107
Bullish Engulfing With FollowThru|Industry|Utilities - Regulated Electric|66|0.5606060606060606|127
Bullish Engulfing With FollowThru|Industry|Communication Equipment|27|0.5555555555555556|16
Bullish Engulfing With FollowThru|Industry|Education & Training Services|11|0.5454545454545454|26
Bullish Engulfing With FollowThru|Industry|Agricultural Inputs|11|0.5454545454545454|32
Bullish Engulfing With FollowThru|Industry|Restaurants|44|0.5454545454545454|37
Bullish Engulfing With FollowThru|Industry|Insurance - Diversified|22|0.5454545454545454|133
Bullish Engulfing With FollowThru|Industry|Advertising Agencies|13|0.5384615384615384|12
Bullish Engulfing With FollowThru|Industry|Specialty Retail|26|0.5384615384615384|28
Bullish Engulfing With FollowThru|Industry|Telecom Services|26|0.5384615384615384|68
Bullish Engulfing With FollowThru|Sector|Financial Services|525|0.5352380952380953|70
Bullish Engulfing With FollowThru|Industry|Banks - Regional|285|0.5333333333333333|66
Bullish Engulfing With FollowThru|Industry|Electrical Equipment & Parts|19|0.5263157894736842|41
Bullish Engulfing With FollowThru|Sector|Real Estate|135|0.5259259259259259|68
Bullish Engulfing With FollowThru|Sector|Technology|286|0.5244755244755245|26
Bullish Engulfing With FollowThru|Industry|Oil & Gas E&P|42|0.5238095238095238|35
Bullish Engulfing With FollowThru|Industry|REIT - Residential|23|0.5217391304347826|122
Bullish Engulfing With FollowThru|Industry|Packaged Foods|27|0.5185185185185185|62
Bullish Engulfing With FollowThru|Sector|Industrials|396|0.5176767676767676|44
Bullish Engulfing With FollowThru|Overall|All|8293|0.5118774870372603|69
