Name|Category|Sub Category|Number Signals|Success %|Avg Duration
Bullish Engulfing With FollowThru|Industry|STATE COMMERCIAL BANKS|24|0.875|317
Bullish Engulfing With FollowThru|Industry|NATIONAL COMMERCIAL BANKS|26|0.6923076923076923|251
Bullish Engulfing With FollowThru|Industry|SEMICONDUCTORS & RELATED DEVICES|12|0.6666666666666666|160
Bullish Engulfing With FollowThru|Industry|PHARMACEUTICAL PREPARATIONS|17|0.5882352941176471|44
Bullish Engulfing With FollowThru|Industry|SERVICES-PREPACKAGED SOFTWARE|10|0.5|116
Bullish Engulfing With FollowThru|Industry|ELECTRIC & OTHER SERVICES COMBINED|10|0.5|280
Bullish Engulfing With FollowThru|Industry|INVESTMENT ADVICE|13|0.46153846153846156|115
Bullish Engulfing With FollowThru|Industry|FIRE, MARINE & CASUALTY INSURANCE|14|0.35714285714285715|116
Bullish Engulfing With FollowThru|Overall|All|960|0.34479166666666666|182
Bullish Engulfing With FollowThru|Industry|ELECTRIC SERVICES|18|0.3333333333333333|280
Bullish Engulfing With FollowThru|Industry|CRUDE PETROLEUM & NATURAL GAS|13|0.3076923076923077|23
Bullish Engulfing With FollowThru|Industry|REAL ESTATE INVESTMENT TRUSTS|24|0.2916666666666667|180
Bullish Engulfing With FollowThru|Industry|RETAIL-EATING PLACES|10|0.2|46
Bullish Engulfing With FollowThru|Industry|COMMODITY CONTRACTS BROKERS & DEALERS|10|0.1|61
