Name,Code,Industry,Sector,Entry Date,Entry Price Point,Entry Price,Result Up Date,Result Up Price Point,Result Up Price,Result Down Date,Result Down Price Point,Result Down Price,Result Direction,Trading Days,Calendar Days
Bullish Engulfing With FollowThru,AADI.US,,,6/13/2013,Close,502.9500,4/10/2015,High,607.2675,8/27/2021,Low,68.6200,Up,476,666
Bullish Engulfing With FollowThru,AADR.US,,,6/13/2013,Close,33.5300,4/10/2015,High,40.4845,,,,Up,476,666
Bullish Engulfing With FollowThru,AAOI.US,,,11/23/2015,Close,18.5600,9/15/2016,High,22.3200,1/8/2016,Low,14.6500,Down,34,46
Bullish Engulfing With FollowThru,AAPL.US,,,4/6/1988,Close,0.3728,6/14/1989,High,0.4487,12/15/1989,Low,0.2902,Up,310,434
Bullish Engulfing With FollowThru,AAPL.US,,,6/22/2006,Close,2.1279,9/5/2006,High,2.5536,,,,Up,53,75
Bullish Engulfing With FollowThru,AAPL.US,,,5/4/2018,Close,45.9575,8/29/2018,High,55.8725,12/24/2018,Low,36.6475,Up,83,117
Bullish Engulfing With FollowThru,AAP.US,,,11/3/2009,Close,38.5400,4/15/2010,High,46.3400,,,,Up,117,163
Bullish Engulfing With FollowThru,AAP.US,,,4/13/2016,Close,160.4900,4/16/2021,High,193.1700,6/8/2017,Low,125.8200,Down,301,421
Bullish Engulfing With FollowThru,AAP.US,,,1/31/2022,Close,231.5100,,,,5/20/2022,Low,176.7200,Down,79,109
Bullish Engulfing With FollowThru,AAP.US,,,10/30/2023,Close,51.3300,12/14/2023,High,66.0400,,,,Up,33,45
Bullish Engulfing With FollowThru,AA.US,,,8/16/2019,Close,17.5200,9/11/2019,High,22.2800,1/30/2020,Low,13.8100,Up,18,26
Bullish Engulfing With FollowThru,AA.US,,,12/14/2023,Close,29.9000,,,,,,,,,
Bullish Engulfing With FollowThru,ABBV.US,,,7/6/2018,Close,96.9200,5/7/2021,High,116.9300,11/1/2018,Low,77.5000,Down,84,118
Bullish Engulfing With FollowThru,ABBV.US,,,12/26/2018,Close,89.0400,12/4/2020,High,107.3100,6/25/2019,Low,65.0550,Down,129,181
Bullish Engulfing With FollowThru,ABCB.US,,,4/18/2006,Close,22.1787,8/8/2006,High,26.7019,7/31/2007,Low,17.3344,Up,80,112
Bullish Engulfing With FollowThru,ABCB.US,,,8/28/2006,Close,26.3128,10/28/2015,High,32.7500,5/10/2007,Low,21.0113,Down,183,255
Bullish Engulfing With FollowThru,ABG.US,,,2/11/2020,Close,100.0000,10/6/2020,High,121.1550,3/9/2020,Low,78.9500,Down,19,27
Bullish Engulfing With FollowThru,ABM.US,,,4/15/1997,Close,9.2500,7/30/1997,High,11.3750,,,,Up,76,106
Bullish Engulfing With FollowThru,ABM.US,,,3/25/1999,Close,13.5000,2/14/2001,High,16.2500,11/17/1999,Low,10.5000,Down,169,237
Bullish Engulfing With FollowThru,ABM.US,,,6/10/2002,Close,17.6000,11/2/2004,High,21.3600,7/24/2002,Low,14.0000,Down,32,44
Bullish Engulfing With FollowThru,ABM.US,,,6/5/2008,Close,23.0400,10/18/2013,High,28.2300,10/7/2008,Low,18.1400,Down,88,124
