Name|Category|Sub Category|Number Signals|Success %|Avg Duration
Bullish Engulfing With FollowThru|Industry|Software - Application|13|0.6923076923076923|12
Bullish Engulfing With FollowThru|Industry|Oil & Gas E&P|13|0.6153846153846154|45
Bullish Engulfing With FollowThru|Industry|Restaurants|10|0.6|47
Bullish Engulfing With FollowThru|Industry|Gold|12|0.5833333333333334|22
Bullish Engulfing With FollowThru|Sector|Utilities|30|0.5666666666666667|84
Bullish Engulfing With FollowThru|Sector|Technology|44|0.5454545454545454|14
Bullish Engulfing With FollowThru|Sector|Industrials|69|0.5217391304347826|38
Bullish Engulfing With FollowThru|Sector|Consumer Cyclical|55|0.509090909090909|30
Bullish Engulfing With FollowThru|Industry|Utilities - Regulated Electric|18|0.5|105
Bullish Engulfing With FollowThru|Sector|Consumer Defensive|37|0.4864864864864865|87
Bullish Engulfing With FollowThru|Sector|Communication Services|17|0.47058823529411764|43
Bullish Engulfing With FollowThru|Industry|Telecom Services|11|0.45454545454545453|48
Bullish Engulfing With FollowThru|Sector|Energy|38|0.4473684210526316|51
Bullish Engulfing With FollowThru|Overall|All|1571|0.4443029917250159|74
Bullish Engulfing With FollowThru|Sector|Basic Materials|30|0.43333333333333335|22
Bullish Engulfing With FollowThru|Sector|Healthcare|78|0.41025641025641024|27
Bullish Engulfing With FollowThru|Industry|Asset Management|10|0.4|79
Bullish Engulfing With FollowThru|Sector|Financial Services|94|0.39361702127659576|64
Bullish Engulfing With FollowThru|Industry|Aerospace & Defense|13|0.38461538461538464|34
Bullish Engulfing With FollowThru|Sector|Real Estate|24|0.375|78
Bullish Engulfing With FollowThru|Industry|Biotechnology|33|0.36363636363636365|8
Bullish Engulfing With FollowThru|Industry|Banks - Regional|63|0.3492063492063492|78
