Name|Category|Sub Category|Number Signals|Success %|Avg Duration
Bullish Engulfing With FollowThru|Sector|Utilities|10|0.8|60
Bullish Engulfing With FollowThru|Sector|Consumer Cyclical|16|0.75|24
Bullish Engulfing With FollowThru|Sector|Industrials|25|0.6|40
Bullish Engulfing With FollowThru|Sector|Consumer Defensive|13|0.5384615384615384|101
Bullish Engulfing With FollowThru|Industry|Banks - Regional|23|0.5217391304347826|87
Bullish Engulfing With FollowThru|Sector|Financial Services|30|0.4666666666666667|82
Bullish Engulfing With FollowThru|Overall|All|525|0.4247619047619048|61
Bullish Engulfing With FollowThru|Sector|Healthcare|24|0.3333333333333333|19
Bullish Engulfing With FollowThru|Industry|Biotechnology|10|0.3|5
Bullish Engulfing With FollowThru|Sector|Basic Materials|10|0.1|7
