Name|Category|Sub Category|Number Signals|Success %|Avg Duration
Bullish Engulfing With FollowThru|Industry|Drug Manufacturers - General|12|0.8333333333333334|70
Bullish Engulfing With FollowThru|Industry|Medical Care Facilities|15|0.7333333333333333|26
Bullish Engulfing With FollowThru|Industry|Integrated Freight & Logistics|12|0.6666666666666666|35
Bullish Engulfing With FollowThru|Industry|Specialty Retail|11|0.6363636363636364|36
Bullish Engulfing With FollowThru|Industry|Specialty Industrial Machinery|30|0.6333333333333333|70
Bullish Engulfing With FollowThru|Industry|Banks - Diversified|10|0.6|57
Bullish Engulfing With FollowThru|Industry|Utilities - Regulated Water|10|0.6|85
Bullish Engulfing With FollowThru|Industry|REIT - Retail|12|0.5833333333333334|44
Bullish Engulfing With FollowThru|Industry|Specialty Business Services|12|0.5833333333333334|56
Bullish Engulfing With FollowThru|Industry|Information Technology Services|19|0.5789473684210527|56
Bullish Engulfing With FollowThru|Industry|Apparel Retail|14|0.5714285714285714|26
Bullish Engulfing With FollowThru|Industry|Medical Devices|21|0.5714285714285714|27
Bullish Engulfing With FollowThru|Industry|Packaged Foods|14|0.5714285714285714|85
Bullish Engulfing With FollowThru|Industry|Oil & Gas E&P|23|0.5652173913043478|49
Bullish Engulfing With FollowThru|Industry|Scientific & Technical Instruments|18|0.5555555555555556|18
Bullish Engulfing With FollowThru|Industry|Utilities - Regulated Electric|38|0.5526315789473685|151
Bullish Engulfing With FollowThru|Sector|Utilities|64|0.546875|126
Bullish Engulfing With FollowThru|Industry|Medical Instruments & Supplies|11|0.5454545454545454|42
Bullish Engulfing With FollowThru|Sector|Communication Services|35|0.5428571428571428|50
Bullish Engulfing With FollowThru|Industry|Insurance - Property & Casualty|13|0.5384615384615384|96
Bullish Engulfing With FollowThru|Sector|Technology|103|0.5242718446601942|27
Bullish Engulfing With FollowThru|Industry|Software - Application|27|0.5185185185185185|18
Bullish Engulfing With FollowThru|Sector|Consumer Cyclical|129|0.5116279069767442|33
Bullish Engulfing With FollowThru|Industry|Software - Infrastructure|12|0.5|12
Bullish Engulfing With FollowThru|Industry|Gold|16|0.5|20
Bullish Engulfing With FollowThru|Sector|Healthcare|160|0.5|30
Bullish Engulfing With FollowThru|Industry|Oil & Gas Equipment & Services|14|0.5|47
Bullish Engulfing With FollowThru|Industry|Restaurants|22|0.5|51
Bullish Engulfing With FollowThru|Industry|Specialty Chemicals|16|0.5|55
Bullish Engulfing With FollowThru|Industry|Packaging & Containers|10|0.5|69
Bullish Engulfing With FollowThru|Sector|Real Estate|62|0.5|83
Bullish Engulfing With FollowThru|Industry|Telecom Services|16|0.5|90
Bullish Engulfing With FollowThru|Sector|Industrials|169|0.4970414201183432|46
Bullish Engulfing With FollowThru|Overall|All|3356|0.4693087008343266|81
Bullish Engulfing With FollowThru|Sector|Consumer Defensive|72|0.4583333333333333|72
Bullish Engulfing With FollowThru|Industry|Auto & Truck Dealerships|11|0.45454545454545453|13
Bullish Engulfing With FollowThru|Industry|REIT - Residential|11|0.45454545454545453|151
Bullish Engulfing With FollowThru|Sector|Basic Materials|53|0.4528301886792453|34
Bullish Engulfing With FollowThru|Sector|Financial Services|220|0.45|68
Bullish Engulfing With FollowThru|Sector|Energy|70|0.44285714285714284|44
Bullish Engulfing With FollowThru|Industry|Aerospace & Defense|23|0.43478260869565216|36
Bullish Engulfing With FollowThru|Industry|Biotechnology|61|0.4262295081967213|15
Bullish Engulfing With FollowThru|Industry|Asset Management|23|0.391304347826087|51
Bullish Engulfing With FollowThru|Industry|Banks - Regional|131|0.3893129770992366|76
Bullish Engulfing With FollowThru|Industry|Engineering & Construction|15|0.3333333333333333|41
Bullish Engulfing With FollowThru|Industry|Diagnostics & Research|10|0.3|16
Bullish Engulfing With FollowThru|Industry|Drug Manufacturers - Specialty & Generic|15|0.26666666666666666|7
