Name|Code|Industry|Sector|Entry Date|Entry Price Point|Entry Price|Result Up Date|Result Up Price Point|Result Up Price|Result Down Date|Result Down Price Point|Result Down Price|Result Direction|Trading Days|Calendar Days
Bullish Engulfing With FollowThru|AAMC|REAL ESTATE||6/19/2015|Close|158.6900||||8/10/2015|Low|95.8800|Down|36|52
Bullish Engulfing With FollowThru|AAOI|SEMICONDUCTORS & RELATED DEVICES||11/23/2015|Close|18.5600|9/15/2016|High|22.3200|1/8/2016|Low|14.6500|Down|34|46
Bullish Engulfing With FollowThru|AAP|RETAIL-AUTO & HOME SUPPLY STORES||4/13/2016|Close|160.4900|||||||||
Bullish Engulfing With FollowThru|ACIW|SERVICES-PREPACKAGED SOFTWARE||3/31/2016|Close|20.7900||||11/3/2016|Low|15.1100|Down|155|217
Bullish Engulfing With FollowThru|ACWI|||5/10/2016|Close|56.6500|||||||||
Bullish Engulfing With FollowThru|ADUS|SERVICES-HOME HEALTH CARE SERVICES||11/16/2015|Close|20.6800|12/11/2015|High|24.9200|3/22/2016|Low|16.5000|Up|19|25
Bullish Engulfing With FollowThru|AEZS|||4/6/2016|Close|3.6000|4/15/2016|High|4.3500||||Up|7|9
Bullish Engulfing With FollowThru|AGNC|REAL ESTATE INVESTMENT TRUSTS||10/13/2016|Close|19.4700|||||||||
Bullish Engulfing With FollowThru|AIN|BROADWOVEN FABRIC MILLS, MAN MADE FIBER & SILK||10/5/2015|Close|30.6600|10/28/2015|High|37.7700||||Up|17|23
Bullish Engulfing With FollowThru|AL|SERVICES-EQUIPMENT RENTAL & LEASING, NEC||7/10/2015|Close|33.8600||||1/13/2016|Low|26.0700|Down|133|187
Bullish Engulfing With FollowThru|ALK|AIR TRANSPORTATION, SCHEDULED||2/17/2016|Close|71.7700|12/7/2016|High|88.1200|6/24/2016|Low|56.2900|Down|92|128
Bullish Engulfing With FollowThru|ALKS|PHARMACEUTICAL PREPARATIONS||3/22/2016|Close|32.5500|4/11/2016|High|39.2400||||Up|14|20
Bullish Engulfing With FollowThru|ALLpB|FIRE, MARINE & CASUALTY INSURANCE||11/17/2015|Close|25.7700|||||||||
Bullish Engulfing With FollowThru|ALLpB|FIRE, MARINE & CASUALTY INSURANCE||1/8/2016|Close|25.3400|||||||||
Bullish Engulfing With FollowThru|AM|NATURAL GAS TRANSMISSION||12/22/2015|Close|21.7500|3/18/2016|High|27.0100|1/20/2016|Low|17.0000|Down|21|29
Bullish Engulfing With FollowThru|AMP|INVESTMENT ADVICE||11/9/2016|Close|102.0000|||||||||
Bullish Engulfing With FollowThru|AMT|REAL ESTATE INVESTMENT TRUSTS||3/20/2015|Close|97.6900|7/15/2016|High|117.5400||||Up|345|483
Bullish Engulfing With FollowThru|AN|RETAIL-AUTO DEALERS & GASOLINE STATIONS||11/14/2016|Close|45.8300|||||||||
Bullish Engulfing With FollowThru|APA|CRUDE PETROLEUM & NATURAL GAS||7/14/2015|Close|54.3900|9/29/2016|High|66.0000|8/6/2015|Low|43.0400|Down|17|23
Bullish Engulfing With FollowThru|APH|ELECTRONIC CONNECTORS||1/29/2016|Close|49.5700|6/6/2016|High|59.6600||||Up|91|129
Bullish Engulfing With FollowThru|ARCB|TRUCKING (NO LOCAL)||7/29/2015|Close|32.0900||||9/24/2015|Low|25.1700|Down|41|57
Bullish Engulfing With FollowThru|ARDC|||12/17/2015|Close|13.2900|||||||||
Bullish Engulfing With FollowThru|ASGN|SERVICES-HELP SUPPLY SERVICES||9/21/2016|Close|36.8800|12/7/2016|High|44.4200||||Up|55|77
Bullish Engulfing With FollowThru|ASML|||11/24/2015|Close|90.3300|7/26/2016|High|108.9100||||Up|175|245
Bullish Engulfing With FollowThru|BANF|NATIONAL COMMERCIAL BANKS||1/26/2016|Close|52.3400|4/27/2016|High|62.9600||||Up|66|92
Bullish Engulfing With FollowThru|BBY|RETAIL-RADIO, TV & CONSUMER ELECTRONICS STORES||4/13/2016|Close|32.1600|8/23/2016|High|39.3600||||Up|94|132
Bullish Engulfing With FollowThru|BCPC|CHEMICALS & ALLIED PRODUCTS||3/18/2016|Close|61.7800|9/28/2016|High|77.9597||||Up|138|194
Bullish Engulfing With FollowThru|BF.A|BEVERAGES||4/20/2016|Close|52.5900|||||||||
Bullish Engulfing With FollowThru|BFOR|||11/25/2015|Close|31.8688|||||||||
Bullish Engulfing With FollowThru|BGS|FOOD AND KINDRED PRODUCTS||3/12/2015|Close|28.3600|9/3/2015|High|34.8300||||Up|125|175
Bullish Engulfing With FollowThru|BIS|||12/3/2015|Close|32.3300|1/11/2016|High|39.7300||||Up|27|39
Bullish Engulfing With FollowThru|BKLN|||10/5/2015|Close|23.1200|||||||||
Bullish Engulfing With FollowThru|BKN|||9/25/2015|Close|14.9900|6/17/2016|High|17.9900||||Up|190|266
Bullish Engulfing With FollowThru|BLMN|RETAIL-EATING PLACES||5/11/2015|Close|22.0150||||10/22/2015|Low|17.5100|Down|118|164
Bullish Engulfing With FollowThru|BLUE|BIOLOGICAL PRODUCTS, (NO DISGNOSTIC SUBSTANCES)||10/23/2015|Close|83.1000||||12/7/2015|Low|51.7200|Down|31|45
Bullish Engulfing With FollowThru|BLUE|BIOLOGICAL PRODUCTS, (NO DISGNOSTIC SUBSTANCES)||4/6/2016|Close|51.5700|9/14/2016|High|63.2900|5/4/2016|Low|40.5000|Down|20|28
Bullish Engulfing With FollowThru|BMLpL|NATIONAL COMMERCIAL BANKS||10/8/2015|Close|20.4899|||||||||
Bullish Engulfing With FollowThru|BOND|||7/17/2015|Close|107.4800|||||||||
Bullish Engulfing With FollowThru|BRC|MISCELLANEOUS MANUFACTURING INDUSTRIES||1/29/2016|Close|22.4400|3/4/2016|High|27.1900||||Up|25|35
Bullish Engulfing With FollowThru|BRFS|||10/5/2015|Close|18.1900||||11/6/2015|Low|14.5350|Down|24|32
Bullish Engulfing With FollowThru|BRX|REAL ESTATE INVESTMENT TRUSTS||11/22/2016|Close|24.4500|||||||||
Bullish Engulfing With FollowThru|BRZU|||3/23/2015|Close|54.9000|4/8/2015|High|67.1000|7/23/2015|Low|39.5300|Up|12|16
Bullish Engulfing With FollowThru|BRZU|||12/23/2015|Close|13.1200|3/4/2016|High|18.1800|1/4/2016|Low|10.2800|Down|8|12
Bullish Engulfing With FollowThru|BSRR|STATE COMMERCIAL BANKS||1/26/2016|Close|17.6000|3/4/2016|High|21.7000||||Up|28|38
Bullish Engulfing With FollowThru|BUI|||3/16/2015|Close|19.3800||||1/20/2016|Low|14.7700|Down|222|310
Bullish Engulfing With FollowThru|BUI|||3/18/2015|Close|19.6604||||1/20/2016|Low|14.7700|Down|220|308
