Name|Category|Sub Category|Number Signals|Success %|Avg Duration
Bullish Engulfing With Four Black Predecessors|Industry|Internet Content & Information|10|0.9|23
Bullish Engulfing With Four Black Predecessors|Industry|Oil & Gas Refining & Marketing|10|0.9|49
Bullish Engulfing With Four Black Predecessors|Industry|Drug Manufacturers - General|10|0.8|46
Bullish Engulfing With Four Black Predecessors|Sector|Communication Services|42|0.7380952380952381|19
Bullish Engulfing With Four Black Predecessors|Industry|Packaged Foods|15|0.7333333333333333|40
Bullish Engulfing With Four Black Predecessors|Industry|Asset Management|22|0.7272727272727273|37
Bullish Engulfing With Four Black Predecessors|Industry|Specialty Business Services|11|0.7272727272727273|49
Bullish Engulfing With Four Black Predecessors|Industry|Credit Services|10|0.7|14
Bullish Engulfing With Four Black Predecessors|Industry|Telecom Services|10|0.7|18
Bullish Engulfing With Four Black Predecessors|Sector|Consumer Defensive|52|0.6923076923076923|51
Bullish Engulfing With Four Black Predecessors|Sector|Energy|44|0.6818181818181818|36
Bullish Engulfing With Four Black Predecessors|Industry|Communication Equipment|12|0.6666666666666666|29
Bullish Engulfing With Four Black Predecessors|Sector|Utilities|30|0.6666666666666666|80
Bullish Engulfing With Four Black Predecessors|Industry|Restaurants|14|0.6428571428571429|16
Bullish Engulfing With Four Black Predecessors|Industry|Information Technology Services|13|0.6153846153846154|41
Bullish Engulfing With Four Black Predecessors|Industry|Specialty Retail|10|0.6|19
Bullish Engulfing With Four Black Predecessors|Industry|Electrical Equipment & Parts|15|0.6|23
Bullish Engulfing With Four Black Predecessors|Industry|Utilities - Regulated Electric|15|0.6|90
Bullish Engulfing With Four Black Predecessors|Industry|Aerospace & Defense|12|0.5833333333333334|23
Bullish Engulfing With Four Black Predecessors|Industry|Entertainment|12|0.5833333333333334|28
Bullish Engulfing With Four Black Predecessors|Sector|Basic Materials|38|0.5789473684210527|16
Bullish Engulfing With Four Black Predecessors|Industry|Apparel Retail|19|0.5789473684210527|48
Bullish Engulfing With Four Black Predecessors|Sector|Real Estate|51|0.5686274509803921|42
Bullish Engulfing With Four Black Predecessors|Overall|All|3380|0.5653846153846154|53
Bullish Engulfing With Four Black Predecessors|Sector|Financial Services|172|0.5581395348837209|54
Bullish Engulfing With Four Black Predecessors|Industry|Oil & Gas Equipment & Services|11|0.5454545454545454|27
Bullish Engulfing With Four Black Predecessors|Industry|Medical Devices|24|0.5416666666666666|17
Bullish Engulfing With Four Black Predecessors|Industry|Biotechnology|99|0.5353535353535354|9
Bullish Engulfing With Four Black Predecessors|Sector|Consumer Cyclical|128|0.53125|32
Bullish Engulfing With Four Black Predecessors|Sector|Healthcare|216|0.5277777777777778|16
Bullish Engulfing With Four Black Predecessors|Industry|Banks - Regional|93|0.5268817204301075|65
Bullish Engulfing With Four Black Predecessors|Industry|Specialty Industrial Machinery|19|0.5263157894736842|19
Bullish Engulfing With Four Black Predecessors|Sector|Industrials|171|0.5263157894736842|31
Bullish Engulfing With Four Black Predecessors|Sector|Technology|150|0.5133333333333333|18
Bullish Engulfing With Four Black Predecessors|Industry|Software - Infrastructure|30|0.5|17
Bullish Engulfing With Four Black Predecessors|Industry|Diagnostics & Research|22|0.5|20
Bullish Engulfing With Four Black Predecessors|Industry|Specialty Chemicals|12|0.5|26
Bullish Engulfing With Four Black Predecessors|Industry|Insurance Brokers|10|0.5|91
Bullish Engulfing With Four Black Predecessors|Industry|Software - Application|50|0.48|12
Bullish Engulfing With Four Black Predecessors|Industry|Medical Instruments & Supplies|15|0.4666666666666667|36
Bullish Engulfing With Four Black Predecessors|Industry|Engineering & Construction|16|0.4375|20
Bullish Engulfing With Four Black Predecessors|Industry|Consulting Services|16|0.4375|38
Bullish Engulfing With Four Black Predecessors|Industry|Oil & Gas E&P|10|0.4|34
Bullish Engulfing With Four Black Predecessors|Industry|Farm & Heavy Construction Machinery|16|0.375|38
Bullish Engulfing With Four Black Predecessors|Industry|Electronic Components|11|0.36363636363636365|16
Bullish Engulfing With Four Black Predecessors|Industry|Drug Manufacturers - Specialty & Generic|25|0.32|7
Bullish Engulfing With Four Black Predecessors|Industry|Semiconductors|10|0.3|18
