Name|Code|Industry|Sector|Entry Date|Entry Price Point|Entry Price|Result Up Date|Result Up Price Point|Result Up Price|Result Down Date|Result Down Price Point|Result Down Price|Result Direction|Trading Days|Calendar Days
Bullish Engulfing With Four Black Predecessors|ADTN|TELEPHONE & TELEGRAPH APPARATUS||9/24/2015|Close|14.7100|11/19/2015|High|16.5100||||Up|40|56
Bullish Engulfing With Four Black Predecessors|AE|WHOLESALE-PETROLEUM & PETROLEUM PRODUCTS (NO BULK STATIONS)||5/26/2015|Close|41.5100|6/9/2015|High|46.2500|12/14/2015|Low|34.2600|Up|10|14
Bullish Engulfing With Four Black Predecessors|AKO.A|||3/16/2015|Close|12.7300|4/30/2015|High|15.3400||||Up|33|45
Bullish Engulfing With Four Black Predecessors|AKR|REAL ESTATE INVESTMENT TRUSTS||8/9/2016|Close|36.5700||||11/1/2016|Low|32.5600|Down|60|84
Bullish Engulfing With Four Black Predecessors|ALX|REAL ESTATE INVESTMENT TRUSTS||9/26/2014|Close|389.2400|10/23/2014|High|430.0000|2/3/2016|Low|350.0300|Up|19|27
Bullish Engulfing With Four Black Predecessors|AMID|||11/2/2016|Close|13.9000|12/2/2016|High|15.3500||||Up|22|30
Bullish Engulfing With Four Black Predecessors|AMSF|FIRE, MARINE & CASUALTY INSURANCE||11/4/2016|Close|54.8500|11/11/2016|High|62.7500||||Up|5|7
Bullish Engulfing With Four Black Predecessors|ANF|RETAIL-FAMILY CLOTHING STORES||12/3/2014|Close|28.8100|3/4/2016|High|32.8100|1/20/2015|Low|25.4600|Down|34|48
Bullish Engulfing With Four Black Predecessors|AP|PUMPS & PUMPING EQUIPMENT||7/18/2014|Close|21.3200||||10/10/2014|Low|18.5400|Down|60|84
Bullish Engulfing With Four Black Predecessors|APH|ELECTRONIC CONNECTORS||6/29/2015|Close|56.8400|9/2/2016|High|62.6600|8/24/2015|Low|47.4400|Down|40|56
Bullish Engulfing With Four Black Predecessors|ARDC|||8/12/2015|Close|15.0300||||11/24/2015|Low|13.4900|Down|74|104
Bullish Engulfing With Four Black Predecessors|ASML|||11/16/2015|Close|92.2900|3/30/2016|High|101.8800|1/7/2016|Low|82.2400|Down|38|52
Bullish Engulfing With Four Black Predecessors|ATMP|||10/15/2014|Close|29.0660|11/17/2014|High|32.0520|7/20/2015|Low|26.0200|Up|23|33
Bullish Engulfing With Four Black Predecessors|BDL|RETAIL-EATING PLACES||2/11/2015|Close|33.0100|2/23/2015|High|36.5400|2/18/2015|Low|29.2100|Down|5|7
Bullish Engulfing With Four Black Predecessors|BF.A|BEVERAGES||9/12/2016|Close|49.0700|||||||||
Bullish Engulfing With Four Black Predecessors|BGX|||12/17/2014|Close|15.4900||||11/11/2015|Low|13.9000|Down|235|329
Bullish Engulfing With Four Black Predecessors|BIZD|||8/4/2014|Close|20.0500||||10/15/2014|Low|17.6000|Down|52|72
Bullish Engulfing With Four Black Predecessors|BKN|||9/17/2015|Close|14.8200|3/4/2016|High|16.3700||||Up|121|169
Bullish Engulfing With Four Black Predecessors|BOOT|RETAIL-SHOE STORES||12/19/2014|Close|19.5600|1/12/2015|High|22.0000|1/5/2015|Low|17.5500|Down|11|17
Bullish Engulfing With Four Black Predecessors|CAPL|WHOLESALE-PETROLEUM & PETROLEUM PRODUCTS (NO BULK STATIONS)||11/2/2016|Close|25.7600|||||||||
Bullish Engulfing With Four Black Predecessors|CCOI|COMMUNICATIONS SERVICES, NEC||9/28/2015|Close|26.5000|10/7/2015|High|29.3900||||Up|7|9
Bullish Engulfing With Four Black Predecessors|CHD|SOAP, DETERGENTS, CLEANG PREPARATIONS, PERFUMES, COSMETICS||8/1/2014|Close|32.8250|10/28/2014|High|36.1300||||Up|62|88
Bullish Engulfing With Four Black Predecessors|CHE|SERVICES-HOME HEALTH CARE SERVICES||8/22/2016|Close|131.9700|11/11/2016|High|147.9300||||Up|59|81
Bullish Engulfing With Four Black Predecessors|CHEF|WHOLESALE-GROCERIES, GENERAL LINE||11/3/2016|Close|11.3500|11/10/2016|High|12.8500||||Up|5|7
Bullish Engulfing With Four Black Predecessors|CIVI|CRUDE PETROLEUM & NATURAL GAS||12/19/2014|Close|16.3000|1/7/2015|High|18.6500||||Up|13|19
Bullish Engulfing With Four Black Predecessors|CMRX|PHARMACEUTICAL PREPARATIONS||10/15/2015|Close|36.2600|10/28/2015|High|41.5800|12/28/2015|Low|6.4300|Up|9|13
Bullish Engulfing With Four Black Predecessors|COKE|BOTTLED & CANNED SOFT DRINKS & CARBONATED WATERS||3/29/2016|Close|164.6200||||5/11/2016|Low|144.5900|Down|31|43
Bullish Engulfing With Four Black Predecessors|COLM|APPAREL & OTHER FINISHD PRODS OF FABRICS & SIMILAR MATL||7/18/2014|Close|40.3250|11/24/2014|High|44.5800|9/25/2014|Low|36.2250|Down|49|69
Bullish Engulfing With Four Black Predecessors|COLM|APPAREL & OTHER FINISHD PRODS OF FABRICS & SIMILAR MATL||10/28/2016|Close|57.9400|||||||||
Bullish Engulfing With Four Black Predecessors|CR|MISCELLANEOUS FABRICATED METAL PRODUCTS||7/28/2015|Close|53.8700|6/6/2016|High|59.5300|9/22/2015|Low|47.8974|Down|40|56
Bullish Engulfing With Four Black Predecessors|CRL|SERVICES-COMMERCIAL PHYSICAL & BIOLOGICAL RESEARCH||7/6/2015|Close|70.1300|7/29/2015|High|77.1600|9/28/2015|Low|61.2300|Up|17|23
Bullish Engulfing With Four Black Predecessors|CTO|REAL ESTATE INVESTMENT TRUSTS||1/16/2015|Close|54.3900|2/11/2015|High|64.3700|9/29/2015|Low|48.1100|Up|18|26
Bullish Engulfing With Four Black Predecessors|DBP|COMMODITY CONTRACTS BROKERS & DEALERS||9/3/2014|Close|40.5600||||10/31/2014|Low|36.1700|Down|42|58
Bullish Engulfing With Four Black Predecessors|DM|SPECIAL INDUSTRY MACHINERY, NEC||12/16/2015|Close|27.4800|12/23/2015|High|30.2800|1/20/2016|Low|23.1200|Up|5|7
Bullish Engulfing With Four Black Predecessors|DPG|||9/29/2014|Close|21.0800||||10/15/2014|Low|18.8500|Down|12|16
Bullish Engulfing With Four Black Predecessors|ECH|||7/21/2014|Close|45.4700||||10/15/2014|Low|40.8000|Down|62|86
Bullish Engulfing With Four Black Predecessors|EMLC|||5/6/2016|Close|18.3900|||||||||
Bullish Engulfing With Four Black Predecessors|ENFR|||7/7/2015|Close|25.3100||||8/5/2015|Low|22.7690|Down|21|29
Bullish Engulfing With Four Black Predecessors|ESNT|SURETY INSURANCE||11/20/2014|Close|23.7500|5/11/2015|High|26.4100|1/4/2016|Low|20.9600|Up|122|172
Bullish Engulfing With Four Black Predecessors|EUFN|||6/16/2016|Close|16.9700|6/23/2016|High|18.6800|6/27/2016|Low|14.3300|Up|5|7
Bullish Engulfing With Four Black Predecessors|EWO|||7/7/2015|Close|15.6500||||1/15/2016|Low|14.0300|Down|138|192
Bullish Engulfing With Four Black Predecessors|EWV|||11/1/2016|Close|40.5400|||||||||
Bullish Engulfing With Four Black Predecessors|EZU|||7/7/2015|Close|36.5700||||1/8/2016|Low|32.7600|Down|133|185
Bullish Engulfing With Four Black Predecessors|FAD|||9/24/2014|Close|46.3500|3/18/2015|High|51.6090|8/24/2015|Low|23.6400|Up|125|175
