Name,Code,Industry,Sector,Entry Date,Entry Price Point,Entry Price,Result Up Date,Result Up Price Point,Result Up Price,Result Down Date,Result Down Price Point,Result Down Price,Result Direction,Trading Days,Calendar Days
Bullish Engulfing With Four Black Predecessors,ABCB.US,Banks - Regional,Financial Services,7/26/2007,Close,18.8420,8/10/2007,High,21.4004,10/22/2007,Low,16.2255,Up,11,15
Bullish Engulfing With Four Black Predecessors,ABCB.US,Banks - Regional,Financial Services,9/25/2023,Close,37.8400,11/3/2023,High,42.5900,,,,Up,29,39
Bullish Engulfing With Four Black Predecessors,ABEO.US,Biotechnology,Healthcare,2/2/2005,Close,17437.5000,2/4/2005,High,19375.0000,3/3/2005,Low,15625.0000,Up,2,2
Bullish Engulfing With Four Black Predecessors,ABEO.US,Biotechnology,Healthcare,8/17/2005,Close,6062.5000,9/23/2005,High,6750.0000,8/18/2005,Low,5187.5000,Down,1,1
Bullish Engulfing With Four Black Predecessors,ABG.US,Auto & Truck Dealerships,Consumer Cyclical,4/19/2005,Close,14.0500,6/16/2005,High,15.6900,1/18/2008,Low,12.0800,Up,42,58
Bullish Engulfing With Four Black Predecessors,ABG.US,Auto & Truck Dealerships,Consumer Cyclical,4/6/2022,Close,156.7800,4/28/2022,High,176.8000,9/29/2022,Low,140.7000,Up,16,22
Bullish Engulfing With Four Black Predecessors,ABM.US,Specialty Business Services,Industrials,12/14/2007,Close,19.8100,3/4/2008,High,22.0500,10/8/2008,Low,16.3300,Up,57,81
Bullish Engulfing With Four Black Predecessors,ACA.US,Engineering & Construction,Industrials,4/29/2022,Close,53.5300,8/4/2022,High,59.2550,6/16/2022,Low,45.3500,Down,34,48
Bullish Engulfing With Four Black Predecessors,ACB.US,Drug Manufacturers - Specialty & Generic,Healthcare,5/14/2020,Close,66.4000,5/15/2020,High,118.8000,9/23/2020,Low,51.4000,Up,1,1
Bullish Engulfing With Four Black Predecessors,ACET.US,Biotechnology,Healthcare,2/4/2021,Close,12.5400,2/8/2021,High,14.0800,6/15/2021,Low,10.7200,Up,2,4
Bullish Engulfing With Four Black Predecessors,ACHC.US,Medical Care Facilities,Healthcare,8/11/2011,Close,9.2000,8/15/2011,High,10.5600,10/25/2011,Low,8.2000,Up,2,4
Bullish Engulfing With Four Black Predecessors,ACN.US,Information Technology Services,Technology,10/13/2022,Close,257.4600,10/26/2022,High,283.6300,,,,Up,9,13
Bullish Engulfing With Four Black Predecessors,ACOR.US,Drug Manufacturers - Specialty & Generic,Healthcare,10/27/2021,Close,82.8000,,,,11/8/2021,Low,74.2000,Down,8,12
Bullish Engulfing With Four Black Predecessors,ACRX.US,Drug Manufacturers - Specialty & Generic,Healthcare,10/10/2018,Close,71.9000,10/11/2018,High,81.2000,10/11/2018,Low,62.2000,Up,1,1
Bullish Engulfing With Four Black Predecessors,ACVF.US,,,10/13/2022,Close,27.5300,11/10/2022,High,30.2910,,,,Up,20,28
Bullish Engulfing With Four Black Predecessors,ACWI.US,,,7/16/2008,Close,47.2700,4/29/2013,High,52.1060,9/15/2008,Low,42.4700,Down,43,61
Bullish Engulfing With Four Black Predecessors,ACWI.US,,,10/13/2022,Close,79.2700,11/11/2022,High,87.7250,,,,Up,21,29
Bullish Engulfing With Four Black Predecessors,ACWX.US,,,10/13/2022,Close,40.3800,11/10/2022,High,44.8100,,,,Up,20,28
Bullish Engulfing With Four Black Predecessors,ADD.US,Entertainment,Communication Services,9/7/2012,Close,216.0000,9/25/2012,High,283.2000,9/20/2012,Low,192.0000,Down,9,13
Bullish Engulfing With Four Black Predecessors,ADD.US,Entertainment,Communication Services,10/17/2018,Close,148.0000,10/18/2018,High,253.6000,10/18/2018,Low,130.8000,Up,1,1
Bullish Engulfing With Four Black Predecessors,ADIL.US,Biotechnology,Healthcare,11/2/2018,Close,50.0000,11/5/2018,High,56.2500,11/6/2018,Low,42.4325,Up,1,3
Bullish Engulfing With Four Black Predecessors,ADIL.US,Biotechnology,Healthcare,2/21/2019,Close,99.2500,8/27/2021,High,113.2500,2/25/2019,Low,89.0000,Down,2,4
