Name|Category|Sub Category|Number Signals|Success %|Avg Duration
Bullish Engulfing With Four Black Predecessors|Industry|Auto & Truck Dealerships|12|0.8333333333333334|14
Bullish Engulfing With Four Black Predecessors|Industry|Scientific & Technical Instruments|17|0.7647058823529411|14
Bullish Engulfing With Four Black Predecessors|Industry|Medical Care Facilities|20|0.75|16
Bullish Engulfing With Four Black Predecessors|Industry|Telecom Services|28|0.75|26
Bullish Engulfing With Four Black Predecessors|Industry|Resorts & Casinos|15|0.7333333333333333|10
Bullish Engulfing With Four Black Predecessors|Industry|Solar|10|0.7|7
Bullish Engulfing With Four Black Predecessors|Industry|Oil & Gas Midstream|20|0.7|30
Bullish Engulfing With Four Black Predecessors|Industry|Advertising Agencies|10|0.7|40
Bullish Engulfing With Four Black Predecessors|Sector|Communication Services|79|0.6962025316455697|29
Bullish Engulfing With Four Black Predecessors|Industry|Building Products & Equipment|13|0.6923076923076923|31
Bullish Engulfing With Four Black Predecessors|Sector|Utilities|52|0.6923076923076923|99
Bullish Engulfing With Four Black Predecessors|Industry|Oil & Gas Refining & Marketing|16|0.6875|25
Bullish Engulfing With Four Black Predecessors|Industry|Internet Content & Information|15|0.6666666666666666|17
Bullish Engulfing With Four Black Predecessors|Industry|Aerospace & Defense|21|0.6666666666666666|31
Bullish Engulfing With Four Black Predecessors|Industry|Household & Personal Products|12|0.6666666666666666|37
Bullish Engulfing With Four Black Predecessors|Industry|Specialty Business Services|21|0.6666666666666666|50
Bullish Engulfing With Four Black Predecessors|Industry|Specialty Industrial Machinery|48|0.6458333333333334|24
Bullish Engulfing With Four Black Predecessors|Industry|Specialty Retail|28|0.6428571428571429|21
Bullish Engulfing With Four Black Predecessors|Industry|Electrical Equipment & Parts|22|0.6363636363636364|16
Bullish Engulfing With Four Black Predecessors|Industry|Information Technology Services|30|0.6333333333333333|34
Bullish Engulfing With Four Black Predecessors|Industry|Utilities - Regulated Electric|30|0.6333333333333333|141
Bullish Engulfing With Four Black Predecessors|Industry|Entertainment|19|0.631578947368421|44
Bullish Engulfing With Four Black Predecessors|Industry|Communication Equipment|29|0.6206896551724138|48
Bullish Engulfing With Four Black Predecessors|Industry|Integrated Freight & Logistics|13|0.6153846153846154|32
Bullish Engulfing With Four Black Predecessors|Industry|Packaged Foods|23|0.6086956521739131|59
Bullish Engulfing With Four Black Predecessors|Industry|Insurance - Specialty|10|0.6|28
Bullish Engulfing With Four Black Predecessors|Sector|Consumer Defensive|91|0.5934065934065934|47
Bullish Engulfing With Four Black Predecessors|Sector|Basic Materials|78|0.5897435897435898|24
Bullish Engulfing With Four Black Predecessors|Industry|Credit Services|12|0.5833333333333334|28
Bullish Engulfing With Four Black Predecessors|Industry|Asset Management|50|0.58|57
Bullish Engulfing With Four Black Predecessors|Industry|Residential Construction|14|0.5714285714285714|7
Bullish Engulfing With Four Black Predecessors|Sector|Technology|244|0.5655737704918032|21
Bullish Engulfing With Four Black Predecessors|Sector|Energy|124|0.5645161290322581|24
Bullish Engulfing With Four Black Predecessors|Sector|Industrials|277|0.5631768953068592|27
Bullish Engulfing With Four Black Predecessors|Industry|REIT - Office|16|0.5625|51
Bullish Engulfing With Four Black Predecessors|Sector|Consumer Cyclical|262|0.5610687022900763|22
Bullish Engulfing With Four Black Predecessors|Overall|All|5645|0.5608503100088574|43
Bullish Engulfing With Four Black Predecessors|Industry|Recreational Vehicles|11|0.5454545454545454|22
Bullish Engulfing With Four Black Predecessors|Industry|Insurance - Property & Casualty|13|0.5384615384615384|93
Bullish Engulfing With Four Black Predecessors|Industry|Software - Infrastructure|41|0.5365853658536586|20
Bullish Engulfing With Four Black Predecessors|Industry|Semiconductors|15|0.5333333333333333|21
Bullish Engulfing With Four Black Predecessors|Industry|Drug Manufacturers - General|15|0.5333333333333333|41
Bullish Engulfing With Four Black Predecessors|Industry|Medical Devices|44|0.5227272727272727|23
Bullish Engulfing With Four Black Predecessors|Industry|Software - Application|69|0.5217391304347826|12
Bullish Engulfing With Four Black Predecessors|Industry|Oil & Gas Equipment & Services|23|0.5217391304347826|13
Bullish Engulfing With Four Black Predecessors|Sector|Financial Services|293|0.5187713310580204|59
Bullish Engulfing With Four Black Predecessors|Industry|Specialty Chemicals|27|0.5185185185185185|23
Bullish Engulfing With Four Black Predecessors|Industry|Oil & Gas E&P|41|0.5121951219512195|23
Bullish Engulfing With Four Black Predecessors|Industry|Health Information Services|10|0.5|6
Bullish Engulfing With Four Black Predecessors|Industry|Industrial Distribution|16|0.5|28
Bullish Engulfing With Four Black Predecessors|Industry|Restaurants|36|0.5|35
Bullish Engulfing With Four Black Predecessors|Industry|Biotechnology|159|0.4968553459119497|9
Bullish Engulfing With Four Black Predecessors|Sector|Real Estate|99|0.48484848484848486|41
Bullish Engulfing With Four Black Predecessors|Industry|Banks - Regional|159|0.48427672955974843|59
Bullish Engulfing With Four Black Predecessors|Sector|Healthcare|365|0.4821917808219178|15
Bullish Engulfing With Four Black Predecessors|Industry|Engineering & Construction|21|0.47619047619047616|17
Bullish Engulfing With Four Black Predecessors|Industry|Consulting Services|19|0.47368421052631576|20
Bullish Engulfing With Four Black Predecessors|Industry|Semiconductor Equipment & Materials|15|0.4666666666666667|7
Bullish Engulfing With Four Black Predecessors|Industry|Furnishings, Fixtures & Appliances|15|0.4666666666666667|8
Bullish Engulfing With Four Black Predecessors|Industry|REIT - Residential|15|0.4666666666666667|73
Bullish Engulfing With Four Black Predecessors|Industry|Auto Manufacturers|11|0.45454545454545453|3
Bullish Engulfing With Four Black Predecessors|Industry|Insurance - Diversified|11|0.45454545454545453|111
Bullish Engulfing With Four Black Predecessors|Industry|Gold|18|0.4444444444444444|36
Bullish Engulfing With Four Black Predecessors|Industry|Apparel Retail|28|0.42857142857142855|22
Bullish Engulfing With Four Black Predecessors|Industry|Insurance Brokers|14|0.42857142857142855|69
Bullish Engulfing With Four Black Predecessors|Industry|Medical Instruments & Supplies|31|0.41935483870967744|21
Bullish Engulfing With Four Black Predecessors|Industry|Diagnostics & Research|29|0.41379310344827586|12
Bullish Engulfing With Four Black Predecessors|Industry|REIT - Mortgage|11|0.36363636363636365|49
Bullish Engulfing With Four Black Predecessors|Industry|Auto Parts|13|0.3076923076923077|16
Bullish Engulfing With Four Black Predecessors|Industry|Farm Products|13|0.3076923076923077|68
Bullish Engulfing With Four Black Predecessors|Industry|Drug Manufacturers - Specialty & Generic|44|0.29545454545454547|14
Bullish Engulfing With Four Black Predecessors|Industry|Internet Retail|17|0.29411764705882354|4
Bullish Engulfing With Four Black Predecessors|Industry|Farm & Heavy Construction Machinery|20|0.25|13
