Name|Category|Sub Category|Number Signals|Success %|Avg Duration
Bullish Engulfing With Four Black Predecessors|Industry|Asset Management|14|0.8571428571428571|36
Bullish Engulfing With Four Black Predecessors|Sector|Communication Services|26|0.8076923076923077|19
Bullish Engulfing With Four Black Predecessors|Industry|Packaged Foods|10|0.8|49
Bullish Engulfing With Four Black Predecessors|Sector|Utilities|14|0.7142857142857143|78
Bullish Engulfing With Four Black Predecessors|Sector|Consumer Defensive|33|0.6666666666666666|54
Bullish Engulfing With Four Black Predecessors|Sector|Energy|23|0.6086956521739131|20
Bullish Engulfing With Four Black Predecessors|Sector|Financial Services|88|0.6022727272727273|48
Bullish Engulfing With Four Black Predecessors|Sector|Consumer Cyclical|65|0.6|17
Bullish Engulfing With Four Black Predecessors|Industry|Apparel Retail|10|0.6|21
Bullish Engulfing With Four Black Predecessors|Industry|Electrical Equipment & Parts|10|0.6|26
Bullish Engulfing With Four Black Predecessors|Overall|All|1944|0.5900205761316872|44
Bullish Engulfing With Four Black Predecessors|Sector|Technology|77|0.5714285714285714|19
Bullish Engulfing With Four Black Predecessors|Industry|Banks - Regional|52|0.5576923076923077|51
Bullish Engulfing With Four Black Predecessors|Sector|Basic Materials|29|0.5517241379310345|16
Bullish Engulfing With Four Black Predecessors|Industry|Specialty Industrial Machinery|11|0.5454545454545454|14
Bullish Engulfing With Four Black Predecessors|Industry|Medical Devices|13|0.5384615384615384|14
Bullish Engulfing With Four Black Predecessors|Industry|Software - Infrastructure|13|0.5384615384615384|15
Bullish Engulfing With Four Black Predecessors|Industry|Biotechnology|64|0.5|9
Bullish Engulfing With Four Black Predecessors|Sector|Healthcare|132|0.5|14
Bullish Engulfing With Four Black Predecessors|Industry|Medical Instruments & Supplies|10|0.5|39
Bullish Engulfing With Four Black Predecessors|Sector|Real Estate|23|0.4782608695652174|36
Bullish Engulfing With Four Black Predecessors|Sector|Industrials|94|0.46808510638297873|22
Bullish Engulfing With Four Black Predecessors|Industry|Diagnostics & Research|11|0.45454545454545453|14
Bullish Engulfing With Four Black Predecessors|Industry|Software - Application|29|0.41379310344827586|14
Bullish Engulfing With Four Black Predecessors|Industry|Engineering & Construction|10|0.4|19
Bullish Engulfing With Four Black Predecessors|Industry|Drug Manufacturers - Specialty & Generic|16|0.3125|6
Bullish Engulfing With Four Black Predecessors|Industry|Consulting Services|11|0.2727272727272727|29
