Name|Code|Industry|Sector|Entry Date|Entry Price Point|Entry Price|Result Up Date|Result Up Price Point|Result Up Price|Result Down Date|Result Down Price Point|Result Down Price|Result Direction|Trading Days|Calendar Days
Bullish Engulfing With Four Black Predecessors|AAN|SERVICES-EQUIPMENT RENTAL & LEASING, NEC||2/27/2015|Close|29.8100|4/24/2015|High|33.0000|10/30/2015|Low|23.7400|Up|40|56
Bullish Engulfing With Four Black Predecessors|ABM|SERVICES-TO DWELLINGS & OTHER BUILDINGS||10/2/2015|Close|27.5800|2/12/2016|High|30.5500||||Up|95|133
Bullish Engulfing With Four Black Predecessors|ACAD|PHARMACEUTICAL PREPARATIONS||9/7/2016|Close|32.0000|9/19/2016|High|35.2100|10/4/2016|Low|28.4000|Up|8|12
Bullish Engulfing With Four Black Predecessors|ACHC|SERVICES-SPECIALTY OUTPATIENT FACILITIES, NEC||11/2/2016|Close|37.0900|11/10/2016|High|41.2000||||Up|6|8
Bullish Engulfing With Four Black Predecessors|ADBE|SERVICES-PREPACKAGED SOFTWARE||8/5/2014|Close|68.9700|12/12/2014|High|77.5600|10/13/2014|Low|61.5301|Down|49|69
Bullish Engulfing With Four Black Predecessors|ADI|SEMICONDUCTORS & RELATED DEVICES||10/8/2014|Close|47.7500|11/26/2014|High|54.6874|10/10/2014|Low|42.5700|Down|2|2
Bullish Engulfing With Four Black Predecessors|ADM|FATS & OILS||8/12/2015|Close|46.8900||||9/22/2015|Low|42.1600|Down|29|41
Bullish Engulfing With Four Black Predecessors|ADPT|BIOLOGICAL PRODUCTS, (NO DISGNOSTIC SUBSTANCES)||6/14/2016|Close|53.0200||||6/24/2016|Low|47.2200|Down|8|10
Bullish Engulfing With Four Black Predecessors|ADPT|BIOLOGICAL PRODUCTS, (NO DISGNOSTIC SUBSTANCES)||10/31/2016|Close|30.1200||||11/1/2016|Low|24.9500|Down|1|1
Bullish Engulfing With Four Black Predecessors|ADTN|TELEPHONE & TELEGRAPH APPARATUS||9/24/2015|Close|14.7100|11/19/2015|High|16.5100||||Up|40|56
Bullish Engulfing With Four Black Predecessors|ADUS|SERVICES-HOME HEALTH CARE SERVICES||11/13/2015|Close|19.8800|11/17/2015|High|22.4500|3/10/2016|Low|16.8200|Up|2|4
Bullish Engulfing With Four Black Predecessors|AE|WHOLESALE-PETROLEUM & PETROLEUM PRODUCTS (NO BULK STATIONS)||5/26/2015|Close|41.5100|6/9/2015|High|46.2500|12/14/2015|Low|34.2600|Up|10|14
Bullish Engulfing With Four Black Predecessors|AEO|RETAIL-FAMILY CLOTHING STORES||4/23/2015|Close|17.1000|8/11/2016|High|19.1200|8/24/2015|Low|14.1700|Down|87|123
Bullish Engulfing With Four Black Predecessors|AFGE|FIRE, MARINE & CASUALTY INSURANCE||1/15/2016|Close|25.8000|||||||||
Bullish Engulfing With Four Black Predecessors|AFT|||1/21/2016|Close|14.2300|4/22/2016|High|15.6900||||Up|66|92
Bullish Engulfing With Four Black Predecessors|AGCO|FARM MACHINERY & EQUIPMENT||8/5/2014|Close|48.2800|6/19/2015|High|53.6800|10/7/2014|Low|42.0000|Down|45|63
Bullish Engulfing With Four Black Predecessors|AIT|WHOLESALE-MACHINERY, EQUIPMENT & SUPPLIES||7/7/2015|Close|39.4600|11/2/2015|High|43.5400||||Up|84|118
Bullish Engulfing With Four Black Predecessors|AIT|WHOLESALE-MACHINERY, EQUIPMENT & SUPPLIES||7/27/2015|Close|38.5500|8/31/2015|High|42.6500||||Up|25|35
Bullish Engulfing With Four Black Predecessors|AKO.A|||3/16/2015|Close|12.7300|4/30/2015|High|15.3400||||Up|33|45
Bullish Engulfing With Four Black Predecessors|AKR|REAL ESTATE INVESTMENT TRUSTS||8/9/2016|Close|36.5700||||11/1/2016|Low|32.5600|Down|60|84
Bullish Engulfing With Four Black Predecessors|AL|SERVICES-EQUIPMENT RENTAL & LEASING, NEC||7/7/2015|Close|33.8600||||8/24/2015|Low|28.1201|Down|34|48
Bullish Engulfing With Four Black Predecessors|ALE|ELECTRIC & OTHER SERVICES COMBINED||6/16/2014|Close|48.2000|11/3/2014|High|53.2600||||Up|100|140
Bullish Engulfing With Four Black Predecessors|ALG|FARM MACHINERY & EQUIPMENT||7/22/2015|Close|52.1600|11/30/2015|High|57.5100|8/6/2015|Low|46.0700|Down|11|15
Bullish Engulfing With Four Black Predecessors|ALL|FIRE, MARINE & CASUALTY INSURANCE||9/11/2014|Close|61.2100|11/19/2014|High|67.4000|8/24/2015|Low|54.1200|Up|49|69
Bullish Engulfing With Four Black Predecessors|ALX|REAL ESTATE INVESTMENT TRUSTS||9/26/2014|Close|389.2400|10/23/2014|High|430.0000|2/3/2016|Low|350.0300|Up|19|27
Bullish Engulfing With Four Black Predecessors|AMID|||11/2/2016|Close|13.9000|12/2/2016|High|15.3500||||Up|22|30
Bullish Engulfing With Four Black Predecessors|AMSF|FIRE, MARINE & CASUALTY INSURANCE||11/4/2016|Close|54.8500|11/11/2016|High|62.7500||||Up|5|7
Bullish Engulfing With Four Black Predecessors|ANF|RETAIL-FAMILY CLOTHING STORES||12/3/2014|Close|28.8100|3/4/2016|High|32.8100|1/20/2015|Low|25.4600|Down|34|48
Bullish Engulfing With Four Black Predecessors|AOR|||9/24/2014|Close|39.8500||||8/24/2015|Low|26.7000|Down|238|334
Bullish Engulfing With Four Black Predecessors|AOS|HOUSEHOLD APPLIANCES||9/24/2014|Close|24.2950|10/31/2014|High|26.7300||||Up|27|37
Bullish Engulfing With Four Black Predecessors|AP|PUMPS & PUMPING EQUIPMENT||7/18/2014|Close|21.3200||||10/10/2014|Low|18.5400|Down|60|84
