Name,Category,Sub Category,Number Signals,Success %,Avg Duration
Bullish Engulfing With Four Black Predecessors,Sector,Communication Services,16,0.75,20
Bullish Engulfing With Four Black Predecessors,Sector,Real Estate,16,0.75,56
Bullish Engulfing With Four Black Predecessors,Sector,Consumer Cyclical,33,0.6363636363636364,16
Bullish Engulfing With Four Black Predecessors,Sector,Consumer Defensive,21,0.6190476190476191,63
Bullish Engulfing With Four Black Predecessors,Sector,Utilities,10,0.6,90
Bullish Engulfing With Four Black Predecessors,Sector,Technology,42,0.5952380952380952,13
Bullish Engulfing With Four Black Predecessors,Overall,All,1197,0.5939849624060151,50
Bullish Engulfing With Four Black Predecessors,Sector,Financial Services,45,0.5777777777777777,49
Bullish Engulfing With Four Black Predecessors,Sector,Basic Materials,16,0.5625,9
Bullish Engulfing With Four Black Predecessors,Sector,Energy,13,0.5384615384615384,18
Bullish Engulfing With Four Black Predecessors,Sector,Healthcare,88,0.5227272727272727,11
Bullish Engulfing With Four Black Predecessors,Industry,Banks - Regional,27,0.5185185185185185,42
Bullish Engulfing With Four Black Predecessors,Sector,Industrials,40,0.475,18
Bullish Engulfing With Four Black Predecessors,Industry,Biotechnology,47,0.44680851063829785,10
Bullish Engulfing With Four Black Predecessors,Industry,Software - Application,11,0.2727272727272727,12
