Name,Category,Sub Category,Number Signals,Success %,Avg Duration
Bullish Engulfing With Four Black Predecessors,Industry,Insurance - Specialty,12,0.9166666666666666,211
Bullish Engulfing With Four Black Predecessors,Industry,Insurance - Diversified,13,0.8461538461538461,286
Bullish Engulfing With Four Black Predecessors,Industry,Specialty Business Services,18,0.8333333333333334,160
Bullish Engulfing With Four Black Predecessors,Industry,Semiconductor Equipment & Materials,13,0.7692307692307693,113
Bullish Engulfing With Four Black Predecessors,Industry,Scientific & Technical Instruments,17,0.7647058823529411,106
Bullish Engulfing With Four Black Predecessors,Industry,Semiconductors,20,0.75,109
Bullish Engulfing With Four Black Predecessors,Industry,Packaging & Containers,12,0.75,218
Bullish Engulfing With Four Black Predecessors,Industry,REIT - Residential,15,0.7333333333333333,356
Bullish Engulfing With Four Black Predecessors,Industry,Entertainment,26,0.7307692307692307,96
Bullish Engulfing With Four Black Predecessors,Industry,Capital Markets,11,0.7272727272727273,47
Bullish Engulfing With Four Black Predecessors,Industry,Chemicals,11,0.7272727272727273,96
Bullish Engulfing With Four Black Predecessors,Industry,REIT - Office,27,0.7037037037037037,257
Bullish Engulfing With Four Black Predecessors,Industry,Farm Products,19,0.6842105263157895,169
Bullish Engulfing With Four Black Predecessors,Industry,Auto & Truck Dealerships,15,0.6666666666666666,32
Bullish Engulfing With Four Black Predecessors,Industry,Advertising Agencies,15,0.6666666666666666,41
Bullish Engulfing With Four Black Predecessors,Industry,Aerospace & Defense,33,0.6666666666666666,118
Bullish Engulfing With Four Black Predecessors,Industry,Credit Services,15,0.6666666666666666,137
Bullish Engulfing With Four Black Predecessors,Industry,Industrial Distribution,18,0.6666666666666666,140
Bullish Engulfing With Four Black Predecessors,Industry,Integrated Freight & Logistics,12,0.6666666666666666,142
Bullish Engulfing With Four Black Predecessors,Industry,Specialty Industrial Machinery,50,0.66,100
Bullish Engulfing With Four Black Predecessors,Industry,Utilities - Regulated Electric,38,0.6578947368421053,331
Bullish Engulfing With Four Black Predecessors,Industry,Communication Equipment,31,0.6451612903225806,91
Bullish Engulfing With Four Black Predecessors,Industry,Specialty Retail,28,0.6428571428571429,169
Bullish Engulfing With Four Black Predecessors,Industry,Electrical Equipment & Parts,22,0.6363636363636364,81
Bullish Engulfing With Four Black Predecessors,Industry,Real Estate Services,11,0.6363636363636364,190
Bullish Engulfing With Four Black Predecessors,Industry,Information Technology Services,30,0.6333333333333333,178
Bullish Engulfing With Four Black Predecessors,Industry,Engineering & Construction,27,0.6296296296296297,83
Bullish Engulfing With Four Black Predecessors,Sector,Utilities,66,0.6212121212121212,322
Bullish Engulfing With Four Black Predecessors,Industry,Household & Personal Products,13,0.6153846153846154,59
Bullish Engulfing With Four Black Predecessors,Industry,Oil & Gas Refining & Marketing,18,0.6111111111111112,49
Bullish Engulfing With Four Black Predecessors,Sector,Communication Services,99,0.6060606060606061,93
Bullish Engulfing With Four Black Predecessors,Sector,Basic Materials,99,0.6060606060606061,135
Bullish Engulfing With Four Black Predecessors,Industry,Electronic Gaming & Multimedia,10,0.6,40
Bullish Engulfing With Four Black Predecessors,Industry,Resorts & Casinos,15,0.6,53
Bullish Engulfing With Four Black Predecessors,Industry,Conglomerates,10,0.6,61
Bullish Engulfing With Four Black Predecessors,Industry,Recreational Vehicles,10,0.6,111
Bullish Engulfing With Four Black Predecessors,Industry,Home Improvement Retail,10,0.6,124
Bullish Engulfing With Four Black Predecessors,Sector,Technology,251,0.5976095617529881,95
Bullish Engulfing With Four Black Predecessors,Sector,Industrials,322,0.5962732919254659,116
Bullish Engulfing With Four Black Predecessors,Sector,Financial Services,336,0.5922619047619048,178
