Name|Category|Sub Category|Number Signals|Success %|Avg Duration
Bullish Engulfing With Four Black Predecessors|Sector|Communication Services|13|0.8461538461538461|18
Bullish Engulfing With Four Black Predecessors|Sector|Energy|13|0.7692307692307693|30
Bullish Engulfing With Four Black Predecessors|Sector|Real Estate|12|0.6666666666666666|37
Bullish Engulfing With Four Black Predecessors|Sector|Consumer Defensive|21|0.6666666666666666|59
Bullish Engulfing With Four Black Predecessors|Sector|Basic Materials|12|0.5833333333333334|11
Bullish Engulfing With Four Black Predecessors|Overall|All|1206|0.5762852404643449|50
Bullish Engulfing With Four Black Predecessors|Sector|Industrials|45|0.5333333333333333|20
Bullish Engulfing With Four Black Predecessors|Sector|Technology|47|0.5319148936170213|10
Bullish Engulfing With Four Black Predecessors|Sector|Consumer Cyclical|37|0.5135135135135135|19
Bullish Engulfing With Four Black Predecessors|Industry|Software - Application|15|0.4666666666666667|8
Bullish Engulfing With Four Black Predecessors|Industry|Drug Manufacturers - Specialty & Generic|11|0.45454545454545453|4
Bullish Engulfing With Four Black Predecessors|Sector|Healthcare|80|0.4375|12
Bullish Engulfing With Four Black Predecessors|Sector|Financial Services|53|0.4339622641509434|45
Bullish Engulfing With Four Black Predecessors|Industry|Software - Infrastructure|10|0.4|18
Bullish Engulfing With Four Black Predecessors|Industry|Biotechnology|40|0.375|11
Bullish Engulfing With Four Black Predecessors|Industry|Banks - Regional|32|0.34375|29
