Name,Category,Sub Category,Number Signals,Success %,Avg Duration
Bullish Engulfing With Four Black Predecessors,Sector,Communication Services,16,0.625,53
Bullish Engulfing With Four Black Predecessors,Sector,Industrials,40,0.625,80
Bullish Engulfing With Four Black Predecessors,Sector,Financial Services,45,0.6,135
Bullish Engulfing With Four Black Predecessors,Sector,Utilities,10,0.6,284
Bullish Engulfing With Four Black Predecessors,Sector,Technology,42,0.5952380952380952,50
Bullish Engulfing With Four Black Predecessors,Industry,Banks - Regional,27,0.5925925925925926,182
Bullish Engulfing With Four Black Predecessors,Overall,All,1197,0.556390977443609,147
Bullish Engulfing With Four Black Predecessors,Sector,Consumer Cyclical,33,0.5151515151515151,58
Bullish Engulfing With Four Black Predecessors,Sector,Healthcare,88,0.5,43
Bullish Engulfing With Four Black Predecessors,Sector,Basic Materials,16,0.5,60
Bullish Engulfing With Four Black Predecessors,Sector,Real Estate,16,0.5,204
Bullish Engulfing With Four Black Predecessors,Sector,Consumer Defensive,21,0.47619047619047616,82
Bullish Engulfing With Four Black Predecessors,Industry,Biotechnology,47,0.44680851063829785,24
Bullish Engulfing With Four Black Predecessors,Sector,Energy,13,0.38461538461538464,130
Bullish Engulfing With Four Black Predecessors,Industry,Software - Application,11,0.2727272727272727,19
