Name,Category,Sub Category,Number Signals,Success %,Avg Duration
Bullish Engulfing With Four Black Predecessors,Sector,Industrials,41,0.6097560975609756,81
Bullish Engulfing With Four Black Predecessors,Sector,Communication Services,15,0.6,47
Bullish Engulfing With Four Black Predecessors,Sector,Technology,40,0.6,50
Bullish Engulfing With Four Black Predecessors,Industry,Banks - Regional,25,0.6,215
Bullish Engulfing With Four Black Predecessors,Sector,Financial Services,44,0.5909090909090909,152
Bullish Engulfing With Four Black Predecessors,Overall,All,1152,0.5590277777777778,147
Bullish Engulfing With Four Black Predecessors,Sector,Consumer Cyclical,32,0.53125,58
Bullish Engulfing With Four Black Predecessors,Sector,Real Estate,16,0.5,204
Bullish Engulfing With Four Black Predecessors,Sector,Healthcare,85,0.49411764705882355,45
Bullish Engulfing With Four Black Predecessors,Sector,Consumer Defensive,21,0.47619047619047616,82
Bullish Engulfing With Four Black Predecessors,Sector,Basic Materials,15,0.4666666666666667,14
Bullish Engulfing With Four Black Predecessors,Industry,Biotechnology,45,0.4444444444444444,24
Bullish Engulfing With Four Black Predecessors,Sector,Energy,12,0.4166666666666667,130
Bullish Engulfing With Four Black Predecessors,Industry,Software - Application,10,0.3,19
