Name|Category|Sub Category|Number Signals|Success %|Avg Duration
Bullish Engulfing With Four Black Predecessors|Sector|Communication Services|17|0.8235294117647058|22
Bullish Engulfing With Four Black Predecessors|Sector|Energy|16|0.75|21
Bullish Engulfing With Four Black Predecessors|Sector|Consumer Defensive|21|0.6666666666666666|66
Bullish Engulfing With Four Black Predecessors|Sector|Technology|23|0.5217391304347826|17
Bullish Engulfing With Four Black Predecessors|Overall|All|879|0.5210466439135382|59
Bullish Engulfing With Four Black Predecessors|Sector|Consumer Cyclical|25|0.52|27
Bullish Engulfing With Four Black Predecessors|Sector|Healthcare|77|0.5194805194805194|17
Bullish Engulfing With Four Black Predecessors|Industry|Biotechnology|37|0.4864864864864865|12
Bullish Engulfing With Four Black Predecessors|Sector|Financial Services|39|0.46153846153846156|70
Bullish Engulfing With Four Black Predecessors|Industry|Banks - Regional|29|0.41379310344827586|47
Bullish Engulfing With Four Black Predecessors|Sector|Basic Materials|20|0.4|5
Bullish Engulfing With Four Black Predecessors|Sector|Industrials|42|0.3333333333333333|22
