Name,Code,Industry,Sector,Entry Date,Entry Price Point,Entry Price,Result Up Date,Result Up Price Point,Result Up Price,Result Down Date,Result Down Price Point,Result Down Price,Result Direction,Trading Days,Calendar Days
Bullish Engulfing With Four Black Predecessors,ABCB.US,Banks - Regional,Financial Services,7/26/2007,Close,18.8420,8/17/2007,High,22.6359,11/1/2007,Low,14.7664,Up,16,22
Bullish Engulfing With Four Black Predecessors,ABCB.US,Banks - Regional,Financial Services,9/25/2023,Close,37.8400,12/1/2023,High,45.4160,,,,Up,49,67
Bullish Engulfing With Four Black Predecessors,ABEO.US,Biotechnology,Healthcare,2/2/2005,Close,17437.5000,,,,3/28/2005,Low,13875.0000,Down,38,54
Bullish Engulfing With Four Black Predecessors,ABEO.US,Biotechnology,Healthcare,8/17/2005,Close,6062.5000,10/10/2005,High,8125.0000,8/19/2005,Low,4750.0000,Down,2,2
Bullish Engulfing With Four Black Predecessors,ABG.US,Auto & Truck Dealerships,Consumer Cyclical,4/19/2005,Close,14.0500,7/19/2005,High,16.9100,7/3/2008,Low,10.9600,Up,65,91
Bullish Engulfing With Four Black Predecessors,ABG.US,Auto & Truck Dealerships,Consumer Cyclical,4/6/2022,Close,156.7800,4/29/2022,High,189.9900,,,,Up,17,23
Bullish Engulfing With Four Black Predecessors,ABM.US,Specialty Business Services,Industrials,12/14/2007,Close,19.8100,6/16/2008,High,23.9900,10/9/2008,Low,14.2900,Up,131,185
Bullish Engulfing With Four Black Predecessors,ACB.US,Drug Manufacturers - Specialty & Generic,Healthcare,5/14/2020,Close,66.4000,5/15/2020,High,118.8000,9/23/2020,Low,51.4000,Up,1,1
Bullish Engulfing With Four Black Predecessors,ACET.US,Biotechnology,Healthcare,2/4/2021,Close,12.5400,2/10/2021,High,17.8000,6/21/2021,Low,9.8257,Up,4,6
Bullish Engulfing With Four Black Predecessors,ACHC.US,Medical Care Facilities,Healthcare,8/11/2011,Close,9.2000,1/6/2012,High,11.8100,12/5/2011,Low,7.2000,Down,82,116
Bullish Engulfing With Four Black Predecessors,ACN.US,Information Technology Services,Technology,10/13/2022,Close,257.4600,5/30/2023,High,318.9100,,,,Up,163,229
Bullish Engulfing With Four Black Predecessors,ACOR.US,Drug Manufacturers - Specialty & Generic,Healthcare,10/27/2021,Close,82.8000,,,,11/22/2021,Low,64.8000,Down,18,26
Bullish Engulfing With Four Black Predecessors,ACVF.US,,,10/13/2022,Close,27.5300,5/26/2023,High,33.9500,,,,Up,161,225
Bullish Engulfing With Four Black Predecessors,ACWI.US,,,10/13/2022,Close,79.2700,6/13/2023,High,95.2050,,,,Up,173,243
Bullish Engulfing With Four Black Predecessors,ACWX.US,,,10/13/2022,Close,40.3800,1/12/2023,High,48.8050,,,,Up,65,91
Bullish Engulfing With Four Black Predecessors,ADD.US,Entertainment,Communication Services,9/7/2012,Close,216.0000,9/25/2012,High,283.2000,9/26/2012,Low,172.8000,Up,12,18
Bullish Engulfing With Four Black Predecessors,ADD.US,Entertainment,Communication Services,10/17/2018,Close,148.0000,10/18/2018,High,253.6000,10/19/2018,Low,104.0000,Up,1,1
Bullish Engulfing With Four Black Predecessors,ADIL.US,Biotechnology,Healthcare,2/6/2024,Close,1.2000,2/14/2024,High,2.2300,2/21/2024,Low,0.9294,Up,6,8
Bullish Engulfing With Four Black Predecessors,ADI.US,Semiconductors,Technology,10/13/2022,Close,142.7500,11/23/2022,High,173.3000,,,,Up,29,41
Bullish Engulfing With Four Black Predecessors,ADTN.US,Communication Equipment,Technology,5/8/2002,Close,11.7000,11/4/2002,High,14.5800,6/26/2002,Low,9.1100,Down,35,49
Bullish Engulfing With Four Black Predecessors,ADTN.US,Communication Equipment,Technology,9/24/2015,Close,14.7100,12/17/2015,High,18.2000,12/10/2018,Low,11.5800,Up,60,84
Bullish Engulfing With Four Black Predecessors,ADVM.US,Biotechnology,Healthcare,10/27/2015,Close,80.3000,11/25/2015,High,99.6000,1/12/2016,Low,60.6000,Up,21,29
Bullish Engulfing With Four Black Predecessors,ADVM.US,Biotechnology,Healthcare,1/4/2021,Close,119.8000,1/20/2021,High,147.9000,3/24/2021,Low,92.3000,Up,12,16
Bullish Engulfing With Four Black Predecessors,ADVM.US,Biotechnology,Healthcare,3/17/2021,Close,107.6000,,,,4/16/2021,Low,85.8000,Down,22,30
Bullish Engulfing With Four Black Predecessors,AEIS.US,Electrical Equipment & Parts,Industrials,10/3/2001,Close,16.5300,10/26/2001,High,21.8200,7/24/2002,Low,12.7000,Up,17,23
Bullish Engulfing With Four Black Predecessors,AEIS.US,Electrical Equipment & Parts,Industrials,10/13/2022,Close,73.8600,11/11/2022,High,93.3200,,,,Up,21,29
Bullish Engulfing With Four Black Predecessors,AEL.US,Insurance - Life,Financial Services,8/15/2005,Close,10.8200,12/16/2005,High,13.0200,11/2/2007,Low,8.5250,Up,89,123
Bullish Engulfing With Four Black Predecessors,AEMD.US,Medical Devices,Healthcare,12/27/2019,Close,9.2000,1/2/2020,High,13.0000,9/21/2022,Low,7.3300,Up,4,6
Bullish Engulfing With Four Black Predecessors,AEP.US,Utilities - Regulated Electric,Utilities,3/17/1997,Close,40.7500,11/24/1997,High,49.1875,11/22/1999,Low,32.0000,Up,180,252
Bullish Engulfing With Four Black Predecessors,AFRM.US,Software - Infrastructure,Technology,5/12/2022,Close,18.0400,5/13/2022,High,25.3200,11/9/2022,Low,11.9350,Up,1,1
Bullish Engulfing With Four Black Predecessors,AGCO.US,Farm & Heavy Construction Machinery,Industrials,10/26/2018,Close,51.2100,12/3/2018,High,63.1800,3/18/2020,Low,35.3300,Up,26,38
Bullish Engulfing With Four Black Predecessors,AGEN.US,Biotechnology,Healthcare,3/17/2003,Close,9420.4800,4/24/2003,High,11445.9600,8/11/2004,Low,7477.5600,Up,28,38
Bullish Engulfing With Four Black Predecessors,AGFY.US,Engineering & Construction,Industrials,8/22/2023,Close,2.4500,8/31/2023,High,3.1000,10/23/2023,Low,1.4400,Up,7,9
Bullish Engulfing With Four Black Predecessors,AGGY.US,,,2/5/2018,Close,49.8416,,,,,,,,,
Bullish Engulfing With Four Black Predecessors,AGRI.US,Farm Products,Consumer Defensive,3/13/2024,Close,0.1681,3/19/2024,High,0.2239,,,,Up,4,6
Bullish Engulfing With Four Black Predecessors,AGRX.US,Drug Manufacturers - Specialty & Generic,Healthcare,5/23/2023,Close,4.0100,,,,6/15/2023,Low,3.0700,Down,17,23
Bullish Engulfing With Four Black Predecessors,AGX.US,Engineering & Construction,Industrials,12/11/2019,Close,35.8400,1/16/2020,High,43.3100,,,,Up,26,36
