Name,Category,Sub Category,Number Signals,Success %,Avg Duration
Bullish Engulfing With Four Black Predecessors,Industry,Medical Devices,16,0.6875,78
Bullish Engulfing With Four Black Predecessors,Industry,Asset Management,19,0.6842105263157895,122
Bullish Engulfing With Four Black Predecessors,Sector,Communication Services,30,0.6666666666666666,78
Bullish Engulfing With Four Black Predecessors,Industry,Communication Equipment,11,0.6363636363636364,47
Bullish Engulfing With Four Black Predecessors,Industry,Specialty Industrial Machinery,11,0.6363636363636364,106
Bullish Engulfing With Four Black Predecessors,Industry,Banks - Regional,62,0.6290322580645161,183
Bullish Engulfing With Four Black Predecessors,Industry,Software - Infrastructure,16,0.625,54
Bullish Engulfing With Four Black Predecessors,Industry,Engineering & Construction,10,0.6,84
Bullish Engulfing With Four Black Predecessors,Industry,Medical Care Facilities,10,0.6,104
Bullish Engulfing With Four Black Predecessors,Sector,Financial Services,109,0.5963302752293578,155
Bullish Engulfing With Four Black Predecessors,Sector,Utilities,17,0.5882352941176471,383
Bullish Engulfing With Four Black Predecessors,Sector,Consumer Defensive,40,0.575,142
Bullish Engulfing With Four Black Predecessors,Sector,Technology,89,0.5730337078651685,69
Bullish Engulfing With Four Black Predecessors,Overall,All,2235,0.5494407158836689,143
Bullish Engulfing With Four Black Predecessors,Sector,Consumer Cyclical,70,0.5428571428571428,65
Bullish Engulfing With Four Black Predecessors,Industry,Medical Instruments & Supplies,13,0.5384615384615384,101
Bullish Engulfing With Four Black Predecessors,Sector,Basic Materials,32,0.53125,108
Bullish Engulfing With Four Black Predecessors,Sector,Industrials,98,0.5306122448979592,99
Bullish Engulfing With Four Black Predecessors,Industry,Apparel Retail,10,0.5,57
Bullish Engulfing With Four Black Predecessors,Industry,Electrical Equipment & Parts,10,0.5,129
Bullish Engulfing With Four Black Predecessors,Industry,Packaged Foods,12,0.5,273
Bullish Engulfing With Four Black Predecessors,Sector,Healthcare,161,0.4968944099378882,51
Bullish Engulfing With Four Black Predecessors,Industry,Biotechnology,80,0.475,22
Bullish Engulfing With Four Black Predecessors,Sector,Energy,28,0.4642857142857143,125
Bullish Engulfing With Four Black Predecessors,Sector,Real Estate,33,0.45454545454545453,254
Bullish Engulfing With Four Black Predecessors,Industry,Software - Application,32,0.4375,53
Bullish Engulfing With Four Black Predecessors,Industry,Diagnostics & Research,14,0.42857142857142855,88
Bullish Engulfing With Four Black Predecessors,Industry,Drug Manufacturers - Specialty & Generic,14,0.35714285714285715,24
Bullish Engulfing With Four Black Predecessors,Industry,Consulting Services,10,0.3,201
