Name|Category|Sub Category|Number Signals|Success %|Avg Duration
Bullish Engulfing With Four Black Predecessors|Industry|Auto & Truck Dealerships|12|0.8333333333333334|14
Bullish Engulfing With Four Black Predecessors|Industry|Scientific & Technical Instruments|12|0.8333333333333334|15
Bullish Engulfing With Four Black Predecessors|Industry|Specialty Business Services|14|0.7857142857142857|51
Bullish Engulfing With Four Black Predecessors|Industry|Telecom Services|23|0.7391304347826086|29
Bullish Engulfing With Four Black Predecessors|Sector|Utilities|42|0.7380952380952381|98
Bullish Engulfing With Four Black Predecessors|Industry|Resorts & Casinos|14|0.7142857142857143|10
Bullish Engulfing With Four Black Predecessors|Industry|Medical Care Facilities|17|0.7058823529411765|14
Bullish Engulfing With Four Black Predecessors|Sector|Communication Services|69|0.6956521739130435|31
Bullish Engulfing With Four Black Predecessors|Industry|Oil & Gas Refining & Marketing|13|0.6923076923076923|24
Bullish Engulfing With Four Black Predecessors|Industry|Aerospace & Defense|19|0.6842105263157895|28
Bullish Engulfing With Four Black Predecessors|Industry|Utilities - Regulated Electric|25|0.68|132
Bullish Engulfing With Four Black Predecessors|Industry|Asset Management|40|0.675|57
Bullish Engulfing With Four Black Predecessors|Industry|Electrical Equipment & Parts|18|0.6666666666666666|17
Bullish Engulfing With Four Black Predecessors|Industry|Entertainment|18|0.6666666666666666|44
Bullish Engulfing With Four Black Predecessors|Industry|Specialty Retail|20|0.65|19
Bullish Engulfing With Four Black Predecessors|Industry|Oil & Gas Midstream|17|0.6470588235294118|29
Bullish Engulfing With Four Black Predecessors|Industry|Household & Personal Products|11|0.6363636363636364|32
Bullish Engulfing With Four Black Predecessors|Industry|Building Products & Equipment|11|0.6363636363636364|36
Bullish Engulfing With Four Black Predecessors|Industry|REIT - Office|11|0.6363636363636364|44
Bullish Engulfing With Four Black Predecessors|Industry|Specialty Industrial Machinery|41|0.6341463414634146|19
Bullish Engulfing With Four Black Predecessors|Sector|Basic Materials|69|0.6231884057971014|24
Bullish Engulfing With Four Black Predecessors|Industry|Packaged Foods|21|0.6190476190476191|63
Bullish Engulfing With Four Black Predecessors|Industry|Information Technology Services|23|0.6086956521739131|35
Bullish Engulfing With Four Black Predecessors|Sector|Consumer Cyclical|211|0.5876777251184834|21
Bullish Engulfing With Four Black Predecessors|Industry|Residential Construction|12|0.5833333333333334|8
Bullish Engulfing With Four Black Predecessors|Industry|Furnishings, Fixtures & Appliances|12|0.5833333333333334|8
Bullish Engulfing With Four Black Predecessors|Industry|Internet Content & Information|12|0.5833333333333334|20
Bullish Engulfing With Four Black Predecessors|Industry|Specialty Chemicals|24|0.5833333333333334|23
Bullish Engulfing With Four Black Predecessors|Overall|All|4701|0.5771112529249096|44
Bullish Engulfing With Four Black Predecessors|Industry|Restaurants|26|0.5769230769230769|35
Bullish Engulfing With Four Black Predecessors|Industry|Industrial Distribution|14|0.5714285714285714|28
Bullish Engulfing With Four Black Predecessors|Sector|Technology|187|0.5668449197860963|23
Bullish Engulfing With Four Black Predecessors|Sector|Consumer Defensive|78|0.5641025641025641|47
Bullish Engulfing With Four Black Predecessors|Sector|Industrials|235|0.5617021276595745|25
Bullish Engulfing With Four Black Predecessors|Industry|Communication Equipment|25|0.56|55
Bullish Engulfing With Four Black Predecessors|Sector|Financial Services|232|0.5560344827586207|61
Bullish Engulfing With Four Black Predecessors|Industry|Software - Infrastructure|27|0.5555555555555556|22
