Name,Category,Sub Category,Number Signals,Success %,Avg Duration
Bullish Engulfing With Four Black Predecessors,Industry,Asset Management,19,0.7894736842105263,41
Bullish Engulfing With Four Black Predecessors,Sector,Communication Services,30,0.7666666666666667,20
Bullish Engulfing With Four Black Predecessors,Sector,Utilities,17,0.7647058823529411,72
Bullish Engulfing With Four Black Predecessors,Industry,Packaged Foods,12,0.75,44
Bullish Engulfing With Four Black Predecessors,Industry,Medical Care Facilities,10,0.7,18
Bullish Engulfing With Four Black Predecessors,Industry,Communication Equipment,11,0.6363636363636364,27
Bullish Engulfing With Four Black Predecessors,Industry,Medical Devices,16,0.625,14
Bullish Engulfing With Four Black Predecessors,Industry,Medical Instruments & Supplies,13,0.6153846153846154,48
Bullish Engulfing With Four Black Predecessors,Sector,Consumer Cyclical,70,0.6,17
Bullish Engulfing With Four Black Predecessors,Industry,Apparel Retail,10,0.6,21
Bullish Engulfing With Four Black Predecessors,Industry,Electrical Equipment & Parts,10,0.6,26
Bullish Engulfing With Four Black Predecessors,Sector,Consumer Defensive,40,0.6,56
Bullish Engulfing With Four Black Predecessors,Sector,Financial Services,109,0.5871559633027523,50
Bullish Engulfing With Four Black Predecessors,Overall,All,2235,0.5861297539149888,44
Bullish Engulfing With Four Black Predecessors,Sector,Technology,89,0.5730337078651685,19
Bullish Engulfing With Four Black Predecessors,Industry,Diagnostics & Research,14,0.5714285714285714,13
Bullish Engulfing With Four Black Predecessors,Sector,Energy,28,0.5714285714285714,22
Bullish Engulfing With Four Black Predecessors,Industry,Banks - Regional,62,0.5645161290322581,51
Bullish Engulfing With Four Black Predecessors,Sector,Basic Materials,32,0.5625,15
Bullish Engulfing With Four Black Predecessors,Industry,Software - Infrastructure,16,0.5625,17
Bullish Engulfing With Four Black Predecessors,Industry,Specialty Industrial Machinery,11,0.5454545454545454,14
Bullish Engulfing With Four Black Predecessors,Sector,Real Estate,33,0.5454545454545454,50
Bullish Engulfing With Four Black Predecessors,Sector,Healthcare,161,0.5403726708074534,14
Bullish Engulfing With Four Black Predecessors,Industry,Biotechnology,80,0.5125,8
Bullish Engulfing With Four Black Predecessors,Sector,Industrials,98,0.4387755102040816,22
Bullish Engulfing With Four Black Predecessors,Industry,Software - Application,32,0.40625,14
Bullish Engulfing With Four Black Predecessors,Industry,Engineering & Construction,10,0.4,19
Bullish Engulfing With Four Black Predecessors,Industry,Consulting Services,10,0.3,29
Bullish Engulfing With Four Black Predecessors,Industry,Drug Manufacturers - Specialty & Generic,14,0.2857142857142857,2
