Id|Signal Name|Result Direction|Count|Percentage|Description
0cc2783c|Bullish Engulfing With Four Black Predecessors|Down|986|0.40310711365494684|move: 0.1;prologue len: 30;trend desc: S50C;vol factor: 1.5;use market: False
0cc2783c|Bullish Engulfing With Four Black Predecessors|Up|1429|0.5842191332788226|move: 0.1;prologue len: 30;trend desc: S50C;vol factor: 1.5;use market: False
0cc2783c|Bullish Engulfing With Four Black Predecessors||31|0.012673753066230581|move: 0.1;prologue len: 30;trend desc: S50C;vol factor: 1.5;use market: False
10bed5cb|Bullish Engulfing With Four Black Predecessors|Down|485|0.3901850362027353|move: 0.1;prologue len: 30;trend desc: S21C;vol factor: 2;use market: False
10bed5cb|Bullish Engulfing With Four Black Predecessors|Up|741|0.5961383748994369|move: 0.1;prologue len: 30;trend desc: S21C;vol factor: 2;use market: False
10bed5cb|Bullish Engulfing With Four Black Predecessors||17|0.013676588897827836|move: 0.1;prologue len: 30;trend desc: S21C;vol factor: 2;use market: False
1b0cc187|Bullish Engulfing With Four Black Predecessors|Down|1432|0.46538836529086774|move: 0.1;prologue len: 30;trend desc: S50C;vol factor: 1;use market: True
1b0cc187|Bullish Engulfing With Four Black Predecessors|Up|1589|0.5164120896977575|move: 0.1;prologue len: 30;trend desc: S50C;vol factor: 1;use market: True
1b0cc187|Bullish Engulfing With Four Black Predecessors||56|0.018199545011374715|move: 0.1;prologue len: 30;trend desc: S50C;vol factor: 1;use market: True
1bfc2629|Bullish Engulfing With Four Black Predecessors|Down|1422|0.42071005917159765|move: 0.1;prologue len: 15;trend desc: S21C;vol factor: 1.5;use market: False
1bfc2629|Bullish Engulfing With Four Black Predecessors|Up|1911|0.5653846153846154|move: 0.1;prologue len: 15;trend desc: S21C;vol factor: 1.5;use market: False
1bfc2629|Bullish Engulfing With Four Black Predecessors||47|0.013905325443786982|move: 0.1;prologue len: 15;trend desc: S21C;vol factor: 1.5;use market: False
1d60a143|Bullish Engulfing With Four Black Predecessors|Down|576|0.488135593220339|move: 0.1;prologue len: 15;trend desc: S200C;vol factor: 1.5;use market: True
1d60a143|Bullish Engulfing With Four Black Predecessors|Up|582|0.49322033898305084|move: 0.1;prologue len: 15;trend desc: S200C;vol factor: 1.5;use market: True
1d60a143|Bullish Engulfing With Four Black Predecessors||22|0.01864406779661017|move: 0.1;prologue len: 15;trend desc: S200C;vol factor: 1.5;use market: True
343c3515|Bullish Engulfing With Four Black Predecessors|Down|369|0.3788501026694045|move: 0.1;prologue len: 30;trend desc: S200C;vol factor: 2;use market: False
343c3515|Bullish Engulfing With Four Black Predecessors|Up|589|0.6047227926078029|move: 0.1;prologue len: 30;trend desc: S200C;vol factor: 2;use market: False
343c3515|Bullish Engulfing With Four Black Predecessors||16|0.01642710472279261|move: 0.1;prologue len: 30;trend desc: S200C;vol factor: 2;use market: False
3b20e995|Bullish Engulfing With Four Black Predecessors|Down|292|0.4717285945072698|move: 0.1;prologue len: 15;trend desc: S200C;vol factor: 2;use market: True
3b20e995|Bullish Engulfing With Four Black Predecessors|Up|314|0.5072697899838449|move: 0.1;prologue len: 15;trend desc: S200C;vol factor: 2;use market: True
3b20e995|Bullish Engulfing With Four Black Predecessors||13|0.0210016155088853|move: 0.1;prologue len: 15;trend desc: S200C;vol factor: 2;use market: True
400f0e30|Bullish Engulfing With Four Black Predecessors|Down|703|0.4111111111111111|move: 0.1;prologue len: 15;trend desc: S21C;vol factor: 2;use market: False
400f0e30|Bullish Engulfing With Four Black Predecessors|Up|979|0.572514619883041|move: 0.1;prologue len: 15;trend desc: S21C;vol factor: 2;use market: False
400f0e30|Bullish Engulfing With Four Black Predecessors||28|0.016374269005847954|move: 0.1;prologue len: 15;trend desc: S21C;vol factor: 2;use market: False
47dcd200|Bullish Engulfing With Four Black Predecessors|Down|792|0.47058823529411764|move: 0.1;prologue len: 15;trend desc: S50C;vol factor: 1.5;use market: True
47dcd200|Bullish Engulfing With Four Black Predecessors|Up|865|0.5139631610219846|move: 0.1;prologue len: 15;trend desc: S50C;vol factor: 1.5;use market: True
47dcd200|Bullish Engulfing With Four Black Predecessors||26|0.015448603683897801|move: 0.1;prologue len: 15;trend desc: S50C;vol factor: 1.5;use market: True
4d1af404|Bullish Engulfing With Four Black Predecessors|Down|2485|0.4165968147527242|move: 0.1;prologue len: 30;trend desc: S21C;vol factor: 1;use market: False
4d1af404|Bullish Engulfing With Four Black Predecessors|Up|3398|0.5696563285834032|move: 0.1;prologue len: 30;trend desc: S21C;vol factor: 1;use market: False
4d1af404|Bullish Engulfing With Four Black Predecessors||82|0.01374685666387259|move: 0.1;prologue len: 30;trend desc: S21C;vol factor: 1;use market: False
5143cacd|Bullish Engulfing With Four Black Predecessors|Down|564|0.45890968266883647|move: 0.1;prologue len: 30;trend desc: S50C;vol factor: 1.5;use market: True
5143cacd|Bullish Engulfing With Four Black Predecessors|Up|648|0.5272579332790887|move: 0.1;prologue len: 30;trend desc: S50C;vol factor: 1.5;use market: True
5143cacd|Bullish Engulfing With Four Black Predecessors||17|0.013832384052074858|move: 0.1;prologue len: 30;trend desc: S50C;vol factor: 1.5;use market: True
580eab99|Bullish Engulfing With Four Black Predecessors|Down|281|0.44603174603174606|move: 0.1;prologue len: 30;trend desc: S21C;vol factor: 2;use market: True
580eab99|Bullish Engulfing With Four Black Predecessors|Up|342|0.5428571428571428|move: 0.1;prologue len: 30;trend desc: S21C;vol factor: 2;use market: True
580eab99|Bullish Engulfing With Four Black Predecessors||7|0.011111111111111112|move: 0.1;prologue len: 30;trend desc: S21C;vol factor: 2;use market: True
5a7bc2b4|Bullish Engulfing With Four Black Predecessors|Down|2399|0.424977856510186|move: 0.1;prologue len: 15;trend desc: S200C;vol factor: 1;use market: False
5a7bc2b4|Bullish Engulfing With Four Black Predecessors|Up|3166|0.5608503100088574|move: 0.1;prologue len: 15;trend desc: S200C;vol factor: 1;use market: False
5a7bc2b4|Bullish Engulfing With Four Black Predecessors||80|0.0141718334809566|move: 0.1;prologue len: 15;trend desc: S200C;vol factor: 1;use market: False
5e6d01a5|Bullish Engulfing With Four Black Predecessors|Down|769|0.3955761316872428|move: 0.1;prologue len: 30;trend desc: S200C;vol factor: 1.5;use market: False
5e6d01a5|Bullish Engulfing With Four Black Predecessors|Up|1147|0.5900205761316872|move: 0.1;prologue len: 30;trend desc: S200C;vol factor: 1.5;use market: False
5e6d01a5|Bullish Engulfing With Four Black Predecessors||28|0.01440329218106996|move: 0.1;prologue len: 30;trend desc: S200C;vol factor: 1.5;use market: False
63d9bd9a|Bullish Engulfing With Four Black Predecessors|Down|399|0.46776084407971863|move: 0.1;prologue len: 15;trend desc: S50C;vol factor: 2;use market: True
63d9bd9a|Bullish Engulfing With Four Black Predecessors|Up|440|0.5158264947245017|move: 0.1;prologue len: 15;trend desc: S50C;vol factor: 2;use market: True
